Ref_Date,GEO,WHEAT,Vector,Coordinate,Value
2004/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,255.000
2004/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,245.000
2004/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,250.000
2004/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,241.000
2004/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,294.000
2004/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,266.000
2004/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,286.000
2004/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,272.000
2004/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,279.000
2004/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,267.000
2005/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,261.000
2005/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,252.000
2005/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,268.000
2005/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,255.000
2005/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,269.000
2005/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,278.000
2005/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,257.000
2005/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,292.000
2005/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,296.000
2005/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,295.000
2005/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,285.000
2005/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,263.000
2006/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,255.000
2006/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,231.000
2006/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,273.000
2006/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,242.000
2006/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,281.000
2006/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,280.000
2006/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,256.000
2006/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,287.000
2006/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,277.000
2006/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,297.000
2006/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,292.000
2006/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,265.000
2007/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,275.000
2007/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,253.000
2007/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,270.000
2007/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,246.000
2007/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,255.000
2007/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,260.000
2007/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,253.000
2007/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,275.000
2007/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,260.000
2007/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,270.000
2007/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,282.000
2007/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,245.000
2008/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,256.000
2008/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,234.000
2008/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,241.000
2008/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,251.000
2008/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,249.000
2008/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,243.000
2008/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,257.000
2008/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,237.000
2008/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,248.000
2008/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,260.000
2008/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,243.000
2008/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,236.000
2009/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,229.000
2009/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,217.000
2009/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,243.000
2009/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,236.000
2009/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,236.000
2009/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,253.000
2009/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,259.000
2009/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,252.000
2009/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,267.000
2009/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,275.000
2009/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,257.000
2009/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,255.000
2010/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,239.000
2010/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,226.000
2010/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,250.000
2010/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,241.000
2010/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,245.000
2010/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,262.000
2010/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,249.000
2010/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,262.000
2010/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,260.000
2010/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,264.000
2010/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,272.000
2010/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,237.000
2011/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,236.000
2011/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,217.000
2011/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,257.000
2011/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,230.000
2011/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,241.000
2011/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,249.000
2011/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,240.000
2011/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,264.000
2011/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,254.000
2011/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,253.000
2011/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,250.000
2011/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,223.000
2012/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,224.000
2012/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,216.000
2012/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,236.000
2012/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,220.000
2012/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,238.000
2012/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,237.000
2012/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,252.000
2012/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,249.000
2012/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,246.000
2012/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,262.000
2012/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,259.000
2012/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,223.000
2013/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,245.000
2013/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,213.000
2013/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,230.000
2013/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,235.000
2013/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,246.000
2013/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,237.000
2013/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,244.000
2013/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,246.000
2013/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,253.000
2013/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,264.000
2013/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,250.000
2013/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,213.000
2014/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,247.000
2014/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,216.000
2014/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,232.000
2014/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,237.000
2014/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,247.000
2014/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,245.000
2014/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,306.000
2014/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,248.000
2014/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,250.000
2014/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,266.000
2014/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,244.000
2014/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,232.000
2015/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,248.000
2015/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,213.000
2015/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,249.000
2015/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,231.000
2015/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,243.000
2015/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,255.000
2015/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,295.000
2015/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,247.000
2015/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,265.000
2015/10,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,264.000
2015/11,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,260.000
2015/12,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,242.000
2016/01,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,239.000
2016/02,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,241.000
2016/03,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,240.000
2016/04,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,236.000
2016/05,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,243.000
2016/06,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,255.000
2016/07,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,290.000
2016/08,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,262.000
2016/09,Canada,"Total wheat milled (x 1,000)",v41294753,1.1,264.000
1995/08,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,188.000
1995/09,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,158.000
1995/10,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,156.000
1995/11,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,163.000
1995/12,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,143.000
1996/01,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,134.000
1996/02,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,156.000
1996/03,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,135.000
1996/04,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,135.000
1996/05,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,164.000
1996/06,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,155.000
1996/07,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,150.000
1996/08,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,199.000
1996/09,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,181.000
1996/10,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,186.000
1996/11,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,183.000
1996/12,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,159.000
1997/01,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,155.000
1997/02,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,167.000
1997/03,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,166.000
1997/04,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,171.000
1997/05,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,178.000
1997/06,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,177.000
1997/07,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,188.000
1997/08,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,182.000
1997/09,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,178.000
1997/10,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,188.000
1997/11,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,179.000
1997/12,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,169.000
1998/01,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,159.000
1998/02,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,163.000
1998/03,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,161.000
1998/04,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,164.000
1998/05,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,176.000
1998/06,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,172.000
1998/07,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,207.000
1998/08,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,190.000
1998/09,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,186.000
1998/10,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,188.000
1998/11,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,192.000
1998/12,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,180.000
1999/01,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,169.000
1999/02,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,174.000
1999/03,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,179.000
1999/04,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,169.000
1999/05,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,181.000
1999/06,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,185.000
1999/07,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,184.000
1999/08,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,198.000
1999/09,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,184.000
1999/10,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,186.000
1999/11,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,193.000
1999/12,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,179.000
2000/01,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,159.000
2000/02,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,170.000
2000/03,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,173.000
2000/04,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,161.000
2000/05,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,181.000
2000/06,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,183.000
2000/07,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,174.000
2000/08,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,209.000
2000/09,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,193.000
2000/10,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,196.000
2000/11,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,205.000
2000/12,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,178.000
2001/01,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,173.000
2001/02,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,185.000
2001/03,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,175.000
2001/04,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,177.000
2001/05,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,189.000
2001/06,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,191.000
2001/07,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,185.000
2001/08,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,208.000
2001/09,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,195.000
2001/10,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,201.000
2001/11,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,208.000
2001/12,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,180.000
2002/01,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,179.000
2002/02,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,176.000
2002/03,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,170.000
2002/04,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,183.000
2002/05,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,188.000
2002/06,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,166.000
2002/07,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,182.000
2002/08,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,206.000
2002/09,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,195.000
2002/10,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,207.000
2002/11,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,206.000
2002/12,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,177.000
2003/01,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,176.000
2003/02,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,175.000
2003/03,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,172.000
2003/04,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,177.000
2003/05,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,187.000
2003/06,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,177.000
2003/07,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,179.000
2003/08,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,200.000
2003/09,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,198.000
2003/10,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,196.000
2003/11,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,190.000
2003/12,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,166.000
2004/01,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,166.000
2004/02,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,175.000
2004/03,Canada,"Western red spring wheat milled (x 1,000)",v41294754,1.2,171.000
