Ref_Date,GEO,ESTIMATE,WEIGHTS,ADJUSTMENT,Vector,Coordinate,Value
2008/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35672.1
2008/10,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35584.5
2008/11,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34796.5
2008/12,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,33732.8
2009/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34338.0
2009/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34246.8
2009/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34446.4
2009/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34630.1
2009/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34766.0
2009/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34778.4
2009/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,34941.7
2009/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35140.6
2009/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35524.1
2009/10,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35502.7
2009/11,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35062.2
2009/12,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35449.5
2010/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,35940.1
2010/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36013.1
2010/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37021.5
2010/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36181.8
2010/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36171.5
2010/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36549.8
2010/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36565.6
2010/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36731.2
2010/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36904.6
2010/10,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36744.0
2010/11,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37315.4
2010/12,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36963.4
2011/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36904.7
2011/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37044.9
2011/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36893.2
2011/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36956.5
2011/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,36774.6
2011/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37655.4
2011/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37260.8
2011/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37206.2
2011/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37240.4
2011/10,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37634.4
2011/11,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37703.6
2011/12,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,38157.4
2012/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,38048.0
2012/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37901.9
2012/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,38152.1
2012/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37565.3
2012/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37842.5
2012/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,38120.1
2012/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,38142.2
2012/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37811.9
2012/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37878.9
2012/10,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,37921.7
2012/11,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,38111.5
2012/12,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,38008.5
2013/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,38441.7
2013/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,38130.8
2013/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,38500.1
2013/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,38591.6
2013/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,39323.1
2013/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,38911.4
2013/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,39269.0
2013/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,39466.3
2013/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,39355.4
2013/10,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,39615.2
2013/11,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,39674.8
2013/12,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,39388.8
2014/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,39631.6
2014/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,39695.0
2014/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,39757.6
2014/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40134.8
2014/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40227.2
2014/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40644.9
2014/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40803.0
2014/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40665.3
2014/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40823.5
2014/10,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40814.2
2014/11,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40980.9
2014/12,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40968.1
2015/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,39945.0
2015/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40609.5
2015/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40858.1
2015/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40714.5
2015/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40825.1
2015/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40855.5
2015/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40915.8
2015/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,41092.9
2015/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,41363.4
2015/10,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,41250.8
2015/11,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,41703.5
2015/12,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,40892.1
2016/01,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,41748.7
2016/02,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,42238.5
2016/03,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,41744.1
2016/04,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,41769.5
2016/05,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,41714.9
2016/06,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,41590.8
2016/07,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,41677.6
2016/08,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,41682.2
2016/09,Canada,Chained (2007) dollars,Fisher fixed,"Seasonally adjusted (x 1,000,000)",v62697922,1.1.1.2,41925.3
2004/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,95.7
2004/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,95.8
2004/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,95.8
2004/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,95.8
2004/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,96.6
2004/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,96.8
2004/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,96.7
2004/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,96.5
2004/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,96.4
2004/10,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,97.1
2004/11,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,97.5
2004/12,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,97.8
2005/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,96.8
2005/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,97.1
2005/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,97.4
2005/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,97.5
2005/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,97.1
2005/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,97.6
2005/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,97.7
2005/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.8
2005/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.9
2005/10,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.1
2005/11,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.5
2005/12,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.0
2006/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.2
2006/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.4
2006/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.6
2006/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.1
2006/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.8
2006/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.8
2006/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.9
2006/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.3
2006/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.7
2006/10,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.8
2006/11,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.8
2006/12,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.4
2007/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.0
2007/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.8
2007/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.5
2007/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.4
2007/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.7
2007/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.4
2007/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.3
2007/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.6
2007/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.9
2007/10,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.6
2007/11,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.7
2007/12,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.0
2008/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.2
2008/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.9
2008/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.8
2008/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.0
2008/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.6
2008/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,101.9
2008/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.3
2008/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,101.7
2008/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.0
2008/10,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.5
2008/11,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.6
2008/12,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.7
2009/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.3
2009/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.9
2009/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.4
2009/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.0
2009/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,98.8
2009/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.9
2009/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.5
2009/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.7
2009/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.2
2009/10,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.5
2009/11,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.5
2009/12,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.4
2010/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.4
2010/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.1
2010/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.9
2010/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.9
2010/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.6
2010/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.5
2010/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.3
