Ref_Date,GEO,AG,SEX,PTOHSD,PE,STA,Vector,Coordinate,Value
2012,Canada,"Total, 15 years and over",Both sexes,"Total, path to obtaining high school diploma",Not specified if received any postsecondary education,High 95% confidence interval (percent),v107288195,1.1.1.1.4.4,8.4
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,"Total, postsecondary education",Number of persons,v107288196,1.1.1.2.1.1,14090.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,"Total, postsecondary education",Percent,v107288197,1.1.1.2.1.2,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,"Total, postsecondary education",Low 95% confidence interval (percent),v107288198,1.1.1.2.1.3,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,"Total, postsecondary education",High 95% confidence interval (percent),v107288199,1.1.1.2.1.4,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,Has received postsecondary education,Number of persons,v107288200,1.1.1.2.2.1,9510.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,Has received postsecondary education,Percent,v107288201,1.1.1.2.2.2,67.5
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,Has received postsecondary education,Low 95% confidence interval (percent),v107288202,1.1.1.2.2.3,63.3
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,Has received postsecondary education,High 95% confidence interval (percent),v107288203,1.1.1.2.2.4,71.5
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,Has not received any postsecondary education,Number of persons,v107288204,1.1.1.2.3.1,4330.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,Has not received any postsecondary education,Percent,v107288205,1.1.1.2.3.2,30.7
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,Has not received any postsecondary education,Low 95% confidence interval (percent),v107288206,1.1.1.2.3.3,26.9
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,Has not received any postsecondary education,High 95% confidence interval (percent),v107288207,1.1.1.2.3.4,34.8
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,Not specified if received any postsecondary education,Number of persons,v107288208,1.1.1.2.4.1,F
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,Not specified if received any postsecondary education,Percent,v107288209,1.1.1.2.4.2,F
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,Not specified if received any postsecondary education,Low 95% confidence interval (percent),v107288210,1.1.1.2.4.3,F
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma,Not specified if received any postsecondary education,High 95% confidence interval (percent),v107288211,1.1.1.2.4.4,F
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,"Total, postsecondary education",Number of persons,v107288212,1.1.1.3.1.1,11320.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,"Total, postsecondary education",Percent,v107288213,1.1.1.3.1.2,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,"Total, postsecondary education",Low 95% confidence interval (percent),v107288214,1.1.1.3.1.3,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,"Total, postsecondary education",High 95% confidence interval (percent),v107288215,1.1.1.3.1.4,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,Has received postsecondary education,Number of persons,v107288216,1.1.1.3.2.1,7890.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,Has received postsecondary education,Percent,v107288217,1.1.1.3.2.2,69.7
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,Has received postsecondary education,Low 95% confidence interval (percent),v107288218,1.1.1.3.2.3,65.2
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,Has received postsecondary education,High 95% confidence interval (percent),v107288219,1.1.1.3.2.4,73.8
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,Has not received any postsecondary education,Number of persons,v107288220,1.1.1.3.3.1,3280.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,Has not received any postsecondary education,Percent,v107288221,1.1.1.3.3.2,29.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,Has not received any postsecondary education,Low 95% confidence interval (percent),v107288222,1.1.1.3.3.3,24.9
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,Has not received any postsecondary education,High 95% confidence interval (percent),v107288223,1.1.1.3.3.4,33.4
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,Not specified if received any postsecondary education,Number of persons,v107288224,1.1.1.3.4.1,150.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,Not specified if received any postsecondary education,Percent,v107288225,1.1.1.3.4.2,1.3
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,Not specified if received any postsecondary education,Low 95% confidence interval (percent),v107288226,1.1.1.3.4.3,0.8
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed high school,Not specified if received any postsecondary education,High 95% confidence interval (percent),v107288227,1.1.1.3.4.4,2.2
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,"Total, postsecondary education",Number of persons,v107288228,1.1.1.4.1.1,2760.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,"Total, postsecondary education",Percent,v107288229,1.1.1.4.1.2,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,"Total, postsecondary education",Low 95% confidence interval (percent),v107288230,1.1.1.4.1.3,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,"Total, postsecondary education",High 95% confidence interval (percent),v107288231,1.1.1.4.1.4,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has received postsecondary education,Number of persons,v107288232,1.1.1.4.2.1,1620.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has received postsecondary education,Percent,v107288233,1.1.1.4.2.2,58.7
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has received postsecondary education,Low 95% confidence interval (percent),v107288234,1.1.1.4.2.3,48.7
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has received postsecondary education,High 95% confidence interval (percent),v107288235,1.1.1.4.2.4,68.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has not received any postsecondary education,Number of persons,v107288236,1.1.1.4.3.1,1040.0
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has not received any postsecondary education,Percent,v107288237,1.1.1.4.3.2,37.7
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has not received any postsecondary education,Low 95% confidence interval (percent),v107288238,1.1.1.4.3.3,29.2
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has not received any postsecondary education,High 95% confidence interval (percent),v107288239,1.1.1.4.3.4,47.2
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,Not specified if received any postsecondary education,Number of persons,v107288240,1.1.1.4.4.1,F
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,Not specified if received any postsecondary education,Percent,v107288241,1.1.1.4.4.2,F
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,Not specified if received any postsecondary education,Low 95% confidence interval (percent),v107288242,1.1.1.4.4.3,F
2012,Canada,"Total, 15 years and over",Both sexes,Obtained a high school diploma: completed an upgrading or high school equivalency program,Not specified if received any postsecondary education,High 95% confidence interval (percent),v107288243,1.1.1.4.4.4,F
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,"Total, postsecondary education",Number of persons,v107288244,1.1.1.5.1.1,22490.0
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,"Total, postsecondary education",Percent,v107288245,1.1.1.5.1.2,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,"Total, postsecondary education",Low 95% confidence interval (percent),v107288246,1.1.1.5.1.3,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,"Total, postsecondary education",High 95% confidence interval (percent),v107288247,1.1.1.5.1.4,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,Has received postsecondary education,Number of persons,v107288248,1.1.1.5.2.1,4580.0
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,Has received postsecondary education,Percent,v107288249,1.1.1.5.2.2,20.4
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,Has received postsecondary education,Low 95% confidence interval (percent),v107288250,1.1.1.5.2.3,18.0
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,Has received postsecondary education,High 95% confidence interval (percent),v107288251,1.1.1.5.2.4,23.0
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,Has not received any postsecondary education,Number of persons,v107288252,1.1.1.5.3.1,15730.0
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,Has not received any postsecondary education,Percent,v107288253,1.1.1.5.3.2,69.9
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,Has not received any postsecondary education,Low 95% confidence interval (percent),v107288254,1.1.1.5.3.3,67.0
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,Has not received any postsecondary education,High 95% confidence interval (percent),v107288255,1.1.1.5.3.4,72.7
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,Not specified if received any postsecondary education,Number of persons,v107288256,1.1.1.5.4.1,2180.0
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,Not specified if received any postsecondary education,Percent,v107288257,1.1.1.5.4.2,9.7
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,Not specified if received any postsecondary education,Low 95% confidence interval (percent),v107288258,1.1.1.5.4.3,7.8
2012,Canada,"Total, 15 years and over",Both sexes,Has not obtained a high school diploma,Not specified if received any postsecondary education,High 95% confidence interval (percent),v107288259,1.1.1.5.4.4,12.0
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,"Total, postsecondary education",Number of persons,v107288260,1.1.1.6.1.1,300.0
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,"Total, postsecondary education",Percent,v107288261,1.1.1.6.1.2,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,"Total, postsecondary education",Low 95% confidence interval (percent),v107288262,1.1.1.6.1.3,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,"Total, postsecondary education",High 95% confidence interval (percent),v107288263,1.1.1.6.1.4,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,Has received postsecondary education,Number of persons,v107288264,1.1.1.6.2.1,F
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,Has received postsecondary education,Percent,v107288265,1.1.1.6.2.2,F
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,Has received postsecondary education,Low 95% confidence interval (percent),v107288266,1.1.1.6.2.3,F
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,Has received postsecondary education,High 95% confidence interval (percent),v107288267,1.1.1.6.2.4,F
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,Has not received any postsecondary education,Number of persons,v107288268,1.1.1.6.3.1,F
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,Has not received any postsecondary education,Percent,v107288269,1.1.1.6.3.2,53.3
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,Has not received any postsecondary education,Low 95% confidence interval (percent),v107288270,1.1.1.6.3.3,30.4
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,Has not received any postsecondary education,High 95% confidence interval (percent),v107288271,1.1.1.6.3.4,73.1
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,Not specified if received any postsecondary education,Number of persons,v107288272,1.1.1.6.4.1,F
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,Not specified if received any postsecondary education,Percent,v107288273,1.1.1.6.4.2,36.7
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,Not specified if received any postsecondary education,Low 95% confidence interval (percent),v107288274,1.1.1.6.4.3,18.6
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if obtained high school diploma,Not specified if received any postsecondary education,High 95% confidence interval (percent),v107288275,1.1.1.6.4.4,58.6
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma","Total, postsecondary education",Number of persons,v107288276,1.1.2.1.1.1,16710.0
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma","Total, postsecondary education",Percent,v107288277,1.1.2.1.1.2,100.0
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma","Total, postsecondary education",Low 95% confidence interval (percent),v107288278,1.1.2.1.1.3,100.0
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma","Total, postsecondary education",High 95% confidence interval (percent),v107288279,1.1.2.1.1.4,100.0
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma",Has received postsecondary education,Number of persons,v107288280,1.1.2.1.2.1,6860.0
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma",Has received postsecondary education,Percent,v107288281,1.1.2.1.2.2,41.1
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma",Has received postsecondary education,Low 95% confidence interval (percent),v107288282,1.1.2.1.2.3,36.9
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma",Has received postsecondary education,High 95% confidence interval (percent),v107288283,1.1.2.1.2.4,45.4
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma",Has not received any postsecondary education,Number of persons,v107288284,1.1.2.1.3.1,8870.0
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma",Has not received any postsecondary education,Percent,v107288285,1.1.2.1.3.2,53.1
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma",Has not received any postsecondary education,Low 95% confidence interval (percent),v107288286,1.1.2.1.3.3,49.0
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma",Has not received any postsecondary education,High 95% confidence interval (percent),v107288287,1.1.2.1.3.4,57.1
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma",Not specified if received any postsecondary education,Number of persons,v107288288,1.1.2.1.4.1,980.0
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma",Not specified if received any postsecondary education,Percent,v107288289,1.1.2.1.4.2,5.9
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma",Not specified if received any postsecondary education,Low 95% confidence interval (percent),v107288290,1.1.2.1.4.3,4.2
2012,Canada,"Total, 15 years and over",Male,"Total, path to obtaining high school diploma",Not specified if received any postsecondary education,High 95% confidence interval (percent),v107288291,1.1.2.1.4.4,8.1
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,"Total, postsecondary education",Number of persons,v107288292,1.1.2.2.1.1,6300.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,"Total, postsecondary education",Percent,v107288293,1.1.2.2.1.2,100.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,"Total, postsecondary education",Low 95% confidence interval (percent),v107288294,1.1.2.2.1.3,100.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,"Total, postsecondary education",High 95% confidence interval (percent),v107288295,1.1.2.2.1.4,100.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,Has received postsecondary education,Number of persons,v107288296,1.1.2.2.2.1,4360.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,Has received postsecondary education,Percent,v107288297,1.1.2.2.2.2,69.2
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,Has received postsecondary education,Low 95% confidence interval (percent),v107288298,1.1.2.2.2.3,62.8
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,Has received postsecondary education,High 95% confidence interval (percent),v107288299,1.1.2.2.2.4,75.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,Has not received any postsecondary education,Number of persons,v107288300,1.1.2.2.3.1,1860.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,Has not received any postsecondary education,Percent,v107288301,1.1.2.2.3.2,29.5
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,Has not received any postsecondary education,Low 95% confidence interval (percent),v107288302,1.1.2.2.3.3,24.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,Has not received any postsecondary education,High 95% confidence interval (percent),v107288303,1.1.2.2.3.4,35.9
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,Not specified if received any postsecondary education,Number of persons,v107288304,1.1.2.2.4.1,F
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,Not specified if received any postsecondary education,Percent,v107288305,1.1.2.2.4.2,F
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,Not specified if received any postsecondary education,Low 95% confidence interval (percent),v107288306,1.1.2.2.4.3,F
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma,Not specified if received any postsecondary education,High 95% confidence interval (percent),v107288307,1.1.2.2.4.4,F
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,"Total, postsecondary education",Number of persons,v107288308,1.1.2.3.1.1,5310.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,"Total, postsecondary education",Percent,v107288309,1.1.2.3.1.2,100.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,"Total, postsecondary education",Low 95% confidence interval (percent),v107288310,1.1.2.3.1.3,100.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,"Total, postsecondary education",High 95% confidence interval (percent),v107288311,1.1.2.3.1.4,100.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,Has received postsecondary education,Number of persons,v107288312,1.1.2.3.2.1,3830.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,Has received postsecondary education,Percent,v107288313,1.1.2.3.2.2,72.1
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,Has received postsecondary education,Low 95% confidence interval (percent),v107288314,1.1.2.3.2.3,65.4
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,Has received postsecondary education,High 95% confidence interval (percent),v107288315,1.1.2.3.2.4,78.1
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,Has not received any postsecondary education,Number of persons,v107288316,1.1.2.3.3.1,1410.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,Has not received any postsecondary education,Percent,v107288317,1.1.2.3.3.2,26.6
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,Has not received any postsecondary education,Low 95% confidence interval (percent),v107288318,1.1.2.3.3.3,20.7
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,Has not received any postsecondary education,High 95% confidence interval (percent),v107288319,1.1.2.3.3.4,33.1
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,Not specified if received any postsecondary education,Number of persons,v107288320,1.1.2.3.4.1,F
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,Not specified if received any postsecondary education,Percent,v107288321,1.1.2.3.4.2,F
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,Not specified if received any postsecondary education,Low 95% confidence interval (percent),v107288322,1.1.2.3.4.3,F
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed high school,Not specified if received any postsecondary education,High 95% confidence interval (percent),v107288323,1.1.2.3.4.4,F
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,"Total, postsecondary education",Number of persons,v107288324,1.1.2.4.1.1,990.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,"Total, postsecondary education",Percent,v107288325,1.1.2.4.1.2,100.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,"Total, postsecondary education",Low 95% confidence interval (percent),v107288326,1.1.2.4.1.3,100.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,"Total, postsecondary education",High 95% confidence interval (percent),v107288327,1.1.2.4.1.4,100.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has received postsecondary education,Number of persons,v107288328,1.1.2.4.2.1,530.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has received postsecondary education,Percent,v107288329,1.1.2.4.2.2,53.5
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has received postsecondary education,Low 95% confidence interval (percent),v107288330,1.1.2.4.2.3,40.3
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has received postsecondary education,High 95% confidence interval (percent),v107288331,1.1.2.4.2.4,65.7
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has not received any postsecondary education,Number of persons,v107288332,1.1.2.4.3.1,460.0
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has not received any postsecondary education,Percent,v107288333,1.1.2.4.3.2,46.5
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has not received any postsecondary education,Low 95% confidence interval (percent),v107288334,1.1.2.4.3.3,33.7
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,Has not received any postsecondary education,High 95% confidence interval (percent),v107288335,1.1.2.4.3.4,59.1
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,Not specified if received any postsecondary education,Number of persons,v107288336,1.1.2.4.4.1,F
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,Not specified if received any postsecondary education,Percent,v107288337,1.1.2.4.4.2,F
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,Not specified if received any postsecondary education,Low 95% confidence interval (percent),v107288338,1.1.2.4.4.3,F
2012,Canada,"Total, 15 years and over",Male,Obtained a high school diploma: completed an upgrading or high school equivalency program,Not specified if received any postsecondary education,High 95% confidence interval (percent),v107288339,1.1.2.4.4.4,F
2012,Canada,"Total, 15 years and over",Male,Has not obtained a high school diploma,"Total, postsecondary education",Number of persons,v107288340,1.1.2.5.1.1,10290.0
2012,Canada,"Total, 15 years and over",Male,Has not obtained a high school diploma,"Total, postsecondary education",Percent,v107288341,1.1.2.5.1.2,100.0
2012,Canada,"Total, 15 years and over",Male,Has not obtained a high school diploma,"Total, postsecondary education",Low 95% confidence interval (percent),v107288342,1.1.2.5.1.3,100.0
2012,Canada,"Total, 15 years and over",Male,Has not obtained a high school diploma,"Total, postsecondary education",High 95% confidence interval (percent),v107288343,1.1.2.5.1.4,100.0
2012,Canada,"Total, 15 years and over",Male,Has not obtained a high school diploma,Has received postsecondary education,Number of persons,v107288344,1.1.2.5.2.1,2480.0
2012,Canada,"Total, 15 years and over",Male,Has not obtained a high school diploma,Has received postsecondary education,Percent,v107288345,1.1.2.5.2.2,24.1
2012,Canada,"Total, 15 years and over",Male,Has not obtained a high school diploma,Has received postsecondary education,Low 95% confidence interval (percent),v107288346,1.1.2.5.2.3,20.6
2012,Canada,"Total, 15 years and over",Male,Has not obtained a high school diploma,Has received postsecondary education,High 95% confidence interval (percent),v107288347,1.1.2.5.2.4,27.9
2012,Canada,"Total, 15 years and over",Male,Has not obtained a high school diploma,Has not received any postsecondary education,Number of persons,v107288348,1.1.2.5.3.1,6970.0
2012,Canada,"Total, 15 years and over",Male,Has not obtained a high school diploma,Has not received any postsecondary education,Percent,v107288349,1.1.2.5.3.2,67.7
2012,Canada,"Total, 15 years and over",Male,Has not obtained a high school diploma,Has not received any postsecondary education,Low 95% confidence interval (percent),v107288350,1.1.2.5.3.3,63.4
2012,Canada,"Total, 15 years and over",Male,Has not obtained a high school diploma,Has not received any postsecondary education,High 95% confidence interval (percent),v107288351,1.1.2.5.3.4,71.7
