Ref_Date,GEO,PROD,AREA,EST,Vector,Coordinate,Value
2011,Canada,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220980,1.1.3.2,55166704.00000000
2012,Canada,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220980,1.1.3.2,54698023.00000000
2013,Canada,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220980,1.1.3.2,60465571.00000000
2014,Canada,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220980,1.1.3.2,64148212.00000000
2015,Canada,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220980,1.1.3.2,64927013.00000000
2007,Canada,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220986,1.1.3.3,0.00000000
2008,Canada,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220986,1.1.3.3,4294198.00000000
2009,Canada,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220986,1.1.3.3,4624645.00000000
2010,Canada,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220986,1.1.3.3,4823276.00000000
2011,Canada,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220986,1.1.3.3,5125152.00000000
2012,Canada,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220986,1.1.3.3,5081610.00000000
2013,Canada,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220986,1.1.3.3,5617433.00000000
2014,Canada,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220986,1.1.3.3,5959561.00000000
2015,Canada,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220986,1.1.3.3,6031914.00000000
2007,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220992,1.1.4.2,0.00000000
2008,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220992,1.1.4.2,12284770.00000000
2009,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220992,1.1.4.2,8186950.00000000
2010,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220992,1.1.4.2,3180720.00000000
2011,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220992,1.1.4.2,637600.00000000
2012,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220992,1.1.4.2,F
2013,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220992,1.1.4.2,2160057.00000000
2014,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220992,1.1.4.2,1655594.00000000
2015,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220992,1.1.4.2,365511.00000000
2007,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220998,1.1.4.3,0.00000000
2008,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220998,1.1.4.3,1141292.00000000
2009,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220998,1.1.4.3,760592.00000000
2010,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220998,1.1.4.3,295498.00000000
2011,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220998,1.1.4.3,59235.00000000
2012,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220998,1.1.4.3,F
2013,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220998,1.1.4.3,200676.00000000
2014,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220998,1.1.4.3,153810.00000000
2015,Canada,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220998,1.1.4.3,33957.00000000
2007,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221004,1.1.5.2,0.00000000
2008,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221004,1.1.5.2,59613947.00000000
2009,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221004,1.1.5.2,64824925.00000000
2010,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221004,1.1.5.2,72038243.00000000
2011,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221004,1.1.5.2,76463035.00000000
2012,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221004,1.1.5.2,81877056.00000000
2013,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221004,1.1.5.2,82080294.00000000
2014,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221004,1.1.5.2,80132759.00000000
2015,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221004,1.1.5.2,80508118.00000000
2007,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221010,1.1.5.3,0.00000000
2008,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221010,1.1.5.3,5538315.00000000
2009,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221010,1.1.5.3,6022430.00000000
2010,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221010,1.1.5.3,6692569.00000000
2011,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221010,1.1.5.3,7103645.00000000
2012,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221010,1.1.5.3,7606624.00000000
2013,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221010,1.1.5.3,7625506.00000000
2014,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221010,1.1.5.3,7444574.00000000
2015,Canada,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221010,1.1.5.3,7479446.00000000
2007,Canada,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221016,1.1.6.1,0.00000000
2008,Canada,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221016,1.1.6.1,5580.00000000
2009,Canada,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221016,1.1.6.1,6115.00000000
2010,Canada,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221016,1.1.6.1,6280.00000000
2011,Canada,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221016,1.1.6.1,5860.00000000
2012,Canada,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221016,1.1.6.1,7315.00000000
2013,Canada,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221016,1.1.6.1,7751.00000000
2014,Canada,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221016,1.1.6.1,6749.00000000
2015,Canada,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221016,1.1.6.1,7675.00000000
2007,Canada,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221022,1.2.1.1,0.00000000
2008,Canada,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221022,1.2.1.1,2290.00000000
2009,Canada,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221022,1.2.1.1,2180.00000000
2010,Canada,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221022,1.2.1.1,2055.00000000
2011,Canada,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221022,1.2.1.1,1960.00000000
2012,Canada,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221022,1.2.1.1,1910.00000000
2013,Canada,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221022,1.2.1.1,1885.00000000
2014,Canada,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221022,1.2.1.1,1855.00000000
2015,Canada,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221022,1.2.1.1,1787.00000000
2007,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221028,1.2.2.2,0.00000000
2008,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221028,1.2.2.2,93183830.00000000
2009,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221028,1.2.2.2,92954165.00000000
2010,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221028,1.2.2.2,90206185.00000000
2011,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221028,1.2.2.2,87783905.00000000
2012,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221028,1.2.2.2,87911470.00000000
2013,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221028,1.2.2.2,87814851.00000000
2014,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221028,1.2.2.2,85027456.00000000
2015,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221028,1.2.2.2,84320897.00000000
2007,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221034,1.2.2.3,0.00000000
2008,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221034,1.2.2.3,8657057.00000000
2009,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221034,1.2.2.3,8635721.00000000
2010,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221034,1.2.2.3,8380425.00000000
2011,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221034,1.2.2.3,8155388.00000000
2012,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221034,1.2.2.3,8167239.00000000
2013,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221034,1.2.2.3,8158263.00000000
2014,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221034,1.2.2.3,7899306.00000000
2015,Canada,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221034,1.2.2.3,7833664.00000000
2007,Canada,Specialized greenhouse flowers and plants,Glass,Square feet,v52221040,1.2.3.2,0.00000000
2008,Canada,Specialized greenhouse flowers and plants,Glass,Square feet,v52221040,1.2.3.2,23694700.00000000
2009,Canada,Specialized greenhouse flowers and plants,Glass,Square feet,v52221040,1.2.3.2,21569020.00000000
2010,Canada,Specialized greenhouse flowers and plants,Glass,Square feet,v52221040,1.2.3.2,23111075.00000000
2011,Canada,Specialized greenhouse flowers and plants,Glass,Square feet,v52221040,1.2.3.2,23474045.00000000
2012,Canada,Specialized greenhouse flowers and plants,Glass,Square feet,v52221040,1.2.3.2,23477315.00000000
2013,Canada,Specialized greenhouse flowers and plants,Glass,Square feet,v52221040,1.2.3.2,27688430.00000000
2014,Canada,Specialized greenhouse flowers and plants,Glass,Square feet,v52221040,1.2.3.2,25699353.00000000
2015,Canada,Specialized greenhouse flowers and plants,Glass,Square feet,v52221040,1.2.3.2,25563678.00000000
2007,Canada,Specialized greenhouse flowers and plants,Glass,Square metres,v52221046,1.2.3.3,0.00000000
2008,Canada,Specialized greenhouse flowers and plants,Glass,Square metres,v52221046,1.2.3.3,2201309.00000000
2009,Canada,Specialized greenhouse flowers and plants,Glass,Square metres,v52221046,1.2.3.3,2003827.00000000
2010,Canada,Specialized greenhouse flowers and plants,Glass,Square metres,v52221046,1.2.3.3,2147088.00000000
2011,Canada,Specialized greenhouse flowers and plants,Glass,Square metres,v52221046,1.2.3.3,2180809.00000000
2012,Canada,Specialized greenhouse flowers and plants,Glass,Square metres,v52221046,1.2.3.3,2181113.00000000
2013,Canada,Specialized greenhouse flowers and plants,Glass,Square metres,v52221046,1.2.3.3,2572338.00000000
2014,Canada,Specialized greenhouse flowers and plants,Glass,Square metres,v52221046,1.2.3.3,2387547.00000000
2015,Canada,Specialized greenhouse flowers and plants,Glass,Square metres,v52221046,1.2.3.3,2374942.00000000
2007,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221052,1.2.4.2,0.00000000
2008,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221052,1.2.4.2,10033400.00000000
2009,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221052,1.2.4.2,7249870.00000000
2010,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221052,1.2.4.2,6677420.00000000
2011,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221052,1.2.4.2,4446930.00000000
2012,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221052,1.2.4.2,5841975.00000000
2013,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221052,1.2.4.2,4505873.00000000
2014,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221052,1.2.4.2,4627079.00000000
2015,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221052,1.2.4.2,4546196.00000000
2007,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221058,1.2.4.3,0.00000000
2008,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221058,1.2.4.3,932133.00000000
2009,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221058,1.2.4.3,673535.00000000
2010,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221058,1.2.4.3,620352.00000000
2011,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221058,1.2.4.3,413133.00000000
2012,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221058,1.2.4.3,542737.00000000
2013,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221058,1.2.4.3,418609.00000000
2014,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221058,1.2.4.3,429870.00000000
2015,Canada,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221058,1.2.4.3,422355.00000000
2007,Canada,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221064,1.2.5.2,0.00000000
2008,Canada,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221064,1.2.5.2,59455730.00000000
2009,Canada,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221064,1.2.5.2,64135275.00000000
2010,Canada,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221064,1.2.5.2,60417690.00000000
2011,Canada,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221064,1.2.5.2,59862930.00000000
2012,Canada,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221064,1.2.5.2,58592180.00000000
2013,Canada,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221064,1.2.5.2,55620548.00000000
2014,Canada,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221064,1.2.5.2,54701024.00000000
2015,Canada,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221064,1.2.5.2,54211023.00000000
2007,Canada,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221070,1.2.5.3,0.00000000
2008,Canada,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221070,1.2.5.3,5523616.00000000
2009,Canada,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221070,1.2.5.3,5958359.00000000
2010,Canada,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221070,1.2.5.3,5612985.00000000
2011,Canada,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221070,1.2.5.3,5561446.00000000
2012,Canada,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221070,1.2.5.3,5443389.00000000
2013,Canada,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221070,1.2.5.3,5167316.00000000
2014,Canada,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221070,1.2.5.3,5081889.00000000
2015,Canada,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221070,1.2.5.3,5036367.00000000
2007,Canada,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221076,1.2.6.1,0.00000000
2008,Canada,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221076,1.2.6.1,17805.00000000
2009,Canada,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221076,1.2.6.1,15588.00000000
2010,Canada,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221076,1.2.6.1,15205.00000000
2011,Canada,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221076,1.2.6.1,13685.00000000
2012,Canada,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221076,1.2.6.1,13775.00000000
2013,Canada,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221076,1.2.6.1,18927.00000000
2014,Canada,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221076,1.2.6.1,18285.00000000
2015,Canada,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221076,1.2.6.1,17779.00000000
2007,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220957,2.1.1.1,0.00000000
2008,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220957,2.1.1.1,45.00000000
2009,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220957,2.1.1.1,35.00000000
2010,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220957,2.1.1.1,40.00000000
2011,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220957,2.1.1.1,45.00000000
2012,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220957,2.1.1.1,50.00000000
2013,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220957,2.1.1.1,50.00000000
2014,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220957,2.1.1.1,45.00000000
2015,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220957,2.1.1.1,40.00000000
2007,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220963,2.1.2.2,0.00000000
2008,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220963,2.1.2.2,F
2009,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220963,2.1.2.2,472130.00000000
2010,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220963,2.1.2.2,428630.00000000
2011,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220963,2.1.2.2,492630.00000000
2012,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220963,2.1.2.2,488555.00000000
2013,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220963,2.1.2.2,856156.00000000
2014,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220963,2.1.2.2,752243.00000000
2015,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220963,2.1.2.2,860713.00000000
2007,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220969,2.1.2.3,0.00000000
2008,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220969,2.1.2.3,F
2009,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220969,2.1.2.3,43862.00000000
2010,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220969,2.1.2.3,39821.00000000
2011,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220969,2.1.2.3,45767.00000000
2012,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220969,2.1.2.3,45388.00000000
2013,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220969,2.1.2.3,79539.00000000
2014,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220969,2.1.2.3,69886.00000000
2015,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220969,2.1.2.3,79963.00000000
2007,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220975,2.1.3.2,0.00000000
2008,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220975,2.1.3.2,x
2009,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220975,2.1.3.2,x
2010,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220975,2.1.3.2,107390.00000000
2011,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220975,2.1.3.2,104540.00000000
2012,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220975,2.1.3.2,93790.00000000
2013,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220975,2.1.3.2,449271.00000000
2014,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220975,2.1.3.2,x
2015,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220975,2.1.3.2,x
2007,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220981,2.1.3.3,0.00000000
2008,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220981,2.1.3.3,x
2009,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220981,2.1.3.3,x
2010,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220981,2.1.3.3,9977.00000000
2011,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220981,2.1.3.3,9712.00000000
2012,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220981,2.1.3.3,8713.00000000
2013,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220981,2.1.3.3,41739.00000000
2014,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220981,2.1.3.3,x
2015,Atlantic provinces,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220981,2.1.3.3,x
2007,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220987,2.1.4.2,0.00000000
2008,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220987,2.1.4.2,x
2009,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220987,2.1.4.2,x
2010,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220987,2.1.4.2,F
2011,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220987,2.1.4.2,F
2012,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220987,2.1.4.2,F
2013,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220987,2.1.4.2,F
2014,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220987,2.1.4.2,x
2015,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220987,2.1.4.2,x
2007,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220993,2.1.4.3,0.00000000
2008,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220993,2.1.4.3,x
2009,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220993,2.1.4.3,x
2010,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220993,2.1.4.3,F
2011,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220993,2.1.4.3,F
2012,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220993,2.1.4.3,F
2013,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220993,2.1.4.3,F
2014,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220993,2.1.4.3,x
2015,Atlantic provinces,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220993,2.1.4.3,x
2007,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52220999,2.1.5.2,0.00000000
