Ref_Date,GEO,PRODUCTION,FRUIT,UOFM,PROCESS,Vector,Coordinate,Value
1943,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,8412.0
1944,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,20851.0
1945,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,15315.0
1946,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,17035.0
1947,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,10926.0
1948,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,10759.0
1949,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,9173.0
1950,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,7601.0
1951,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,9972.0
1952,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,40659.0
1953,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,38347.0
1954,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,25385.0
1955,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,27391.0
1956,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,16826.0
1957,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,26623.0
1958,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,37257.0
1959,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,30661.0
1960,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,23765.0
1961,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,32050.0
1962,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,19516.0
1963,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,25756.0
1964,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,30562.0
1965,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,20119.0
1966,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,24554.0
1967,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,18896.0
1968,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,24409.0
1969,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,29493.0
1970,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,32808.0
1971,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,36315.0
1972,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,23220.0
1973,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,25408.0
1974,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,30478.0
1975,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,39183.0
1976,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,29848.0
1977,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,25939.0
1978,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,26781.0
1979,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,22599.0
1980,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,27435.0
1981,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,15110.0
1982,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,21099.0
1983,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,25387.0
1984,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,19313.0
1985,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,27928.0
1986,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,22998.0
1987,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,28469.0
1988,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,32496.0
1989,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,29395.0
1990,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,34674.0
1991,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,27889.0
1992,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,31553.0
1993,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,30208.0
1994,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,35924.0
1995,Ontario,Total production,Peaches,Tons,Fresh,v380639,1.1.1.2.1,45982.0
1940,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,8667.0
1941,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,11979.0
1942,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,13361.0
1943,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,2588.0
1944,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,8499.0
1945,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,7435.0
1946,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,19865.0
1947,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,12149.0
1948,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,14991.0
1949,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,21777.0
1950,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,20874.0
1951,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,23728.0
1952,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,18666.0
1953,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,20403.0
1954,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,28465.0
1955,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,31859.0
1956,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,17349.0
1957,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,30027.0
1958,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,27443.0
1959,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,22914.0
1960,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,20557.0
1961,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,31538.0
1962,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,21302.0
1963,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,22765.0
1964,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,23052.0
1965,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,18021.0
1966,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,15436.0
1967,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,9684.0
1968,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,14536.0
1969,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,11995.0
1970,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,12064.0
1971,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,14332.0
1972,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,8364.0
1973,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,10045.0
1974,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,11572.0
1975,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,9919.0
1976,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,8644.0
1977,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,6227.0
1978,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,4707.0
1979,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,4196.0
1980,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,4921.0
1981,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,2508.0
1982,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,4821.0
1983,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,4485.0
1984,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,3423.0
1985,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,7079.0
1986,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,5451.0
1987,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,7431.0
1988,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,7004.0
1989,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,7052.0
1990,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,8436.0
1991,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,6780.0
1992,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,8347.0
1993,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,6450.0
1994,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,5574.0
1995,Ontario,Total production,Peaches,Tons,Processed,v380647,1.1.1.2.2,9338.0
1940,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,81.0
1941,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,246.0
1942,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,140.0
1943,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,133.0
1944,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,93.0
1945,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,44.0
1946,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,105.0
1947,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,99.0
1948,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,54.0
1949,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,146.0
1950,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,50.0
1951,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,264.0
1952,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,523.0
1953,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,332.0
1954,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,188.0
1955,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,259.0
1956,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,237.0
1957,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,52.0
1958,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,368.0
1959,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,167.0
1960,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,164.0
1961,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,210.0
1962,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,268.0
1963,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,204.0
1964,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,326.0
1965,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,176.0
1966,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,296.0
1967,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,293.0
1968,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,173.0
1969,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,233.0
1970,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,213.0
1971,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,366.0
1972,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,337.0
1973,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,124.0
1974,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,203.0
1975,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,326.0
1976,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,139.0
1977,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,288.0
1978,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,319.0
1979,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,351.0
1980,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,404.0
1981,Ontario,Total production,Pears,Bushels,"Fresh (x 1,000)",v380653,1.1.2.1.1,266.0
1940,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,257.0
1941,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,137.0
1942,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,272.0
1943,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,201.0
1944,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,279.0
1945,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,3.0
1946,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,164.0
1947,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,294.0
1948,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,165.0
1949,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,358.0
1950,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,433.0
1951,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,299.0
1952,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,215.0
1953,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,422.0
1954,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,476.0
1955,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,628.0
1956,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,582.0
1957,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,328.0
1958,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,497.0
1959,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,600.0
1960,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,733.0
1961,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,606.0
1962,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,801.0
1963,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,527.0
1964,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,776.0
1965,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,671.0
1966,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,657.0
1967,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,450.0
1968,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,532.0
1969,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,563.0
1970,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,635.0
1971,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,650.0
1972,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,598.0
1973,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,268.0
1974,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,460.0
1975,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,477.0
1976,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,133.0
1977,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,431.0
1978,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,336.0
1979,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,372.0
1980,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,431.0
1981,Ontario,Total production,Pears,Bushels,"Processed (x 1,000)",v380661,1.1.2.1.2,301.0
1940,Ontario,Total production,Pears,Tons,Fresh,v380655,1.1.2.2.1,2025.0
1941,Ontario,Total production,Pears,Tons,Fresh,v380655,1.1.2.2.1,6150.0
1942,Ontario,Total production,Pears,Tons,Fresh,v380655,1.1.2.2.1,3509.0
