Ref_Date,GEO,PRODUCTION,FRUIT,UOFM,PROCESS,Vector,Coordinate,Value
1971,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,10574.0
1972,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,7846.0
1973,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,11659.0
1974,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,9414.0
1975,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,12657.0
1976,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,14326.0
1977,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,15172.0
1978,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,15787.0
1979,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,16378.0
1980,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,12829.0
1981,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,17523.0
1926,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.07
1927,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.07
1928,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.08
1929,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.08
1930,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.09
1931,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.05
1932,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.04
1933,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.04
1934,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.05
1935,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.05
1936,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.05
1937,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.06
1938,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.06
1939,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.04
1940,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.04
1941,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.06
1942,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.08
1943,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.12
1944,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.12
1945,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.10
1946,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.12
1947,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.14
1948,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.14
1949,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.13
1950,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.14
1951,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.17
1952,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.13
1953,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.12
1954,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.15
1955,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.14
1956,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.19
1957,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.15
1958,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.15
1959,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.15
1960,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.15
1961,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.14
1962,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.13
1963,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.16
1964,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.16
1965,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.17
1966,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.18
1967,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.16
1968,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.17
1969,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.19
1970,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.20
1971,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.22
1972,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.24
1973,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.27
1974,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.34
1975,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.34
1976,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.38
1977,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.51
1978,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.49
1979,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.65
1980,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.90
1981,Canada,Average price per pound,Loganberries,Dollars,Fresh and processed,v74416,1.3.1.3.1,0.91
1926,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1927,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1928,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1929,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1930,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1931,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1932,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1933,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1934,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1935,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1936,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1937,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1938,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1939,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1940,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1941,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1942,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1943,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1944,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1945,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1946,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1947,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1948,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.00
1949,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.15
1950,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.09
1951,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.10
1952,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.15
1953,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.15
1954,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.12
1955,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.11
1956,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.15
1957,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.14
1958,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.10
1959,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.13
1960,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.14
1961,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.15
1962,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.14
1963,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.16
1964,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.16
1965,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.16
1966,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.16
1967,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.16
1968,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.16
1969,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.16
1970,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.12
1971,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.09
1972,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.12
1973,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.14
1974,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.11
1975,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.13
1976,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.16
1977,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.22
1978,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.23
1979,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.24
1980,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.36
1981,Canada,Average price per pound,Cranberries,Dollars,Fresh and processed,v74634,1.3.2.3.1,0.49
1926,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1927,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1928,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1929,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1930,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1931,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1932,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1933,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1934,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1935,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1936,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1937,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1938,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1939,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1940,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1941,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1942,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1943,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1944,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1945,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1946,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1947,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1948,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,0.00
1949,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,620.00
1950,Atlantic provinces,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74620,2.1.2.1.1,815.00
