Ref_Date,GEO,ORI,INT,Vector,Coordinate,Value
1956,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,9343.00
1957,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,16040.00
1958,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,7553.00
1959,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,6947.00
1960,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,7436.00
1961,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,6696.00
1962,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,8218.00
1963,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,9640.00
1964,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,11965.00
1965,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,16654.00
1966,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,23637.00
1967,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,30853.00
1968,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,29250.00
1969,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,26883.00
1970,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,22412.00
1971,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,16307.00
1972,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,15262.00
1973,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,19112.00
1974,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,21599.00
1975,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,19821.00
1976,Canada,Overseas and the United States,"Workers, professional",v742553,1.1.4,14378.00
1953,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,6339.00
1954,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,6775.00
1955,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,5775.00
1956,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,9492.00
1957,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,16829.00
1958,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,6745.00
1959,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,5459.00
1960,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,5860.00
1961,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,4232.00
1962,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,4898.00
1963,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,6186.00
1964,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,7931.00
1965,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,9919.00
1966,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,13235.00
1967,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,16609.00
1968,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,12651.00
1969,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,12222.00
1970,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,12143.00
1971,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,9909.00
1972,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,8549.00
1973,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,13422.00
1974,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,15660.00
1975,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,11803.00
1976,Canada,Overseas and the United States,"Workers, clerical",v742554,1.1.5,9345.00
1953,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,1855.00
1954,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,1938.00
1955,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,1190.00
1956,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,2255.00
1957,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,5254.00
1958,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,1229.00
1959,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,999.00
1960,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,1223.00
1961,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,574.00
1962,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,489.00
1963,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,652.00
1964,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,768.00
1965,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,1203.00
1966,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,1809.00
1967,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,1894.00
1968,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,1257.00
1969,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,932.00
1970,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,843.00
1971,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,740.00
1972,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,795.00
1973,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,1261.00
1974,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,1315.00
1975,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,1055.00
1976,Canada,Overseas and the United States,"Workers, transport and communication",v742555,1.1.6,784.00
1953,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,3185.00
1954,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,2735.00
1955,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,2146.00
1956,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,3823.00
1957,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,6559.00
1958,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,2229.00
1959,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,2107.00
1960,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,2152.00
1961,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,1241.00
1962,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,1214.00
1963,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,1496.00
1964,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,1999.00
1965,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,2660.00
1966,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,3306.00
1967,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,3358.00
1968,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,3195.00
1969,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,3287.00
1970,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,3030.00
1971,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,2486.00
1972,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,2460.00
1973,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,3657.00
1974,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,4119.00
1975,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,3294.00
1976,Canada,Overseas and the United States,"Workers, commercial and financial",v742556,1.1.7,2632.00
1953,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,13766.00
1954,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,11974.00
1955,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,9588.00
1956,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,13800.00
1957,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,17574.00
1958,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,11501.00
1959,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,9740.00
1960,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,8763.00
1961,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,6557.00
1962,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,5853.00
1963,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,6099.00
1964,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,6420.00
1965,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,7587.00
1966,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,8681.00
1967,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,10716.00
1968,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,9235.00
1969,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,9060.00
1970,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,7852.00
1971,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,6387.00
1972,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,6575.00
1973,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,11917.00
1974,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,10739.00
1975,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,7198.00
1976,Canada,Overseas and the United States,"Workers, service, sports and recreation",v742557,1.1.8,5774.00
1953,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,17250.00
1954,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,10920.00
1955,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,7036.00
1956,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,7500.00
1957,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,10838.00
1958,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,5071.00
1959,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,4965.00
1960,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,5321.00
1961,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,2341.00
1962,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,1923.00
1963,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,2398.00
1964,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,2234.00
1965,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,2362.00
1966,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,3153.00
1967,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,3203.00
1968,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,3164.00
1969,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,2283.00
1970,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,2129.00
1971,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,2160.00
1972,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,2127.00
1973,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,3068.00
1974,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,2637.00
1975,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,1511.00
1976,Canada,Overseas and the United States,"Workers, agriculture",v742558,1.1.9,1162.00
1953,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,415.00
1954,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,335.00
1955,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,260.00
1956,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,505.00
1957,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,827.00
1958,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,169.00
1959,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,123.00
1960,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,188.00
1961,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,65.00
1962,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,78.00
1963,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,66.00
1964,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,73.00
1965,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,187.00
1966,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,260.00
1967,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,324.00
1968,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,114.00
1969,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,132.00
1970,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,111.00
1971,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,87.00
1972,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,93.00
1973,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,211.00
1974,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,293.00
1975,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,171.00
1976,Canada,Overseas and the United States,"Workers, logging, fishing and trapping",v742559,1.1.10,60.00
1953,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,464.00
1954,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,428.00
1955,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,254.00
1956,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,1144.00
1957,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,1866.00
1958,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,344.00
1959,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,248.00
1960,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,479.00
1961,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,90.00
1962,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,100.00
1963,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,130.00
1964,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,114.00
1965,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,230.00
1966,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,334.00
1967,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,380.00
1968,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,496.00
1969,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,389.00
1970,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,272.00
1971,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,237.00
1972,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,144.00
1973,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,173.00
1974,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,233.00
1975,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,178.00
1976,Canada,Overseas and the United States,"Workers, mining and quarrying, gas and oil",v742560,1.1.11,103.00
1953,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,26492.00
1954,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,25699.00
1955,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,15117.00
1956,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,29264.00
1957,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,54376.00
1958,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,17476.00
1959,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,12792.00
1960,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,13551.00
1961,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,8076.00
1962,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,9685.00
1963,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,14415.00
1964,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,17476.00
1965,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,24167.00
1966,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,34047.00
1967,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,38761.00
1968,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,30926.00
1969,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,23443.00
1970,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,22006.00
1971,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,16166.00
1972,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,15389.00
1973,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,26396.00
1974,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,34620.00
1975,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,24696.00
1976,Canada,Overseas and the United States,"Workers, manufacturing, mechanical and construction",v742550,1.1.12,16578.00
1953,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,10380.00
1954,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,13011.00
1955,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,7687.00
1956,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,12482.00
1957,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,19471.00
1958,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,9388.00
1959,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,8940.00
1960,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,7482.00
1961,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,3982.00
1962,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,3145.00
1963,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,3559.00
1964,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,5737.00
1965,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,7112.00
1966,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,7593.00
1967,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,8792.00
1968,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,2681.00
1969,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,2018.00
1970,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,1614.00
1971,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,1324.00
1972,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,1184.00
1973,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,2734.00
1974,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,1787.00
1975,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,1183.00
1976,Canada,Overseas and the United States,"Workers, labourers",v742551,1.1.13,915.00
1953,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,966.00
1954,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,578.00
1955,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,371.00
1956,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,435.00
1957,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,661.00
1958,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,429.00
1959,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,394.00
1960,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,293.00
1961,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,59.00
1962,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,52.00
1963,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,66.00
1964,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,261.00
1965,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,386.00
1966,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,863.00
1967,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,1626.00
1968,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,92.00
1969,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,1134.00
