Ref_Date,GEO,NAICS,SUMMARY,Vector,Coordinate,Value
2013,Manitoba,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729781,8.1.2,x
2015,Manitoba,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729781,8.1.2,0.7
2013,Manitoba,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729782,8.1.3,x
2015,Manitoba,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729782,8.1.3,0.3
2013,Manitoba,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729783,8.1.4,x
2015,Manitoba,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729783,8.1.4,25.2
2013,Saskatchewan,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729784,9.1.1,3.5
2015,Saskatchewan,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729784,9.1.1,2.4
2013,Saskatchewan,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729785,9.1.2,3.1
2015,Saskatchewan,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729785,9.1.2,x
2013,Saskatchewan,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729786,9.1.3,x
2015,Saskatchewan,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729786,9.1.3,x
2013,Saskatchewan,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729787,9.1.4,11.5
2015,Saskatchewan,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729787,9.1.4,x
2013,Alberta,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729788,10.1.1,6.0
2015,Alberta,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729788,10.1.1,10.5
2013,Alberta,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729789,10.1.2,5.0
2015,Alberta,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729789,10.1.2,8.1
2013,Alberta,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729790,10.1.3,1.6
2015,Alberta,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729790,10.1.3,1.8
2013,Alberta,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729791,10.1.4,17.1
2015,Alberta,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729791,10.1.4,23.4
2013,British Columbia,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729792,11.1.1,248.5
2015,British Columbia,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729792,11.1.1,318.2
2013,British Columbia,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729793,11.1.2,238.6
2015,British Columbia,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729793,11.1.2,302.4
2013,British Columbia,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729794,11.1.3,127.0
2015,British Columbia,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729794,11.1.3,155.7
2013,British Columbia,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729795,11.1.4,4.0
2015,British Columbia,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729795,11.1.4,4.9
2013,Yukon,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v97887052,12.1.1,x
2015,Yukon,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v97887052,12.1.1,x
2013,Yukon,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v97887053,12.1.2,x
2015,Yukon,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v97887053,12.1.2,x
2013,Yukon,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v97887054,12.1.3,0.0
2015,Yukon,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v97887054,12.1.3,0.0
2013,Yukon,Post-production and other motion picture and video industries,Operating profit margin (percent),v97887055,12.1.4,x
2015,Yukon,Post-production and other motion picture and video industries,Operating profit margin (percent),v97887055,12.1.4,x
2013,Northwest Territories,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v97887056,13.1.1,x
2015,Northwest Territories,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v97887056,13.1.1,x
2013,Northwest Territories,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v97887057,13.1.2,x
2015,Northwest Territories,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v97887057,13.1.2,x
2013,Northwest Territories,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v97887058,13.1.3,x
2015,Northwest Territories,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v97887058,13.1.3,0.0
2013,Northwest Territories,Post-production and other motion picture and video industries,Operating profit margin (percent),v97887059,13.1.4,x
2015,Northwest Territories,Post-production and other motion picture and video industries,Operating profit margin (percent),v97887059,13.1.4,x
2013,Nunavut,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v97887060,14.1.1,..
2015,Nunavut,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v97887060,14.1.1,..
2013,Nunavut,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v97887061,14.1.2,..
2015,Nunavut,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v97887061,14.1.2,..
2013,Nunavut,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v97887062,14.1.3,..
2015,Nunavut,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v97887062,14.1.3,..
2013,Nunavut,Post-production and other motion picture and video industries,Operating profit margin (percent),v97887063,14.1.4,..
2015,Nunavut,Post-production and other motion picture and video industries,Operating profit margin (percent),v97887063,14.1.4,..
