Ref_Date,GEO,AG,SEX,CA,STA,Vector,Coordinate,Value
2012,Canada,"Total, 15 years and over",Both sexes,"Did not hunt, fish or trap in the last year",Low 95% confidence interval (percent),v98405107,1.1.1.7.3,32.6
2012,Canada,"Total, 15 years and over",Both sexes,"Did not hunt, fish or trap in the last year",High 95% confidence interval (percent),v98405108,1.1.1.7.4,39.2
2012,Canada,"Total, 15 years and over",Both sexes,"Interested in hunting, fishing or trapping",Number of persons,v98405109,1.1.1.8.1,8320.0
2012,Canada,"Total, 15 years and over",Both sexes,"Interested in hunting, fishing or trapping",Percent,v98405110,1.1.1.8.2,20.2
2012,Canada,"Total, 15 years and over",Both sexes,"Interested in hunting, fishing or trapping",Low 95% confidence interval (percent),v98405111,1.1.1.8.3,17.8
2012,Canada,"Total, 15 years and over",Both sexes,"Interested in hunting, fishing or trapping",High 95% confidence interval (percent),v98405112,1.1.1.8.4,22.8
2012,Canada,"Total, 15 years and over",Both sexes,"Not interested in hunting, fishing or trapping",Number of persons,v98405113,1.1.1.9.1,6290.0
2012,Canada,"Total, 15 years and over",Both sexes,"Not interested in hunting, fishing or trapping",Percent,v98405114,1.1.1.9.2,15.2
2012,Canada,"Total, 15 years and over",Both sexes,"Not interested in hunting, fishing or trapping",Low 95% confidence interval (percent),v98405115,1.1.1.9.3,13.3
2012,Canada,"Total, 15 years and over",Both sexes,"Not interested in hunting, fishing or trapping",High 95% confidence interval (percent),v98405116,1.1.1.9.4,17.5
2012,Canada,"Total, 15 years and over",Both sexes,"Not specified if interested in hunting, fishing or trapping",Number of persons,v98405117,1.1.1.10.1,F
2012,Canada,"Total, 15 years and over",Both sexes,"Not specified if interested in hunting, fishing or trapping",Percent,v98405118,1.1.1.10.2,F
2012,Canada,"Total, 15 years and over",Both sexes,"Not specified if interested in hunting, fishing or trapping",Low 95% confidence interval (percent),v98405119,1.1.1.10.3,F
2012,Canada,"Total, 15 years and over",Both sexes,"Not specified if interested in hunting, fishing or trapping",High 95% confidence interval (percent),v98405120,1.1.1.10.4,F
2012,Canada,"Total, 15 years and over",Both sexes,"Not specified if hunted, fished or trapped in the last year",Number of persons,v98405121,1.1.1.11.1,2180.0
2012,Canada,"Total, 15 years and over",Both sexes,"Not specified if hunted, fished or trapped in the last year",Percent,v98405122,1.1.1.11.2,5.3
2012,Canada,"Total, 15 years and over",Both sexes,"Not specified if hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98405123,1.1.1.11.3,4.3
2012,Canada,"Total, 15 years and over",Both sexes,"Not specified if hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98405124,1.1.1.11.4,6.5
2012,Canada,"Total, 15 years and over",Both sexes,"Total, gathered wild plants in the last year",Number of persons,v98405125,1.1.1.12.1,41270.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, gathered wild plants in the last year",Percent,v98405126,1.1.1.12.2,100.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, gathered wild plants in the last year",Low 95% confidence interval (percent),v98405127,1.1.1.12.3,100.0
2012,Canada,"Total, 15 years and over",Both sexes,"Total, gathered wild plants in the last year",High 95% confidence interval (percent),v98405128,1.1.1.12.4,100.0
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants in the last year,Number of persons,v98405129,1.1.1.13.1,17290.0
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants in the last year,Percent,v98405130,1.1.1.13.2,41.9
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants in the last year,Low 95% confidence interval (percent),v98405131,1.1.1.13.3,39.3
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants in the last year,High 95% confidence interval (percent),v98405132,1.1.1.13.4,44.5
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants at least once a week during the season,Number of persons,v98405133,1.1.1.14.1,11040.0
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants at least once a week during the season,Percent,v98405134,1.1.1.14.2,26.8
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants at least once a week during the season,Low 95% confidence interval (percent),v98405135,1.1.1.14.3,24.7
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants at least once a week during the season,High 95% confidence interval (percent),v98405136,1.1.1.14.4,29.0
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants less than once a week but at least once a month during the season,Number of persons,v98405137,1.1.1.15.1,4520.0
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants less than once a week but at least once a month during the season,Percent,v98405138,1.1.1.15.2,11.0
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants less than once a week but at least once a month during the season,Low 95% confidence interval (percent),v98405139,1.1.1.15.3,9.5
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants less than once a week but at least once a month during the season,High 95% confidence interval (percent),v98405140,1.1.1.15.4,12.6
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants at least once in the last year but not at all in the last month,Number of persons,v98405141,1.1.1.16.1,1650.0
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants at least once in the last year but not at all in the last month,Percent,v98405142,1.1.1.16.2,4.0
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants at least once in the last year but not at all in the last month,Low 95% confidence interval (percent),v98405143,1.1.1.16.3,2.9
2012,Canada,"Total, 15 years and over",Both sexes,Gathered wild plants at least once in the last year but not at all in the last month,High 95% confidence interval (percent),v98405144,1.1.1.16.4,5.4
2012,Canada,"Total, 15 years and over",Both sexes,Not specified how often gathered wild plants in the last year,Number of persons,v98405145,1.1.1.17.1,F
2012,Canada,"Total, 15 years and over",Both sexes,Not specified how often gathered wild plants in the last year,Percent,v98405146,1.1.1.17.2,F
2012,Canada,"Total, 15 years and over",Both sexes,Not specified how often gathered wild plants in the last year,Low 95% confidence interval (percent),v98405147,1.1.1.17.3,F
2012,Canada,"Total, 15 years and over",Both sexes,Not specified how often gathered wild plants in the last year,High 95% confidence interval (percent),v98405148,1.1.1.17.4,F
2012,Canada,"Total, 15 years and over",Both sexes,Did not gather wild plants in the last year,Number of persons,v98405149,1.1.1.18.1,21560.0
2012,Canada,"Total, 15 years and over",Both sexes,Did not gather wild plants in the last year,Percent,v98405150,1.1.1.18.2,52.2
2012,Canada,"Total, 15 years and over",Both sexes,Did not gather wild plants in the last year,Low 95% confidence interval (percent),v98405151,1.1.1.18.3,49.5
2012,Canada,"Total, 15 years and over",Both sexes,Did not gather wild plants in the last year,High 95% confidence interval (percent),v98405152,1.1.1.18.4,55.0
2012,Canada,"Total, 15 years and over",Both sexes,Interested in gathering wild plants,Number of persons,v98405153,1.1.1.19.1,5490.0
2012,Canada,"Total, 15 years and over",Both sexes,Interested in gathering wild plants,Percent,v98405154,1.1.1.19.2,13.3
2012,Canada,"Total, 15 years and over",Both sexes,Interested in gathering wild plants,Low 95% confidence interval (percent),v98405155,1.1.1.19.3,11.2
2012,Canada,"Total, 15 years and over",Both sexes,Interested in gathering wild plants,High 95% confidence interval (percent),v98405156,1.1.1.19.4,15.8
2012,Canada,"Total, 15 years and over",Both sexes,Not interested in gathering wild plants,Number of persons,v98405157,1.1.1.20.1,15660.0
2012,Canada,"Total, 15 years and over",Both sexes,Not interested in gathering wild plants,Percent,v98405158,1.1.1.20.2,37.9
2012,Canada,"Total, 15 years and over",Both sexes,Not interested in gathering wild plants,Low 95% confidence interval (percent),v98405159,1.1.1.20.3,35.3
2012,Canada,"Total, 15 years and over",Both sexes,Not interested in gathering wild plants,High 95% confidence interval (percent),v98405160,1.1.1.20.4,40.6
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if interested in gathering wild plants,Number of persons,v98405161,1.1.1.21.1,420.0
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if interested in gathering wild plants,Percent,v98405162,1.1.1.21.2,1.0
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if interested in gathering wild plants,Low 95% confidence interval (percent),v98405163,1.1.1.21.3,0.6
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if interested in gathering wild plants,High 95% confidence interval (percent),v98405164,1.1.1.21.4,1.7
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if gathered wild plants in the last year,Number of persons,v98405165,1.1.1.22.1,2420.0
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if gathered wild plants in the last year,Percent,v98405166,1.1.1.22.2,5.9
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if gathered wild plants in the last year,Low 95% confidence interval (percent),v98405167,1.1.1.22.3,4.8
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if gathered wild plants in the last year,High 95% confidence interval (percent),v98405168,1.1.1.22.4,7.2
2012,Canada,"Total, 15 years and over",Male,"Total, hunted, fished or trapped in the last year",Number of persons,v98405169,1.1.2.1.1,18780.0
2012,Canada,"Total, 15 years and over",Male,"Total, hunted, fished or trapped in the last year",Percent,v98405170,1.1.2.1.2,100.0
2012,Canada,"Total, 15 years and over",Male,"Total, hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98405171,1.1.2.1.3,100.0
2012,Canada,"Total, 15 years and over",Male,"Total, hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98405172,1.1.2.1.4,100.0
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped in the last year",Number of persons,v98405173,1.1.2.2.1,13430.0
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped in the last year",Percent,v98405174,1.1.2.2.2,71.5
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98405175,1.1.2.2.3,67.8
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98405176,1.1.2.2.4,75.0
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped at least once a week during the season",Number of persons,v98405177,1.1.2.3.1,7530.0
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped at least once a week during the season",Percent,v98405178,1.1.2.3.2,40.1
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped at least once a week during the season",Low 95% confidence interval (percent),v98405179,1.1.2.3.3,51.4
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped at least once a week during the season",High 95% confidence interval (percent),v98405180,1.1.2.3.4,60.7
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped less than once a week but at least once a month during the season",Number of persons,v98405181,1.1.2.4.1,4390.0
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped less than once a week but at least once a month during the season",Percent,v98405182,1.1.2.4.2,23.4
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped less than once a week but at least once a month during the season",Low 95% confidence interval (percent),v98405183,1.1.2.4.3,28.3
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped less than once a week but at least once a month during the season",High 95% confidence interval (percent),v98405184,1.1.2.4.4,37.3
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped at least once during the season but not at all in the last month",Number of persons,v98405185,1.1.2.5.1,1470.0
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped at least once during the season but not at all in the last month",Percent,v98405186,1.1.2.5.2,7.8
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped at least once during the season but not at all in the last month",Low 95% confidence interval (percent),v98405187,1.1.2.5.3,8.2
2012,Canada,"Total, 15 years and over",Male,"Hunted, fished or trapped at least once during the season but not at all in the last month",High 95% confidence interval (percent),v98405188,1.1.2.5.4,14.4
2012,Canada,"Total, 15 years and over",Male,"Not specified how often hunted, fished or trapped in the last year",Number of persons,v98405189,1.1.2.6.1,F
2012,Canada,"Total, 15 years and over",Male,"Not specified how often hunted, fished or trapped in the last year",Percent,v98405190,1.1.2.6.2,F
2012,Canada,"Total, 15 years and over",Male,"Not specified how often hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98405191,1.1.2.6.3,F
2012,Canada,"Total, 15 years and over",Male,"Not specified how often hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98405192,1.1.2.6.4,F
2012,Canada,"Total, 15 years and over",Male,"Did not hunt, fish or trap in the last year",Number of persons,v98405193,1.1.2.7.1,4440.0
2012,Canada,"Total, 15 years and over",Male,"Did not hunt, fish or trap in the last year",Percent,v98405194,1.1.2.7.2,23.6
2012,Canada,"Total, 15 years and over",Male,"Did not hunt, fish or trap in the last year",Low 95% confidence interval (percent),v98405195,1.1.2.7.3,20.3
2012,Canada,"Total, 15 years and over",Male,"Did not hunt, fish or trap in the last year",High 95% confidence interval (percent),v98405196,1.1.2.7.4,27.3
2012,Canada,"Total, 15 years and over",Male,"Interested in hunting, fishing or trapping",Number of persons,v98405197,1.1.2.8.1,2820.0
2012,Canada,"Total, 15 years and over",Male,"Interested in hunting, fishing or trapping",Percent,v98405198,1.1.2.8.2,15.0
2012,Canada,"Total, 15 years and over",Male,"Interested in hunting, fishing or trapping",Low 95% confidence interval (percent),v98405199,1.1.2.8.3,12.4
2012,Canada,"Total, 15 years and over",Male,"Interested in hunting, fishing or trapping",High 95% confidence interval (percent),v98405200,1.1.2.8.4,18.1
2012,Canada,"Total, 15 years and over",Male,"Not interested in hunting, fishing or trapping",Number of persons,v98405201,1.1.2.9.1,1530.0
2012,Canada,"Total, 15 years and over",Male,"Not interested in hunting, fishing or trapping",Percent,v98405202,1.1.2.9.2,8.1
2012,Canada,"Total, 15 years and over",Male,"Not interested in hunting, fishing or trapping",Low 95% confidence interval (percent),v98405203,1.1.2.9.3,6.0
2012,Canada,"Total, 15 years and over",Male,"Not interested in hunting, fishing or trapping",High 95% confidence interval (percent),v98405204,1.1.2.9.4,10.8
2012,Canada,"Total, 15 years and over",Male,"Not specified if interested in hunting, fishing or trapping",Number of persons,v98405205,1.1.2.10.1,F
2012,Canada,"Total, 15 years and over",Male,"Not specified if interested in hunting, fishing or trapping",Percent,v98405206,1.1.2.10.2,F
2012,Canada,"Total, 15 years and over",Male,"Not specified if interested in hunting, fishing or trapping",Low 95% confidence interval (percent),v98405207,1.1.2.10.3,F
2012,Canada,"Total, 15 years and over",Male,"Not specified if interested in hunting, fishing or trapping",High 95% confidence interval (percent),v98405208,1.1.2.10.4,F
2012,Canada,"Total, 15 years and over",Male,"Not specified if hunted, fished or trapped in the last year",Number of persons,v98405209,1.1.2.11.1,910.0
2012,Canada,"Total, 15 years and over",Male,"Not specified if hunted, fished or trapped in the last year",Percent,v98405210,1.1.2.11.2,4.8
2012,Canada,"Total, 15 years and over",Male,"Not specified if hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98405211,1.1.2.11.3,3.6
2012,Canada,"Total, 15 years and over",Male,"Not specified if hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98405212,1.1.2.11.4,6.5
2012,Canada,"Total, 15 years and over",Male,"Total, gathered wild plants in the last year",Number of persons,v98405213,1.1.2.12.1,18780.0
2012,Canada,"Total, 15 years and over",Male,"Total, gathered wild plants in the last year",Percent,v98405214,1.1.2.12.2,100.0
2012,Canada,"Total, 15 years and over",Male,"Total, gathered wild plants in the last year",Low 95% confidence interval (percent),v98405215,1.1.2.12.3,100.0
2012,Canada,"Total, 15 years and over",Male,"Total, gathered wild plants in the last year",High 95% confidence interval (percent),v98405216,1.1.2.12.4,100.0
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants in the last year,Number of persons,v98405217,1.1.2.13.1,7010.0
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants in the last year,Percent,v98405218,1.1.2.13.2,37.3
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants in the last year,Low 95% confidence interval (percent),v98405219,1.1.2.13.3,34.0
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants in the last year,High 95% confidence interval (percent),v98405220,1.1.2.13.4,40.7
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants at least once a week during the season,Number of persons,v98405221,1.1.2.14.1,4060.0
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants at least once a week during the season,Percent,v98405222,1.1.2.14.2,21.6
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants at least once a week during the season,Low 95% confidence interval (percent),v98405223,1.1.2.14.3,19.1
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants at least once a week during the season,High 95% confidence interval (percent),v98405224,1.1.2.14.4,24.4
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants less than once a week but at least once a month during the season,Number of persons,v98405225,1.1.2.15.1,2160.0
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants less than once a week but at least once a month during the season,Percent,v98405226,1.1.2.15.2,11.5
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants less than once a week but at least once a month during the season,Low 95% confidence interval (percent),v98405227,1.1.2.15.3,9.2
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants less than once a week but at least once a month during the season,High 95% confidence interval (percent),v98405228,1.1.2.15.4,14.3
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants at least once in the last year but not at all in the last month,Number of persons,v98405229,1.1.2.16.1,770.0
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants at least once in the last year but not at all in the last month,Percent,v98405230,1.1.2.16.2,4.1
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants at least once in the last year but not at all in the last month,Low 95% confidence interval (percent),v98405231,1.1.2.16.3,2.5
2012,Canada,"Total, 15 years and over",Male,Gathered wild plants at least once in the last year but not at all in the last month,High 95% confidence interval (percent),v98405232,1.1.2.16.4,6.6
2012,Canada,"Total, 15 years and over",Male,Not specified how often gathered wild plants in the last year,Number of persons,v98405233,1.1.2.17.1,F
2012,Canada,"Total, 15 years and over",Male,Not specified how often gathered wild plants in the last year,Percent,v98405234,1.1.2.17.2,F
2012,Canada,"Total, 15 years and over",Male,Not specified how often gathered wild plants in the last year,Low 95% confidence interval (percent),v98405235,1.1.2.17.3,F
2012,Canada,"Total, 15 years and over",Male,Not specified how often gathered wild plants in the last year,High 95% confidence interval (percent),v98405236,1.1.2.17.4,F
2012,Canada,"Total, 15 years and over",Male,Did not gather wild plants in the last year,Number of persons,v98405237,1.1.2.18.1,10720.0
2012,Canada,"Total, 15 years and over",Male,Did not gather wild plants in the last year,Percent,v98405238,1.1.2.18.2,57.1
2012,Canada,"Total, 15 years and over",Male,Did not gather wild plants in the last year,Low 95% confidence interval (percent),v98405239,1.1.2.18.3,53.6
2012,Canada,"Total, 15 years and over",Male,Did not gather wild plants in the last year,High 95% confidence interval (percent),v98405240,1.1.2.18.4,60.5
2012,Canada,"Total, 15 years and over",Male,Interested in gathering wild plants,Number of persons,v98405241,1.1.2.19.1,1650.0
2012,Canada,"Total, 15 years and over",Male,Interested in gathering wild plants,Percent,v98405242,1.1.2.19.2,8.8
2012,Canada,"Total, 15 years and over",Male,Interested in gathering wild plants,Low 95% confidence interval (percent),v98405243,1.1.2.19.3,7.1
2012,Canada,"Total, 15 years and over",Male,Interested in gathering wild plants,High 95% confidence interval (percent),v98405244,1.1.2.19.4,10.8
2012,Canada,"Total, 15 years and over",Male,Not interested in gathering wild plants,Number of persons,v98405245,1.1.2.20.1,8820.0
2012,Canada,"Total, 15 years and over",Male,Not interested in gathering wild plants,Percent,v98405246,1.1.2.20.2,47.0
2012,Canada,"Total, 15 years and over",Male,Not interested in gathering wild plants,Low 95% confidence interval (percent),v98405247,1.1.2.20.3,43.4
2012,Canada,"Total, 15 years and over",Male,Not interested in gathering wild plants,High 95% confidence interval (percent),v98405248,1.1.2.20.4,50.6
2012,Canada,"Total, 15 years and over",Male,Not specified if interested in gathering wild plants,Number of persons,v98405249,1.1.2.21.1,F
2012,Canada,"Total, 15 years and over",Male,Not specified if interested in gathering wild plants,Percent,v98405250,1.1.2.21.2,F
2012,Canada,"Total, 15 years and over",Male,Not specified if interested in gathering wild plants,Low 95% confidence interval (percent),v98405251,1.1.2.21.3,F
2012,Canada,"Total, 15 years and over",Male,Not specified if interested in gathering wild plants,High 95% confidence interval (percent),v98405252,1.1.2.21.4,F
2012,Canada,"Total, 15 years and over",Male,Not specified if gathered wild plants in the last year,Number of persons,v98405253,1.1.2.22.1,1050.0
2012,Canada,"Total, 15 years and over",Male,Not specified if gathered wild plants in the last year,Percent,v98405254,1.1.2.22.2,5.6
2012,Canada,"Total, 15 years and over",Male,Not specified if gathered wild plants in the last year,Low 95% confidence interval (percent),v98405255,1.1.2.22.3,4.2
2012,Canada,"Total, 15 years and over",Male,Not specified if gathered wild plants in the last year,High 95% confidence interval (percent),v98405256,1.1.2.22.4,7.4
2012,Canada,"Total, 15 years and over",Female,"Total, hunted, fished or trapped in the last year",Number of persons,v98405257,1.1.3.1.1,22500.0
2012,Canada,"Total, 15 years and over",Female,"Total, hunted, fished or trapped in the last year",Percent,v98405258,1.1.3.1.2,100.0
2012,Canada,"Total, 15 years and over",Female,"Total, hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98405259,1.1.3.1.3,100.0
2012,Canada,"Total, 15 years and over",Female,"Total, hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98405260,1.1.3.1.4,100.0
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped in the last year",Number of persons,v98405261,1.1.3.2.1,10890.0
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped in the last year",Percent,v98405262,1.1.3.2.2,48.4
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98405263,1.1.3.2.3,43.9
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98405264,1.1.3.2.4,52.9
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped at least once a week during the season",Number of persons,v98405265,1.1.3.3.1,4850.0
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped at least once a week during the season",Percent,v98405266,1.1.3.3.2,21.6
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped at least once a week during the season",Low 95% confidence interval (percent),v98405267,1.1.3.3.3,40.1
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped at least once a week during the season",High 95% confidence interval (percent),v98405268,1.1.3.3.4,49.1
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped less than once a week but at least once a month during the season",Number of persons,v98405269,1.1.3.4.1,3760.0
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped less than once a week but at least once a month during the season",Percent,v98405270,1.1.3.4.2,16.7
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped less than once a week but at least once a month during the season",Low 95% confidence interval (percent),v98405271,1.1.3.4.3,29.6
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped less than once a week but at least once a month during the season",High 95% confidence interval (percent),v98405272,1.1.3.4.4,39.8
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped at least once during the season but not at all in the last month",Number of persons,v98405273,1.1.3.5.1,2220.0
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped at least once during the season but not at all in the last month",Percent,v98405274,1.1.3.5.2,9.9
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped at least once during the season but not at all in the last month",Low 95% confidence interval (percent),v98405275,1.1.3.5.3,15.8
2012,Canada,"Total, 15 years and over",Female,"Hunted, fished or trapped at least once during the season but not at all in the last month",High 95% confidence interval (percent),v98405276,1.1.3.5.4,26.0
2012,Canada,"Total, 15 years and over",Female,"Not specified how often hunted, fished or trapped in the last year",Number of persons,v98405277,1.1.3.6.1,F
2012,Canada,"Total, 15 years and over",Female,"Not specified how often hunted, fished or trapped in the last year",Percent,v98405278,1.1.3.6.2,F
2012,Canada,"Total, 15 years and over",Female,"Not specified how often hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98405279,1.1.3.6.3,F
2012,Canada,"Total, 15 years and over",Female,"Not specified how often hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98405280,1.1.3.6.4,F
