Ref_Date,GEO,INDUSTRY,ADJUSTMENTS,Vector,Coordinate,Value
2013,Canada,Electronic shopping and mail-order houses,"Opening inventory (x 1,000)",v101256205,1.2.3,532456.0
2014,Canada,Electronic shopping and mail-order houses,"Opening inventory (x 1,000)",v101256205,1.2.3,847845.0
2012,Canada,Electronic shopping and mail-order houses,"Purchases (x 1,000)",v101256206,1.2.4,3365706.0
2013,Canada,Electronic shopping and mail-order houses,"Purchases (x 1,000)",v101256206,1.2.4,4602188.0
2014,Canada,Electronic shopping and mail-order houses,"Purchases (x 1,000)",v101256206,1.2.4,5603453.0
2012,Canada,Electronic shopping and mail-order houses,"Closing inventory (x 1,000)",v101256207,1.2.5,508700.0
2013,Canada,Electronic shopping and mail-order houses,"Closing inventory (x 1,000)",v101256207,1.2.5,731117.0
2014,Canada,Electronic shopping and mail-order houses,"Closing inventory (x 1,000)",v101256207,1.2.5,795046.0
2012,Canada,Electronic shopping and mail-order houses,"Cost of goods sold (x 1,000)",v101256208,1.2.6,3333216.0
2013,Canada,Electronic shopping and mail-order houses,"Cost of goods sold (x 1,000)",v101256208,1.2.6,4403521.0
2014,Canada,Electronic shopping and mail-order houses,"Cost of goods sold (x 1,000)",v101256208,1.2.6,5656252.0
2012,Canada,Electronic shopping and mail-order houses,"Total labour remuneration (x 1,000)",v101256209,1.2.7,603013.0
2013,Canada,Electronic shopping and mail-order houses,"Total labour remuneration (x 1,000)",v101256209,1.2.7,692927.0
2014,Canada,Electronic shopping and mail-order houses,"Total labour remuneration (x 1,000)",v101256209,1.2.7,876100.0
2012,Canada,Electronic shopping and mail-order houses,"Total operating expenses (x 1,000)",v101256210,1.2.8,1991618.0
2013,Canada,Electronic shopping and mail-order houses,"Total operating expenses (x 1,000)",v101256210,1.2.8,2271369.0
2014,Canada,Electronic shopping and mail-order houses,"Total operating expenses (x 1,000)",v101256210,1.2.8,2684605.0
2012,Canada,Electronic shopping and mail-order houses,Gross margin (percent),v101256211,1.2.9,38.6
2013,Canada,Electronic shopping and mail-order houses,Gross margin (percent),v101256211,1.2.9,34.9
2014,Canada,Electronic shopping and mail-order houses,Gross margin (percent),v101256211,1.2.9,33.5
2012,Canada,Electronic shopping and mail-order houses,Operating profit margin (percent),v101256212,1.2.10,1.9
2013,Canada,Electronic shopping and mail-order houses,Operating profit margin (percent),v101256212,1.2.10,1.3
2014,Canada,Electronic shopping and mail-order houses,Operating profit margin (percent),v101256212,1.2.10,1.9
2012,Canada,Vending machine operators,"Sales of goods for resale (x 1,000)",v101256213,1.3.1,665470.0
2013,Canada,Vending machine operators,"Sales of goods for resale (x 1,000)",v101256213,1.3.1,679012.0
2014,Canada,Vending machine operators,"Sales of goods for resale (x 1,000)",v101256213,1.3.1,664825.0
2012,Canada,Vending machine operators,"Total operating revenue (x 1,000)",v101256214,1.3.2,689545.0
2013,Canada,Vending machine operators,"Total operating revenue (x 1,000)",v101256214,1.3.2,704279.0
2014,Canada,Vending machine operators,"Total operating revenue (x 1,000)",v101256214,1.3.2,683603.0
2012,Canada,Vending machine operators,"Opening inventory (x 1,000)",v101256215,1.3.3,45433.0
2013,Canada,Vending machine operators,"Opening inventory (x 1,000)",v101256215,1.3.3,43193.0
2014,Canada,Vending machine operators,"Opening inventory (x 1,000)",v101256215,1.3.3,42454.0
2012,Canada,Vending machine operators,"Purchases (x 1,000)",v101256216,1.3.4,323131.0
2013,Canada,Vending machine operators,"Purchases (x 1,000)",v101256216,1.3.4,341111.0
2014,Canada,Vending machine operators,"Purchases (x 1,000)",v101256216,1.3.4,332581.0
2012,Canada,Vending machine operators,"Closing inventory (x 1,000)",v101256217,1.3.5,45399.0
2013,Canada,Vending machine operators,"Closing inventory (x 1,000)",v101256217,1.3.5,44437.0
2014,Canada,Vending machine operators,"Closing inventory (x 1,000)",v101256217,1.3.5,46042.0
2012,Canada,Vending machine operators,"Cost of goods sold (x 1,000)",v101256218,1.3.6,327060.0
2013,Canada,Vending machine operators,"Cost of goods sold (x 1,000)",v101256218,1.3.6,339867.0
2014,Canada,Vending machine operators,"Cost of goods sold (x 1,000)",v101256218,1.3.6,328993.0
2012,Canada,Vending machine operators,"Total labour remuneration (x 1,000)",v101256219,1.3.7,140573.0
2013,Canada,Vending machine operators,"Total labour remuneration (x 1,000)",v101256219,1.3.7,155322.0
2014,Canada,Vending machine operators,"Total labour remuneration (x 1,000)",v101256219,1.3.7,154750.0
2012,Canada,Vending machine operators,"Total operating expenses (x 1,000)",v101256220,1.3.8,312961.0
2013,Canada,Vending machine operators,"Total operating expenses (x 1,000)",v101256220,1.3.8,334632.0
2014,Canada,Vending machine operators,"Total operating expenses (x 1,000)",v101256220,1.3.8,322679.0
2012,Canada,Vending machine operators,Gross margin (percent),v101256221,1.3.9,52.6
2013,Canada,Vending machine operators,Gross margin (percent),v101256221,1.3.9,51.7
2014,Canada,Vending machine operators,Gross margin (percent),v101256221,1.3.9,51.9
2012,Canada,Vending machine operators,Operating profit margin (percent),v101256222,1.3.10,7.2
2013,Canada,Vending machine operators,Operating profit margin (percent),v101256222,1.3.10,4.2
2014,Canada,Vending machine operators,Operating profit margin (percent),v101256222,1.3.10,4.7
2012,Canada,Fuel dealers,"Sales of goods for resale (x 1,000)",v101256223,1.4.1,9588345.0
2013,Canada,Fuel dealers,"Sales of goods for resale (x 1,000)",v101256223,1.4.1,9977704.0
2014,Canada,Fuel dealers,"Sales of goods for resale (x 1,000)",v101256223,1.4.1,11640271.0
2012,Canada,Fuel dealers,"Total operating revenue (x 1,000)",v101256224,1.4.2,9497063.0
2013,Canada,Fuel dealers,"Total operating revenue (x 1,000)",v101256224,1.4.2,10205379.0
2014,Canada,Fuel dealers,"Total operating revenue (x 1,000)",v101256224,1.4.2,11790380.0
2012,Canada,Fuel dealers,"Opening inventory (x 1,000)",v101256225,1.4.3,183885.0
2013,Canada,Fuel dealers,"Opening inventory (x 1,000)",v101256225,1.4.3,218487.0
2014,Canada,Fuel dealers,"Opening inventory (x 1,000)",v101256225,1.4.3,354939.0
2012,Canada,Fuel dealers,"Purchases (x 1,000)",v101256226,1.4.4,8238075.0
2013,Canada,Fuel dealers,"Purchases (x 1,000)",v101256226,1.4.4,8556364.0
2014,Canada,Fuel dealers,"Purchases (x 1,000)",v101256226,1.4.4,10182557.0
2012,Canada,Fuel dealers,"Closing inventory (x 1,000)",v101256227,1.4.5,198449.0
2013,Canada,Fuel dealers,"Closing inventory (x 1,000)",v101256227,1.4.5,289347.0
2014,Canada,Fuel dealers,"Closing inventory (x 1,000)",v101256227,1.4.5,370736.0
2012,Canada,Fuel dealers,"Cost of goods sold (x 1,000)",v101256228,1.4.6,8223510.0
2013,Canada,Fuel dealers,"Cost of goods sold (x 1,000)",v101256228,1.4.6,8485504.0
2014,Canada,Fuel dealers,"Cost of goods sold (x 1,000)",v101256228,1.4.6,10166759.0
2012,Canada,Fuel dealers,"Total labour remuneration (x 1,000)",v101256229,1.4.7,532819.0
2013,Canada,Fuel dealers,"Total labour remuneration (x 1,000)",v101256229,1.4.7,591145.0
2014,Canada,Fuel dealers,"Total labour remuneration (x 1,000)",v101256229,1.4.7,566496.0
2012,Canada,Fuel dealers,"Total operating expenses (x 1,000)",v101256230,1.4.8,1119682.0
2013,Canada,Fuel dealers,"Total operating expenses (x 1,000)",v101256230,1.4.8,1272626.0
2014,Canada,Fuel dealers,"Total operating expenses (x 1,000)",v101256230,1.4.8,1304101.0
2012,Canada,Fuel dealers,Gross margin (percent),v101256231,1.4.9,13.4
2013,Canada,Fuel dealers,Gross margin (percent),v101256231,1.4.9,16.9
2014,Canada,Fuel dealers,Gross margin (percent),v101256231,1.4.9,13.8
2012,Canada,Fuel dealers,Operating profit margin (percent),v101256232,1.4.10,1.6
2013,Canada,Fuel dealers,Operating profit margin (percent),v101256232,1.4.10,4.4
2014,Canada,Fuel dealers,Operating profit margin (percent),v101256232,1.4.10,2.7
2012,Canada,Other direct selling establishments,"Sales of goods for resale (x 1,000)",v101256233,1.5.1,1496971.0
2013,Canada,Other direct selling establishments,"Sales of goods for resale (x 1,000)",v101256233,1.5.1,1949076.0
2014,Canada,Other direct selling establishments,"Sales of goods for resale (x 1,000)",v101256233,1.5.1,2337059.0
2012,Canada,Other direct selling establishments,"Total operating revenue (x 1,000)",v101256234,1.5.2,1733893.0
2013,Canada,Other direct selling establishments,"Total operating revenue (x 1,000)",v101256234,1.5.2,2091778.0
2014,Canada,Other direct selling establishments,"Total operating revenue (x 1,000)",v101256234,1.5.2,2473124.0
2012,Canada,Other direct selling establishments,"Opening inventory (x 1,000)",v101256235,1.5.3,144604.0
2013,Canada,Other direct selling establishments,"Opening inventory (x 1,000)",v101256235,1.5.3,197843.0
2014,Canada,Other direct selling establishments,"Opening inventory (x 1,000)",v101256235,1.5.3,150840.0
2012,Canada,Other direct selling establishments,"Purchases (x 1,000)",v101256236,1.5.4,951194.0
2013,Canada,Other direct selling establishments,"Purchases (x 1,000)",v101256236,1.5.4,960848.0
2014,Canada,Other direct selling establishments,"Purchases (x 1,000)",v101256236,1.5.4,1206642.0
2012,Canada,Other direct selling establishments,"Closing inventory (x 1,000)",v101256237,1.5.5,172027.0
2013,Canada,Other direct selling establishments,"Closing inventory (x 1,000)",v101256237,1.5.5,177065.0
2014,Canada,Other direct selling establishments,"Closing inventory (x 1,000)",v101256237,1.5.5,160428.0
2012,Canada,Other direct selling establishments,"Cost of goods sold (x 1,000)",v101256238,1.5.6,923771.0
2013,Canada,Other direct selling establishments,"Cost of goods sold (x 1,000)",v101256238,1.5.6,981626.0
2014,Canada,Other direct selling establishments,"Cost of goods sold (x 1,000)",v101256238,1.5.6,1197055.0
2012,Canada,Other direct selling establishments,"Total labour remuneration (x 1,000)",v101256239,1.5.7,305436.0
2013,Canada,Other direct selling establishments,"Total labour remuneration (x 1,000)",v101256239,1.5.7,297213.0
2014,Canada,Other direct selling establishments,"Total labour remuneration (x 1,000)",v101256239,1.5.7,368700.0
2012,Canada,Other direct selling establishments,"Total operating expenses (x 1,000)",v101256240,1.5.8,720829.0
2013,Canada,Other direct selling establishments,"Total operating expenses (x 1,000)",v101256240,1.5.8,825869.0
2014,Canada,Other direct selling establishments,"Total operating expenses (x 1,000)",v101256240,1.5.8,984039.0
2012,Canada,Other direct selling establishments,Gross margin (percent),v101256241,1.5.9,46.7
2013,Canada,Other direct selling establishments,Gross margin (percent),v101256241,1.5.9,53.1
2014,Canada,Other direct selling establishments,Gross margin (percent),v101256241,1.5.9,51.6
2012,Canada,Other direct selling establishments,Operating profit margin (percent),v101256242,1.5.10,5.1
2013,Canada,Other direct selling establishments,Operating profit margin (percent),v101256242,1.5.10,13.6
2014,Canada,Other direct selling establishments,Operating profit margin (percent),v101256242,1.5.10,11.8
2012,Newfoundland and Labrador,Non-store retailers,"Sales of goods for resale (x 1,000)",v101256243,2.1.1,466474.0
2013,Newfoundland and Labrador,Non-store retailers,"Sales of goods for resale (x 1,000)",v101256243,2.1.1,223761.0
2014,Newfoundland and Labrador,Non-store retailers,"Sales of goods for resale (x 1,000)",v101256243,2.1.1,257787.0
2012,Newfoundland and Labrador,Non-store retailers,"Total operating revenue (x 1,000)",v101256244,2.1.2,214887.0
2013,Newfoundland and Labrador,Non-store retailers,"Total operating revenue (x 1,000)",v101256244,2.1.2,230765.0
2014,Newfoundland and Labrador,Non-store retailers,"Total operating revenue (x 1,000)",v101256244,2.1.2,262547.0
2012,Newfoundland and Labrador,Non-store retailers,"Opening inventory (x 1,000)",v101256245,2.1.3,3307.0
2013,Newfoundland and Labrador,Non-store retailers,"Opening inventory (x 1,000)",v101256245,2.1.3,5303.0
2014,Newfoundland and Labrador,Non-store retailers,"Opening inventory (x 1,000)",v101256245,2.1.3,4580.0
2012,Newfoundland and Labrador,Non-store retailers,"Purchases (x 1,000)",v101256246,2.1.4,174023.0
2013,Newfoundland and Labrador,Non-store retailers,"Purchases (x 1,000)",v101256246,2.1.4,185336.0
2014,Newfoundland and Labrador,Non-store retailers,"Purchases (x 1,000)",v101256246,2.1.4,210094.0
2012,Newfoundland and Labrador,Non-store retailers,"Closing inventory (x 1,000)",v101256247,2.1.5,3516.0
2013,Newfoundland and Labrador,Non-store retailers,"Closing inventory (x 1,000)",v101256247,2.1.5,4331.0
2014,Newfoundland and Labrador,Non-store retailers,"Closing inventory (x 1,000)",v101256247,2.1.5,4492.0
2012,Newfoundland and Labrador,Non-store retailers,"Cost of goods sold (x 1,000)",v101256248,2.1.6,173815.0
2013,Newfoundland and Labrador,Non-store retailers,"Cost of goods sold (x 1,000)",v101256248,2.1.6,186308.0
2014,Newfoundland and Labrador,Non-store retailers,"Cost of goods sold (x 1,000)",v101256248,2.1.6,210182.0
2012,Newfoundland and Labrador,Non-store retailers,"Total labour remuneration (x 1,000)",v101256249,2.1.7,17115.0
2013,Newfoundland and Labrador,Non-store retailers,"Total labour remuneration (x 1,000)",v101256249,2.1.7,18855.0
2014,Newfoundland and Labrador,Non-store retailers,"Total labour remuneration (x 1,000)",v101256249,2.1.7,21152.0
2012,Newfoundland and Labrador,Non-store retailers,"Total operating expenses (x 1,000)",v101256250,2.1.8,34039.0
2013,Newfoundland and Labrador,Non-store retailers,"Total operating expenses (x 1,000)",v101256250,2.1.8,38494.0
2014,Newfoundland and Labrador,Non-store retailers,"Total operating expenses (x 1,000)",v101256250,2.1.8,40729.0
2012,Newfoundland and Labrador,Non-store retailers,Gross margin (percent),v101256251,2.1.9,19.1
2013,Newfoundland and Labrador,Non-store retailers,Gross margin (percent),v101256251,2.1.9,19.3
2014,Newfoundland and Labrador,Non-store retailers,Gross margin (percent),v101256251,2.1.9,19.9
2012,Newfoundland and Labrador,Non-store retailers,Operating profit margin (percent),v101256252,2.1.10,3.3
2013,Newfoundland and Labrador,Non-store retailers,Operating profit margin (percent),v101256252,2.1.10,2.6
2014,Newfoundland and Labrador,Non-store retailers,Operating profit margin (percent),v101256252,2.1.10,4.4
2012,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Sales of goods for resale (x 1,000)",v101256253,2.2.1,903.0
2013,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Sales of goods for resale (x 1,000)",v101256253,2.2.1,1532.0
2014,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Sales of goods for resale (x 1,000)",v101256253,2.2.1,1850.0
2012,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Total operating revenue (x 1,000)",v101256254,2.2.2,1375.0
2013,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Total operating revenue (x 1,000)",v101256254,2.2.2,1572.0
2014,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Total operating revenue (x 1,000)",v101256254,2.2.2,x
2012,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Opening inventory (x 1,000)",v101256255,2.2.3,x
2013,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Opening inventory (x 1,000)",v101256255,2.2.3,x
2014,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Opening inventory (x 1,000)",v101256255,2.2.3,x
2012,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Purchases (x 1,000)",v101256256,2.2.4,639.0
2013,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Purchases (x 1,000)",v101256256,2.2.4,669.0
2014,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Purchases (x 1,000)",v101256256,2.2.4,1065.0
2012,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Closing inventory (x 1,000)",v101256257,2.2.5,x
2013,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Closing inventory (x 1,000)",v101256257,2.2.5,x
2014,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Closing inventory (x 1,000)",v101256257,2.2.5,x
2012,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Cost of goods sold (x 1,000)",v101256258,2.2.6,642.0
2013,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Cost of goods sold (x 1,000)",v101256258,2.2.6,706.0
2014,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Cost of goods sold (x 1,000)",v101256258,2.2.6,1058.0
2012,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Total labour remuneration (x 1,000)",v101256259,2.2.7,120.0
2013,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Total labour remuneration (x 1,000)",v101256259,2.2.7,239.0
2014,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Total labour remuneration (x 1,000)",v101256259,2.2.7,317.0
2012,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Total operating expenses (x 1,000)",v101256260,2.2.8,482.0
2013,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Total operating expenses (x 1,000)",v101256260,2.2.8,622.0
2014,Newfoundland and Labrador,Electronic shopping and mail-order houses,"Total operating expenses (x 1,000)",v101256260,2.2.8,745.0
2012,Newfoundland and Labrador,Electronic shopping and mail-order houses,Gross margin (percent),v101256261,2.2.9,53.3
2013,Newfoundland and Labrador,Electronic shopping and mail-order houses,Gross margin (percent),v101256261,2.2.9,55.1
2014,Newfoundland and Labrador,Electronic shopping and mail-order houses,Gross margin (percent),v101256261,2.2.9,x
2012,Newfoundland and Labrador,Electronic shopping and mail-order houses,Operating profit margin (percent),v101256262,2.2.10,18.3
2013,Newfoundland and Labrador,Electronic shopping and mail-order houses,Operating profit margin (percent),v101256262,2.2.10,15.5
2014,Newfoundland and Labrador,Electronic shopping and mail-order houses,Operating profit margin (percent),v101256262,2.2.10,x
2012,Newfoundland and Labrador,Vending machine operators,"Sales of goods for resale (x 1,000)",v101256263,2.3.1,7498.0
2013,Newfoundland and Labrador,Vending machine operators,"Sales of goods for resale (x 1,000)",v101256263,2.3.1,8632.0
2014,Newfoundland and Labrador,Vending machine operators,"Sales of goods for resale (x 1,000)",v101256263,2.3.1,9926.0
2012,Newfoundland and Labrador,Vending machine operators,"Total operating revenue (x 1,000)",v101256264,2.3.2,7555.0
2013,Newfoundland and Labrador,Vending machine operators,"Total operating revenue (x 1,000)",v101256264,2.3.2,8727.0
2014,Newfoundland and Labrador,Vending machine operators,"Total operating revenue (x 1,000)",v101256264,2.3.2,10118.0
2012,Newfoundland and Labrador,Vending machine operators,"Opening inventory (x 1,000)",v101256265,2.3.3,x
2013,Newfoundland and Labrador,Vending machine operators,"Opening inventory (x 1,000)",v101256265,2.3.3,x
2014,Newfoundland and Labrador,Vending machine operators,"Opening inventory (x 1,000)",v101256265,2.3.3,704.0
2012,Newfoundland and Labrador,Vending machine operators,"Purchases (x 1,000)",v101256266,2.3.4,4001.0
2013,Newfoundland and Labrador,Vending machine operators,"Purchases (x 1,000)",v101256266,2.3.4,4379.0
2014,Newfoundland and Labrador,Vending machine operators,"Purchases (x 1,000)",v101256266,2.3.4,5071.0
2012,Newfoundland and Labrador,Vending machine operators,"Closing inventory (x 1,000)",v101256267,2.3.5,x
2013,Newfoundland and Labrador,Vending machine operators,"Closing inventory (x 1,000)",v101256267,2.3.5,x
2014,Newfoundland and Labrador,Vending machine operators,"Closing inventory (x 1,000)",v101256267,2.3.5,800.0
2012,Newfoundland and Labrador,Vending machine operators,"Cost of goods sold (x 1,000)",v101256268,2.3.6,3982.0
2013,Newfoundland and Labrador,Vending machine operators,"Cost of goods sold (x 1,000)",v101256268,2.3.6,4299.0
2014,Newfoundland and Labrador,Vending machine operators,"Cost of goods sold (x 1,000)",v101256268,2.3.6,4975.0
2012,Newfoundland and Labrador,Vending machine operators,"Total labour remuneration (x 1,000)",v101256269,2.3.7,1871.0
2013,Newfoundland and Labrador,Vending machine operators,"Total labour remuneration (x 1,000)",v101256269,2.3.7,2247.0
2014,Newfoundland and Labrador,Vending machine operators,"Total labour remuneration (x 1,000)",v101256269,2.3.7,2618.0
2012,Newfoundland and Labrador,Vending machine operators,"Total operating expenses (x 1,000)",v101256270,2.3.8,2979.0
2013,Newfoundland and Labrador,Vending machine operators,"Total operating expenses (x 1,000)",v101256270,2.3.8,3758.0
2014,Newfoundland and Labrador,Vending machine operators,"Total operating expenses (x 1,000)",v101256270,2.3.8,4459.0
2012,Newfoundland and Labrador,Vending machine operators,Gross margin (percent),v101256271,2.3.9,47.3
2013,Newfoundland and Labrador,Vending machine operators,Gross margin (percent),v101256271,2.3.9,50.7
2014,Newfoundland and Labrador,Vending machine operators,Gross margin (percent),v101256271,2.3.9,50.8
2012,Newfoundland and Labrador,Vending machine operators,Operating profit margin (percent),v101256272,2.3.10,7.9
2013,Newfoundland and Labrador,Vending machine operators,Operating profit margin (percent),v101256272,2.3.10,7.7
2014,Newfoundland and Labrador,Vending machine operators,Operating profit margin (percent),v101256272,2.3.10,6.8
2012,Newfoundland and Labrador,Fuel dealers,"Sales of goods for resale (x 1,000)",v101256273,2.4.1,447996.0
2013,Newfoundland and Labrador,Fuel dealers,"Sales of goods for resale (x 1,000)",v101256273,2.4.1,205526.0
2014,Newfoundland and Labrador,Fuel dealers,"Sales of goods for resale (x 1,000)",v101256273,2.4.1,238065.0
2012,Newfoundland and Labrador,Fuel dealers,"Total operating revenue (x 1,000)",v101256274,2.4.2,193352.0
2013,Newfoundland and Labrador,Fuel dealers,"Total operating revenue (x 1,000)",v101256274,2.4.2,211269.0
2014,Newfoundland and Labrador,Fuel dealers,"Total operating revenue (x 1,000)",v101256274,2.4.2,241464.0
2012,Newfoundland and Labrador,Fuel dealers,"Opening inventory (x 1,000)",v101256275,2.4.3,1798.0
2013,Newfoundland and Labrador,Fuel dealers,"Opening inventory (x 1,000)",v101256275,2.4.3,3855.0
2014,Newfoundland and Labrador,Fuel dealers,"Opening inventory (x 1,000)",v101256275,2.4.3,3361.0
2012,Newfoundland and Labrador,Fuel dealers,"Purchases (x 1,000)",v101256276,2.4.4,162628.0
2013,Newfoundland and Labrador,Fuel dealers,"Purchases (x 1,000)",v101256276,2.4.4,176952.0
2014,Newfoundland and Labrador,Fuel dealers,"Purchases (x 1,000)",v101256276,2.4.4,201365.0
2012,Newfoundland and Labrador,Fuel dealers,"Closing inventory (x 1,000)",v101256277,2.4.5,1788.0
2013,Newfoundland and Labrador,Fuel dealers,"Closing inventory (x 1,000)",v101256277,2.4.5,2774.0
2014,Newfoundland and Labrador,Fuel dealers,"Closing inventory (x 1,000)",v101256277,2.4.5,3035.0
2012,Newfoundland and Labrador,Fuel dealers,"Cost of goods sold (x 1,000)",v101256278,2.4.6,162638.0
2013,Newfoundland and Labrador,Fuel dealers,"Cost of goods sold (x 1,000)",v101256278,2.4.6,178033.0
2014,Newfoundland and Labrador,Fuel dealers,"Cost of goods sold (x 1,000)",v101256278,2.4.6,201691.0
2012,Newfoundland and Labrador,Fuel dealers,"Total labour remuneration (x 1,000)",v101256279,2.4.7,13118.0
2013,Newfoundland and Labrador,Fuel dealers,"Total labour remuneration (x 1,000)",v101256279,2.4.7,15445.0
2014,Newfoundland and Labrador,Fuel dealers,"Total labour remuneration (x 1,000)",v101256279,2.4.7,17039.0
2012,Newfoundland and Labrador,Fuel dealers,"Total operating expenses (x 1,000)",v101256280,2.4.8,25286.0
2013,Newfoundland and Labrador,Fuel dealers,"Total operating expenses (x 1,000)",v101256280,2.4.8,29894.0
2014,Newfoundland and Labrador,Fuel dealers,"Total operating expenses (x 1,000)",v101256280,2.4.8,31135.0
2012,Newfoundland and Labrador,Fuel dealers,Gross margin (percent),v101256281,2.4.9,15.9
2013,Newfoundland and Labrador,Fuel dealers,Gross margin (percent),v101256281,2.4.9,15.7
2014,Newfoundland and Labrador,Fuel dealers,Gross margin (percent),v101256281,2.4.9,16.5
2012,Newfoundland and Labrador,Fuel dealers,Operating profit margin (percent),v101256282,2.4.10,2.8
2013,Newfoundland and Labrador,Fuel dealers,Operating profit margin (percent),v101256282,2.4.10,1.6
2014,Newfoundland and Labrador,Fuel dealers,Operating profit margin (percent),v101256282,2.4.10,3.6
2012,Newfoundland and Labrador,Other direct selling establishments,"Sales of goods for resale (x 1,000)",v101256283,2.5.1,10077.0
2013,Newfoundland and Labrador,Other direct selling establishments,"Sales of goods for resale (x 1,000)",v101256283,2.5.1,8070.0
2014,Newfoundland and Labrador,Other direct selling establishments,"Sales of goods for resale (x 1,000)",v101256283,2.5.1,7946.0
