Ref_Date,GEO,VEGETABLE,HOLDING,Vector,Coordinate,Value
1971/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5205.0
1971/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8333.0
1971/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6510.0
1971/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8480.0
1971/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7724.0
1972/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6982.0
1972/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5824.0
1972/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5685.0
1972/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,3917.0
1972/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,2916.0
1972/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,2458.0
1972/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,2082.0
1972/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,3097.0
1972/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5699.0
1972/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7135.0
1972/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7038.0
1972/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6518.0
1973/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5702.0
1973/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4588.0
1973/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,3744.0
1973/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,2905.0
1973/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,2232.0
1973/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,1603.0
1973/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,1173.0
1973/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,3113.0
1973/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6395.0
1973/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7058.0
1973/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9026.0
1973/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8372.0
1974/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7948.0
1974/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6612.0
1974/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6030.0
1974/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4478.0
1974/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,3184.0
1974/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,2928.0
1974/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,2309.0
1974/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4761.0
1974/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9034.0
1974/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10854.0
1974/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,12628.0
1974/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,12876.0
1975/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11851.0
1975/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10184.0
1975/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8772.0
1975/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7323.0
1975/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5605.0
1975/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4695.0
1975/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4056.0
1975/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5879.0
1975/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11171.0
1975/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11049.0
1975/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11836.0
1975/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10843.0
1976/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10607.0
1976/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10008.0
1976/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8191.0
1976/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6699.0
1976/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5802.0
1976/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5358.0
1976/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4587.0
1976/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5802.0
1976/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,12378.0
1976/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11036.0
1976/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11372.0
1976/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11253.0
1977/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10620.0
1977/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9209.0
1977/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7551.0
1977/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6411.0
1977/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5319.0
1977/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6109.0
1977/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,3484.0
1977/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4929.0
1977/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8380.0
1977/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11333.0
1977/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,14571.0
1977/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10615.0
1978/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9707.0
1978/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,13712.0
1978/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7431.0
1978/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5856.0
1978/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4426.0
1978/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,3259.0
1978/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,2161.0
1978/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4809.0
1978/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10492.0
1978/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,12691.0
1978/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,13609.0
1978/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,13648.0
1979/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,12604.0
1979/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10988.0
1979/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9367.0
1979/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7725.0
1979/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6543.0
1979/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5098.0
1979/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,3507.0
1979/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7404.0
1979/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,12315.0
1979/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,15481.0
1979/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,16475.0
1979/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,17147.0
1980/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,16032.0
1980/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,13900.0
1980/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10214.0
1980/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10773.0
1980/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9498.0
1980/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8130.0
1980/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5875.0
1980/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6773.0
1980/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11545.0
1980/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,13292.0
1980/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,13519.0
1980/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11223.0
1981/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,12195.0
1981/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10615.0
1981/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9478.0
1981/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8052.0
1981/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6045.0
1981/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4546.0
1981/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4223.0
1981/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7640.0
1981/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,14102.0
1981/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,16150.0
1981/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,15394.0
1981/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,15621.0
1982/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,13781.0
1982/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11649.0
1982/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9534.0
1982/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8022.0
1982/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5694.0
1982/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4459.0
1982/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,3345.0
1982/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7174.0
1982/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,12575.0
1982/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,14141.0
1982/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,15633.0
1982/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,15597.0
1983/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,13829.0
1983/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,13104.0
1983/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10659.0
1983/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9395.0
1983/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8104.0
1983/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6659.0
1983/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5117.0
1983/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7323.0
1983/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,13942.0
1983/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,17654.0
1983/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,17674.0
1983/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,16768.0
1984/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,15414.0
1984/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,14087.0
1984/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11784.0
1984/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9531.0
1984/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8459.0
1984/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7585.0
1984/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,5928.0
1984/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7577.0
1984/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,12812.0
1984/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,16164.0
1984/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,16932.0
1984/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,16063.0
1985/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,14323.0
1985/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,12440.0
1985/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9761.0
1985/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,8661.0
1985/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6274.0
1985/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4847.0
1985/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,4521.0
1985/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,9025.0
1985/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,15200.0
1985/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,16651.0
1985/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,15959.0
1985/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,15954.0
1986/01,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,23363.0
1986/02,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,26638.0
1986/03,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,25310.0
1986/04,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,20894.0
1986/05,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,20373.0
1986/06,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,11426.0
1986/07,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,10306.0
1986/08,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,6349.0
1986/09,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,7409.0
1986/10,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,20147.0
1986/11,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,21509.0
1986/12,Canada,Total vegetables reported,Frozen vegetables intended for re-manufacture held in storages and factories,v722398,1.1.1,21293.0
1970/01,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1970/02,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1970/03,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1970/04,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1970/05,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1970/06,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1970/07,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1970/08,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1970/09,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1970/10,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1970/11,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1970/12,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1971/01,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1971/02,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1971/03,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1971/04,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1971/05,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1971/06,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1971/07,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1971/08,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,x
1971/09,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,x
1971/10,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1971/11,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,x
1971/12,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1972/01,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1972/02,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,x
1972/03,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1972/04,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,x
1972/05,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1972/06,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1972/07,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1972/08,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1972/09,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1972/10,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1972/11,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1972/12,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1973/01,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
1973/02,Canada,Asparagus,Frozen vegetables intended for re-manufacture held in storages and factories,v722399,1.2.1,0.0
