Ref_Date,GEO,SUP,COM,Vector,Coordinate,Value
1988,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,491.4
1989,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,502.9
1990,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,462.3
1991,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,426.5
1992,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,397.1
1993,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,347.5
1994,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,336.9
1995,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,354.8
1996,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,363.0
1997,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,373.1
1998,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,349.7
1999,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,347.4
2000,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,339.3
2001,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,343.4
2002,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,316.0
2003,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,345.1
2004,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,375.7
2005,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,355.6
2006,Canada,Animals slaughtered,"Veal (calves x 1,000)",v62263,1.1.2,338.6
1920,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1170.6
1921,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1293.3
1922,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1183.0
1923,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1216.8
1924,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1150.6
1925,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1139.0
1926,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1144.8
1927,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1259.8
1928,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1290.4
1929,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1387.1
1930,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1438.3
1931,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1511.0
1932,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1459.4
1933,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1547.1
1934,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1535.9
1935,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1609.5
1936,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1575.6
1937,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1534.4
1938,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1518.6
1939,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1476.8
1940,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1279.8
1941,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1169.8
1942,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1186.3
1943,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1225.7
1944,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1266.5
1945,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1477.2
1946,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1412.9
1947,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1325.7
1948,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,1031.4
1949,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,877.0
1950,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,741.7
1951,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,584.2
1952,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,673.6
1953,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,692.6
1954,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,720.7
1955,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,754.9
1956,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,770.9
1957,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,762.8
1958,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,716.2
1959,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,725.7
1960,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,737.4
1961,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,803.3
1962,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,744.4
1963,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,721.9
1964,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,679.8
1965,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,577.9
1966,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,480.4
1967,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,480.5
1968,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,436.8
1969,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,390.9
1970,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,378.5
1971,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,406.3
1972,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,424.8
1973,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,454.2
1974,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,385.1
1975,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,401.6
1976,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,350.7
1977,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,291.7
1978,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,249.1
1979,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,240.0
1980,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,278.8
1981,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,359.9
1982,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,415.1
1983,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,454.2
1984,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,467.5
1985,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,418.7
1986,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,407.4
1987,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,399.1
1988,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,423.3
1989,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,454.6
1990,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,475.2
1991,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,524.4
1992,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,563.9
1993,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,525.3
1994,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,515.2
1995,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,500.0
1996,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,521.6
1997,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,483.9
1998,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,498.0
1999,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,550.7
2000,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,611.8
2001,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,674.1
2002,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,695.0
2003,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,731.2
2004,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,782.3
2005,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,827.1
2006,Canada,Animals slaughtered,"Mutton and lamb (head x 1,000)",v62273,1.1.3,767.0
1920,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,3301.2
1921,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,3156.8
1922,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,3617.7
1923,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,3973.4
1924,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,4711.8
1925,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,4610.7
1926,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,4449.0
1927,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,4470.9
1928,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,4572.3
1929,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,4376.1
1930,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,3973.5
1931,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,4181.1
1932,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,4699.4
1933,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,4694.0
1934,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,4625.4
1935,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,4700.1
1936,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,5405.2
1937,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,5745.2
1938,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,4852.8
1939,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,5122.2
1940,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,7236.9
1941,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,9116.2
1942,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,9695.2
1943,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,10426.4
1944,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,11512.2
1945,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,8709.2
1946,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,6855.6
1947,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,7393.6
1948,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,6693.8
1949,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,6466.2
1950,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,6792.8
1951,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,6752.8
1952,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,8057.4
1953,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,6198.3
1954,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,6143.7
1955,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,6932.2
1956,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,6858.2
1957,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,6295.4
1958,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,7466.2
1959,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,9661.8
1960,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,7804.4
1961,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,7588.9
1962,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,7697.9
1963,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,7622.0
1964,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,8296.1
1965,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,7931.9
