Ref_Date,GEO,HARVEST,TYPOFCRP,Vector,Coordinate,Value
2016,Canada,Yield (bushels per acre),Mixed grains,v98437525,1.3.7,57.6
2015,Canada,Yield (bushels per acre),Oats,v98437526,1.3.9,79.6
2016,Canada,Yield (bushels per acre),Oats,v98437526,1.3.9,84.8
2015,Canada,Yield (bushels per acre),"Peas, dry",v98437527,1.3.10,29.1
2016,Canada,Yield (bushels per acre),"Peas, dry",v98437527,1.3.10,40.8
2015,Canada,Yield (bushels per acre),"Rye, Fall",v98437528,1.3.11,38.2
2016,Canada,Yield (bushels per acre),"Rye, Fall",v98437528,1.3.11,47.2
2015,Canada,Yield (bushels per acre),Soybeans,v98437529,1.3.12,43.4
2016,Canada,Yield (bushels per acre),Soybeans,v98437529,1.3.12,43.0
2015,Canada,Yield (bushels per acre),"Wheat, durum",v98437530,1.3.13,30.9
2016,Canada,Yield (bushels per acre),"Wheat, durum",v98437530,1.3.13,44.7
2015,Canada,Yield (bushels per acre),"Wheat, spring",v98437531,1.3.14,40.5
2016,Canada,Yield (bushels per acre),"Wheat, spring",v98437531,1.3.14,49.9
2015,Canada,Yield (bushels per acre),"Wheat, winter",v98437532,1.3.15,62.8
2016,Canada,Yield (bushels per acre),"Wheat, winter",v98437532,1.3.15,79.5
2015,Canada,Yield (pounds per acre),Canary seed,v98437533,1.4.2,865.0
2016,Canada,Yield (pounds per acre),Canary seed,v98437533,1.4.2,1143.0
2015,Canada,Yield (pounds per acre),Lentils,v98437534,1.4.6,1151.0
2016,Canada,Yield (pounds per acre),Lentils,v98437534,1.4.6,1296.0
2015,Canada,Yield (pounds per acre),Mustard seed,v98437535,1.4.8,711.0
2016,Canada,Yield (pounds per acre),Mustard seed,v98437535,1.4.8,965.0
2015,Canada,Yield (kilograms per hectare),Barley,v98437536,1.5.1,3100.0
2016,Canada,Yield (kilograms per hectare),Barley,v98437536,1.5.1,3700.0
2015,Canada,Yield (kilograms per hectare),Canary seed,v98437537,1.5.2,1000.0
2016,Canada,Yield (kilograms per hectare),Canary seed,v98437537,1.5.2,1300.0
2015,Canada,Yield (kilograms per hectare),Canola,v98437538,1.5.3,1800.0
2016,Canada,Yield (kilograms per hectare),Canola,v98437538,1.5.3,2300.0
2015,Canada,Yield (kilograms per hectare),Corn for grain,v98437539,1.5.4,10000.0
2016,Canada,Yield (kilograms per hectare),Corn for grain,v98437539,1.5.4,10000.0
2015,Canada,Yield (kilograms per hectare),Flaxseed,v98437540,1.5.5,1300.0
2016,Canada,Yield (kilograms per hectare),Flaxseed,v98437540,1.5.5,1600.0
2015,Canada,Yield (kilograms per hectare),Lentils,v98437541,1.5.6,1300.0
2016,Canada,Yield (kilograms per hectare),Lentils,v98437541,1.5.6,1500.0
2015,Canada,Yield (kilograms per hectare),Mixed grains,v98437542,1.5.7,3000.0
2016,Canada,Yield (kilograms per hectare),Mixed grains,v98437542,1.5.7,2700.0
2015,Canada,Yield (kilograms per hectare),Mustard seed,v98437543,1.5.8,800.0
2016,Canada,Yield (kilograms per hectare),Mustard seed,v98437543,1.5.8,1100.0
2015,Canada,Yield (kilograms per hectare),Oats,v98437544,1.5.9,3000.0
2016,Canada,Yield (kilograms per hectare),Oats,v98437544,1.5.9,3200.0
2015,Canada,Yield (kilograms per hectare),"Peas, dry",v98437545,1.5.10,2000.0
2016,Canada,Yield (kilograms per hectare),"Peas, dry",v98437545,1.5.10,2700.0
2015,Canada,Yield (kilograms per hectare),"Rye, Fall",v98437546,1.5.11,2400.0
2016,Canada,Yield (kilograms per hectare),"Rye, Fall",v98437546,1.5.11,3000.0
2015,Canada,Yield (kilograms per hectare),Soybeans,v98437547,1.5.12,2900.0
2016,Canada,Yield (kilograms per hectare),Soybeans,v98437547,1.5.12,2900.0
2015,Canada,Yield (kilograms per hectare),"Wheat, durum",v98437548,1.5.13,2100.0
2016,Canada,Yield (kilograms per hectare),"Wheat, durum",v98437548,1.5.13,3000.0
2015,Canada,Yield (kilograms per hectare),"Wheat, spring",v98437549,1.5.14,2700.0
2016,Canada,Yield (kilograms per hectare),"Wheat, spring",v98437549,1.5.14,3400.0
2015,Canada,Yield (kilograms per hectare),"Wheat, winter",v98437550,1.5.15,4200.0
2016,Canada,Yield (kilograms per hectare),"Wheat, winter",v98437550,1.5.15,5300.0
2015,Canada,"Production (bushels x 1,000)",Barley,v98437551,1.6.1,328997.0
2016,Canada,"Production (bushels x 1,000)",Barley,v98437551,1.6.1,385894.0
2015,Canada,"Production (bushels x 1,000)",Canola,v98437552,1.6.3,666491.0
2016,Canada,"Production (bushels x 1,000)",Canola,v98437552,1.6.3,807301.0
2015,Canada,"Production (bushels x 1,000)",Corn for grain,v98437553,1.6.4,505137.0
2016,Canada,"Production (bushels x 1,000)",Corn for grain,v98437553,1.6.4,511600.0
2015,Canada,"Production (bushels x 1,000)",Flaxseed,v98437554,1.6.5,32720.0
2016,Canada,"Production (bushels x 1,000)",Flaxseed,v98437554,1.6.5,22694.0
2015,Canada,"Production (bushels x 1,000)",Mixed grains,v98437555,1.6.7,7397.0
2016,Canada,"Production (bushels x 1,000)",Mixed grains,v98437555,1.6.7,6097.0
2015,Canada,"Production (bushels x 1,000)",Oats,v98437556,1.6.9,199725.0
2016,Canada,"Production (bushels x 1,000)",Oats,v98437556,1.6.9,186348.0
2015,Canada,"Production (bushels x 1,000)","Peas, dry",v98437557,1.6.10,104727.0
2016,Canada,"Production (bushels x 1,000)","Peas, dry",v98437557,1.6.10,169309.0
2015,Canada,"Production (bushels x 1,000)","Rye, Fall",v98437558,1.6.11,8402.0
2016,Canada,"Production (bushels x 1,000)","Rye, Fall",v98437558,1.6.11,14645.0
2015,Canada,"Production (bushels x 1,000)",Soybeans,v98437559,1.6.12,218938.0
2016,Canada,"Production (bushels x 1,000)",Soybeans,v98437559,1.6.12,219476.0
2015,Canada,"Production (bushels x 1,000)","Wheat, durum",v98437560,1.6.13,177491.0
2016,Canada,"Production (bushels x 1,000)","Wheat, durum",v98437560,1.6.13,268653.0
2015,Canada,"Production (bushels x 1,000)","Wheat, spring",v98437561,1.6.14,667424.0
2016,Canada,"Production (bushels x 1,000)","Wheat, spring",v98437561,1.6.14,755187.0
2015,Canada,"Production (bushels x 1,000)","Wheat, winter",v98437562,1.6.15,78991.0
2016,Canada,"Production (bushels x 1,000)","Wheat, winter",v98437562,1.6.15,127025.0
2015,Canada,"Production (pounds x 1,000)",Canary seed,v98437563,1.7.2,272410.0
2016,Canada,"Production (pounds x 1,000)",Canary seed,v98437563,1.7.2,285780.0
2015,Canada,"Production (pounds x 1,000)",Lentils,v98437564,1.7.6,4311240.0
2016,Canada,"Production (pounds x 1,000)",Lentils,v98437564,1.7.6,6240240.0
2015,Canada,"Production (pounds x 1,000)",Mustard seed,v98437565,1.7.8,170690.0
2016,Canada,"Production (pounds x 1,000)",Mustard seed,v98437565,1.7.8,366700.0
2015,Canada,Production (metric tonnes),Barley,v98437566,1.8.1,7163100.0
2016,Canada,Production (metric tonnes),Barley,v98437566,1.8.1,8401800.0
2015,Canada,Production (metric tonnes),Canary seed,v98437567,1.8.2,123600.0
2016,Canada,Production (metric tonnes),Canary seed,v98437567,1.8.2,129600.0
2015,Canada,Production (metric tonnes),Canola,v98437568,1.8.3,15115800.0
2016,Canada,Production (metric tonnes),Canola,v98437568,1.8.3,18309300.0
2015,Canada,Production (metric tonnes),Corn for grain,v98437569,1.8.4,12831100.0
2016,Canada,Production (metric tonnes),Corn for grain,v98437569,1.8.4,12995200.0
2015,Canada,Production (metric tonnes),Flaxseed,v98437570,1.8.5,831100.0
2016,Canada,Production (metric tonnes),Flaxseed,v98437570,1.8.5,576400.0
2015,Canada,Production (metric tonnes),Lentils,v98437571,1.8.6,1955500.0
2016,Canada,Production (metric tonnes),Lentils,v98437571,1.8.6,2830500.0
2015,Canada,Production (metric tonnes),Mixed grains,v98437572,1.8.7,138000.0
2016,Canada,Production (metric tonnes),Mixed grains,v98437572,1.8.7,114900.0
2015,Canada,Production (metric tonnes),Mustard seed,v98437573,1.8.8,77400.0
2016,Canada,Production (metric tonnes),Mustard seed,v98437573,1.8.8,166300.0
2015,Canada,Production (metric tonnes),Oats,v98437574,1.8.9,3080200.0
2016,Canada,Production (metric tonnes),Oats,v98437574,1.8.9,2873900.0
2015,Canada,Production (metric tonnes),"Peas, dry",v98437575,1.8.10,2850200.0
2016,Canada,Production (metric tonnes),"Peas, dry",v98437575,1.8.10,4607800.0
2015,Canada,Production (metric tonnes),"Rye, Fall",v98437576,1.8.11,213400.0
2016,Canada,Production (metric tonnes),"Rye, Fall",v98437576,1.8.11,372000.0
2015,Canada,Production (metric tonnes),Soybeans,v98437577,1.8.12,5958500.0
2016,Canada,Production (metric tonnes),Soybeans,v98437577,1.8.12,5973100.0
2015,Canada,Production (metric tonnes),"Wheat, durum",v98437578,1.8.13,4830500.0
2016,Canada,Production (metric tonnes),"Wheat, durum",v98437578,1.8.13,7311500.0
2015,Canada,Production (metric tonnes),"Wheat, spring",v98437579,1.8.14,18164300.0
2016,Canada,Production (metric tonnes),"Wheat, spring",v98437579,1.8.14,20552800.0
2015,Canada,Production (metric tonnes),"Wheat, winter",v98437580,1.8.15,2149800.0
2016,Canada,Production (metric tonnes),"Wheat, winter",v98437580,1.8.15,3457000.0
2015,Quebec,Harvested area (acres),Barley,v98437581,2.1.1,119800.0
2016,Quebec,Harvested area (acres),Barley,v98437581,2.1.1,116100.0
2015,Quebec,Harvested area (acres),Canola,v98437582,2.1.3,28900.0
2016,Quebec,Harvested area (acres),Canola,v98437582,2.1.3,29700.0
2015,Quebec,Harvested area (acres),Corn for grain,v98437583,2.1.4,899500.0
2016,Quebec,Harvested area (acres),Corn for grain,v98437583,2.1.4,882200.0
2015,Quebec,Harvested area (acres),Mixed grains,v98437584,2.1.7,33400.0
2016,Quebec,Harvested area (acres),Mixed grains,v98437584,2.1.7,35800.0
2015,Quebec,Harvested area (acres),Oats,v98437585,2.1.9,227300.0
2016,Quebec,Harvested area (acres),Oats,v98437585,2.1.9,182900.0
2015,Quebec,Harvested area (acres),"Rye, Fall",v98437586,2.1.11,..
2016,Quebec,Harvested area (acres),"Rye, Fall",v98437586,2.1.11,..
2015,Quebec,Harvested area (acres),Soybeans,v98437587,2.1.12,777100.0
2016,Quebec,Harvested area (acres),Soybeans,v98437587,2.1.12,800600.0
2015,Quebec,Harvested area (acres),"Wheat, spring",v98437588,2.1.14,176700.0
2016,Quebec,Harvested area (acres),"Wheat, spring",v98437588,2.1.14,185300.0
2015,Quebec,Harvested area (acres),"Wheat, winter",v98437589,2.1.15,23500.0
2016,Quebec,Harvested area (acres),"Wheat, winter",v98437589,2.1.15,32100.0
2015,Quebec,Harvested area (hectares),Barley,v98437590,2.2.1,48500.0
2016,Quebec,Harvested area (hectares),Barley,v98437590,2.2.1,47000.0
2015,Quebec,Harvested area (hectares),Canola,v98437591,2.2.3,11700.0
2016,Quebec,Harvested area (hectares),Canola,v98437591,2.2.3,12000.0
2015,Quebec,Harvested area (hectares),Corn for grain,v98437592,2.2.4,364000.0
2016,Quebec,Harvested area (hectares),Corn for grain,v98437592,2.2.4,357000.0
2015,Quebec,Harvested area (hectares),Mixed grains,v98437593,2.2.7,13500.0
2016,Quebec,Harvested area (hectares),Mixed grains,v98437593,2.2.7,14500.0
2015,Quebec,Harvested area (hectares),Oats,v98437594,2.2.9,92000.0
2016,Quebec,Harvested area (hectares),Oats,v98437594,2.2.9,74000.0
2015,Quebec,Harvested area (hectares),"Rye, Fall",v98437595,2.2.11,..
2016,Quebec,Harvested area (hectares),"Rye, Fall",v98437595,2.2.11,..
2015,Quebec,Harvested area (hectares),Soybeans,v98437596,2.2.12,314500.0
2016,Quebec,Harvested area (hectares),Soybeans,v98437596,2.2.12,324000.0
2015,Quebec,Harvested area (hectares),"Wheat, spring",v98437597,2.2.14,71500.0
2016,Quebec,Harvested area (hectares),"Wheat, spring",v98437597,2.2.14,75000.0
2015,Quebec,Harvested area (hectares),"Wheat, winter",v98437598,2.2.15,9500.0
2016,Quebec,Harvested area (hectares),"Wheat, winter",v98437598,2.2.15,13000.0
2015,Quebec,Yield (bushels per acre),Barley,v98437599,2.3.1,59.7
2016,Quebec,Yield (bushels per acre),Barley,v98437599,2.3.1,61.7
2015,Quebec,Yield (bushels per acre),Canola,v98437600,2.3.3,37.2
2016,Quebec,Yield (bushels per acre),Canola,v98437600,2.3.3,38.0
2015,Quebec,Yield (bushels per acre),Corn for grain,v98437601,2.3.4,150.5
2016,Quebec,Yield (bushels per acre),Corn for grain,v98437601,2.3.4,158.5
2015,Quebec,Yield (bushels per acre),Mixed grains,v98437602,2.3.7,50.2
2016,Quebec,Yield (bushels per acre),Mixed grains,v98437602,2.3.7,52.6
2015,Quebec,Yield (bushels per acre),Oats,v98437603,2.3.9,70.6
2016,Quebec,Yield (bushels per acre),Oats,v98437603,2.3.9,71.8
2015,Quebec,Yield (bushels per acre),"Rye, Fall",v98437604,2.3.11,..
2016,Quebec,Yield (bushels per acre),"Rye, Fall",v98437604,2.3.11,..
2015,Quebec,Yield (bushels per acre),Soybeans,v98437605,2.3.12,42.2
2016,Quebec,Yield (bushels per acre),Soybeans,v98437605,2.3.12,46.1
2015,Quebec,Yield (bushels per acre),"Wheat, spring",v98437606,2.3.14,48.0
2016,Quebec,Yield (bushels per acre),"Wheat, spring",v98437606,2.3.14,47.9
2015,Quebec,Yield (bushels per acre),"Wheat, winter",v98437607,2.3.15,52.5
2016,Quebec,Yield (bushels per acre),"Wheat, winter",v98437607,2.3.15,57.4
2015,Quebec,Yield (kilograms per hectare),Barley,v98437608,2.5.1,3200.0
2016,Quebec,Yield (kilograms per hectare),Barley,v98437608,2.5.1,3300.0
2015,Quebec,Yield (kilograms per hectare),Canola,v98437609,2.5.3,2100.0
2016,Quebec,Yield (kilograms per hectare),Canola,v98437609,2.5.3,2100.0
2015,Quebec,Yield (kilograms per hectare),Corn for grain,v98437610,2.5.4,9400.0
2016,Quebec,Yield (kilograms per hectare),Corn for grain,v98437610,2.5.4,9900.0
2015,Quebec,Yield (kilograms per hectare),Mixed grains,v98437611,2.5.7,2500.0
2016,Quebec,Yield (kilograms per hectare),Mixed grains,v98437611,2.5.7,2700.0
2015,Quebec,Yield (kilograms per hectare),Oats,v98437612,2.5.9,2700.0
2016,Quebec,Yield (kilograms per hectare),Oats,v98437612,2.5.9,2700.0
2015,Quebec,Yield (kilograms per hectare),"Rye, Fall",v98437613,2.5.11,..
2016,Quebec,Yield (kilograms per hectare),"Rye, Fall",v98437613,2.5.11,..
2015,Quebec,Yield (kilograms per hectare),Soybeans,v98437614,2.5.12,2800.0
2016,Quebec,Yield (kilograms per hectare),Soybeans,v98437614,2.5.12,3100.0
2015,Quebec,Yield (kilograms per hectare),"Wheat, spring",v98437615,2.5.14,3200.0
2016,Quebec,Yield (kilograms per hectare),"Wheat, spring",v98437615,2.5.14,3200.0
2015,Quebec,Yield (kilograms per hectare),"Wheat, winter",v98437616,2.5.15,3500.0
2016,Quebec,Yield (kilograms per hectare),"Wheat, winter",v98437616,2.5.15,3900.0
2015,Quebec,"Production (bushels x 1,000)",Barley,v98437617,2.6.1,7152.0
2016,Quebec,"Production (bushels x 1,000)",Barley,v98437617,2.6.1,7163.0
2015,Quebec,"Production (bushels x 1,000)",Canola,v98437618,2.6.3,1075.0
2016,Quebec,"Production (bushels x 1,000)",Canola,v98437618,2.6.3,1129.0
2015,Quebec,"Production (bushels x 1,000)",Corn for grain,v98437619,2.6.4,135375.0
2016,Quebec,"Production (bushels x 1,000)",Corn for grain,v98437619,2.6.4,139829.0
2015,Quebec,"Production (bushels x 1,000)",Mixed grains,v98437620,2.6.7,1677.0
2016,Quebec,"Production (bushels x 1,000)",Mixed grains,v98437620,2.6.7,1883.0
2015,Quebec,"Production (bushels x 1,000)",Oats,v98437621,2.6.9,16047.0
2016,Quebec,"Production (bushels x 1,000)",Oats,v98437621,2.6.9,13132.0
2015,Quebec,"Production (bushels x 1,000)","Rye, Fall",v98437622,2.6.11,..
2016,Quebec,"Production (bushels x 1,000)","Rye, Fall",v98437622,2.6.11,..
2015,Quebec,"Production (bushels x 1,000)",Soybeans,v98437623,2.6.12,32794.0
2016,Quebec,"Production (bushels x 1,000)",Soybeans,v98437623,2.6.12,36908.0
2015,Quebec,"Production (bushels x 1,000)","Wheat, spring",v98437624,2.6.14,8482.0
2016,Quebec,"Production (bushels x 1,000)","Wheat, spring",v98437624,2.6.14,8876.0
2015,Quebec,"Production (bushels x 1,000)","Wheat, winter",v98437625,2.6.15,1234.0
2016,Quebec,"Production (bushels x 1,000)","Wheat, winter",v98437625,2.6.15,1843.0
2015,Quebec,Production (metric tonnes),Barley,v98437626,2.8.1,155700.0
2016,Quebec,Production (metric tonnes),Barley,v98437626,2.8.1,156000.0
2015,Quebec,Production (metric tonnes),Canola,v98437627,2.8.3,24400.0
2016,Quebec,Production (metric tonnes),Canola,v98437627,2.8.3,25600.0
2015,Quebec,Production (metric tonnes),Corn for grain,v98437628,2.8.4,3438700.0
2016,Quebec,Production (metric tonnes),Corn for grain,v98437628,2.8.4,3551800.0
2015,Quebec,Production (metric tonnes),Mixed grains,v98437629,2.8.7,34200.0
2016,Quebec,Production (metric tonnes),Mixed grains,v98437629,2.8.7,38400.0
2015,Quebec,Production (metric tonnes),Oats,v98437630,2.8.9,247500.0
2016,Quebec,Production (metric tonnes),Oats,v98437630,2.8.9,202500.0
2015,Quebec,Production (metric tonnes),"Rye, Fall",v98437631,2.8.11,..
2016,Quebec,Production (metric tonnes),"Rye, Fall",v98437631,2.8.11,..
2015,Quebec,Production (metric tonnes),Soybeans,v98437632,2.8.12,892500.0
2016,Quebec,Production (metric tonnes),Soybeans,v98437632,2.8.12,1004500.0
2015,Quebec,Production (metric tonnes),"Wheat, spring",v98437633,2.8.14,230800.0
2016,Quebec,Production (metric tonnes),"Wheat, spring",v98437633,2.8.14,241600.0
2015,Quebec,Production (metric tonnes),"Wheat, winter",v98437634,2.8.15,33600.0
2016,Quebec,Production (metric tonnes),"Wheat, winter",v98437634,2.8.15,50100.0
2015,Ontario,Harvested area (acres),Barley,v98437635,3.1.1,110000.0
2016,Ontario,Harvested area (acres),Barley,v98437635,3.1.1,95000.0
2015,Ontario,Harvested area (acres),Canola,v98437636,3.1.3,35000.0
2016,Ontario,Harvested area (acres),Canola,v98437636,3.1.3,35000.0
2015,Ontario,Harvested area (acres),Corn for grain,v98437637,3.1.4,2040000.0
2016,Ontario,Harvested area (acres),Corn for grain,v98437637,3.1.4,2015000.0
2015,Ontario,Harvested area (acres),Mixed grains,v98437638,3.1.7,80000.0
2016,Ontario,Harvested area (acres),Mixed grains,v98437638,3.1.7,70000.0
2015,Ontario,Harvested area (acres),Oats,v98437639,3.1.9,115000.0
2016,Ontario,Harvested area (acres),Oats,v98437639,3.1.9,50000.0
2015,Ontario,Harvested area (acres),"Rye, Fall",v98437640,3.1.11,45000.0
2016,Ontario,Harvested area (acres),"Rye, Fall",v98437640,3.1.11,55000.0
2015,Ontario,Harvested area (acres),Soybeans,v98437641,3.1.12,2900000.0
2016,Ontario,Harvested area (acres),Soybeans,v98437641,3.1.12,2695000.0
2015,Ontario,Harvested area (acres),"Wheat, spring",v98437642,3.1.14,125000.0
2016,Ontario,Harvested area (acres),"Wheat, spring",v98437642,3.1.14,90000.0
2015,Ontario,Harvested area (acres),"Wheat, winter",v98437643,3.1.15,625000.0
2016,Ontario,Harvested area (acres),"Wheat, winter",v98437643,3.1.15,975000.0
2015,Ontario,Harvested area (hectares),Barley,v98437644,3.2.1,44500.0
2016,Ontario,Harvested area (hectares),Barley,v98437644,3.2.1,38400.0
2015,Ontario,Harvested area (hectares),Canola,v98437645,3.2.3,14200.0
2016,Ontario,Harvested area (hectares),Canola,v98437645,3.2.3,14200.0
2015,Ontario,Harvested area (hectares),Corn for grain,v98437646,3.2.4,825600.0
2016,Ontario,Harvested area (hectares),Corn for grain,v98437646,3.2.4,815400.0
2015,Ontario,Harvested area (hectares),Mixed grains,v98437647,3.2.7,32400.0
2016,Ontario,Harvested area (hectares),Mixed grains,v98437647,3.2.7,28300.0
2015,Ontario,Harvested area (hectares),Oats,v98437648,3.2.9,46500.0
2016,Ontario,Harvested area (hectares),Oats,v98437648,3.2.9,20200.0
2015,Ontario,Harvested area (hectares),"Rye, Fall",v98437649,3.2.11,18200.0
2016,Ontario,Harvested area (hectares),"Rye, Fall",v98437649,3.2.11,22300.0
2015,Ontario,Harvested area (hectares),Soybeans,v98437650,3.2.12,1173600.0
2016,Ontario,Harvested area (hectares),Soybeans,v98437650,3.2.12,1090600.0
2015,Ontario,Harvested area (hectares),"Wheat, spring",v98437651,3.2.14,50600.0
2016,Ontario,Harvested area (hectares),"Wheat, spring",v98437651,3.2.14,36400.0
2015,Ontario,Harvested area (hectares),"Wheat, winter",v98437652,3.2.15,252900.0
2016,Ontario,Harvested area (hectares),"Wheat, winter",v98437652,3.2.15,394600.0
2015,Ontario,Yield (bushels per acre),Barley,v98437653,3.3.1,65.5
2016,Ontario,Yield (bushels per acre),Barley,v98437653,3.3.1,61.9
2015,Ontario,Yield (bushels per acre),Canola,v98437654,3.3.3,37.7
2016,Ontario,Yield (bushels per acre),Canola,v98437654,3.3.3,37.5
2015,Ontario,Yield (bushels per acre),Corn for grain,v98437655,3.3.4,166.7
2016,Ontario,Yield (bushels per acre),Corn for grain,v98437655,3.3.4,165.0
2015,Ontario,Yield (bushels per acre),Mixed grains,v98437656,3.3.7,71.5
2016,Ontario,Yield (bushels per acre),Mixed grains,v98437656,3.3.7,60.2
2015,Ontario,Yield (bushels per acre),Oats,v98437657,3.3.9,79.8
2016,Ontario,Yield (bushels per acre),Oats,v98437657,3.3.9,73.8
2015,Ontario,Yield (bushels per acre),"Rye, Fall",v98437658,3.3.11,40.1
2016,Ontario,Yield (bushels per acre),"Rye, Fall",v98437658,3.3.11,43.2
2015,Ontario,Yield (bushels per acre),Soybeans,v98437659,3.3.12,46.2
