Ref_Date,GEO,AGE,SEX,HOUSEHOLD,FOOD,STATS,Vector,Coordinate,Value
2012,Canada,"Total, 6 years and over",Both sexes,One person,"Total, food security",High 95% confidence interval (percent),v97166369,1.1.1.2.1.4,100.0
2012,Canada,"Total, 6 years and over",Both sexes,One person,High or marginal food security,Number of persons,v97166370,1.1.1.2.2.1,1980.0
2012,Canada,"Total, 6 years and over",Both sexes,One person,High or marginal food security,Percent,v97166371,1.1.1.2.2.2,57.7
2012,Canada,"Total, 6 years and over",Both sexes,One person,High or marginal food security,Low 95% confidence interval (percent),v97166372,1.1.1.2.2.3,42.8
2012,Canada,"Total, 6 years and over",Both sexes,One person,High or marginal food security,High 95% confidence interval (percent),v97166373,1.1.1.2.2.4,71.3
2012,Canada,"Total, 6 years and over",Both sexes,One person,Low food security,Number of persons,v97166374,1.1.1.2.3.1,430.0
2012,Canada,"Total, 6 years and over",Both sexes,One person,Low food security,Percent,v97166375,1.1.1.2.3.2,12.5
2012,Canada,"Total, 6 years and over",Both sexes,One person,Low food security,Low 95% confidence interval (percent),v97166376,1.1.1.2.3.3,7.9
2012,Canada,"Total, 6 years and over",Both sexes,One person,Low food security,High 95% confidence interval (percent),v97166377,1.1.1.2.3.4,19.5
2012,Canada,"Total, 6 years and over",Both sexes,One person,Very low food security,Number of persons,v97166378,1.1.1.2.4.1,F
2012,Canada,"Total, 6 years and over",Both sexes,One person,Very low food security,Percent,v97166379,1.1.1.2.4.2,F
2012,Canada,"Total, 6 years and over",Both sexes,One person,Very low food security,Low 95% confidence interval (percent),v97166380,1.1.1.2.4.3,F
2012,Canada,"Total, 6 years and over",Both sexes,One person,Very low food security,High 95% confidence interval (percent),v97166381,1.1.1.2.4.4,F
2012,Canada,"Total, 6 years and over",Both sexes,One person,Food security not specified,Number of persons,v97166382,1.1.1.2.5.1,310.0
2012,Canada,"Total, 6 years and over",Both sexes,One person,Food security not specified,Percent,v97166383,1.1.1.2.5.2,9.0
2012,Canada,"Total, 6 years and over",Both sexes,One person,Food security not specified,Low 95% confidence interval (percent),v97166384,1.1.1.2.5.3,5.5
2012,Canada,"Total, 6 years and over",Both sexes,One person,Food security not specified,High 95% confidence interval (percent),v97166385,1.1.1.2.5.4,14.1
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,"Total, food security",Number of persons,v97166386,1.1.1.3.1.1,6900.0
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,"Total, food security",Percent,v97166387,1.1.1.3.1.2,100.0
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,"Total, food security",Low 95% confidence interval (percent),v97166388,1.1.1.3.1.3,100.0
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,"Total, food security",High 95% confidence interval (percent),v97166389,1.1.1.3.1.4,100.0
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,High or marginal food security,Number of persons,v97166390,1.1.1.3.2.1,4430.0
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,High or marginal food security,Percent,v97166391,1.1.1.3.2.2,64.2
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,High or marginal food security,Low 95% confidence interval (percent),v97166392,1.1.1.3.2.3,57.3
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,High or marginal food security,High 95% confidence interval (percent),v97166393,1.1.1.3.2.4,70.7
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,Low food security,Number of persons,v97166394,1.1.1.3.3.1,1190.0
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,Low food security,Percent,v97166395,1.1.1.3.3.2,17.2
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,Low food security,Low 95% confidence interval (percent),v97166396,1.1.1.3.3.3,13.0
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,Low food security,High 95% confidence interval (percent),v97166397,1.1.1.3.3.4,22.6
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,Very low food security,Number of persons,v97166398,1.1.1.3.4.1,910.0
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,Very low food security,Percent,v97166399,1.1.1.3.4.2,13.2
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,Very low food security,Low 95% confidence interval (percent),v97166400,1.1.1.3.4.3,8.7
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,Very low food security,High 95% confidence interval (percent),v97166401,1.1.1.3.4.4,19.5
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,Food security not specified,Number of persons,v97166402,1.1.1.3.5.1,360.0
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,Food security not specified,Percent,v97166403,1.1.1.3.5.2,5.2
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,Food security not specified,Low 95% confidence interval (percent),v97166404,1.1.1.3.5.3,3.5
2012,Canada,"Total, 6 years and over",Both sexes,Two persons,Food security not specified,High 95% confidence interval (percent),v97166405,1.1.1.3.5.4,7.8
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,"Total, food security",Number of persons,v97166406,1.1.1.4.1.1,26520.0
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,"Total, food security",Percent,v97166407,1.1.1.4.1.2,100.0
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,"Total, food security",Low 95% confidence interval (percent),v97166408,1.1.1.4.1.3,100.0
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,"Total, food security",High 95% confidence interval (percent),v97166409,1.1.1.4.1.4,100.0
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,High or marginal food security,Number of persons,v97166410,1.1.1.4.2.1,15080.0
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,High or marginal food security,Percent,v97166411,1.1.1.4.2.2,56.9
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,High or marginal food security,Low 95% confidence interval (percent),v97166412,1.1.1.4.2.3,53.6
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,High or marginal food security,High 95% confidence interval (percent),v97166413,1.1.1.4.2.4,60.1
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,Low food security,Number of persons,v97166414,1.1.1.4.3.1,5100.0
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,Low food security,Percent,v97166415,1.1.1.4.3.2,19.2
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,Low food security,Low 95% confidence interval (percent),v97166416,1.1.1.4.3.3,17.1
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,Low food security,High 95% confidence interval (percent),v97166417,1.1.1.4.3.4,21.5
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,Very low food security,Number of persons,v97166418,1.1.1.4.4.1,3890.0
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,Very low food security,Percent,v97166419,1.1.1.4.4.2,14.7
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,Very low food security,Low 95% confidence interval (percent),v97166420,1.1.1.4.4.3,12.6
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,Very low food security,High 95% confidence interval (percent),v97166421,1.1.1.4.4.4,17.0
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,Food security not specified,Number of persons,v97166422,1.1.1.4.5.1,2460.0
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,Food security not specified,Percent,v97166423,1.1.1.4.5.2,9.3
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,Food security not specified,Low 95% confidence interval (percent),v97166424,1.1.1.4.5.3,7.6
2012,Canada,"Total, 6 years and over",Both sexes,Three to five persons,Food security not specified,High 95% confidence interval (percent),v97166425,1.1.1.4.5.4,11.3
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,"Total, food security",Number of persons,v97166426,1.1.1.5.1.1,15190.0
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,"Total, food security",Percent,v97166427,1.1.1.5.1.2,100.0
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,"Total, food security",Low 95% confidence interval (percent),v97166428,1.1.1.5.1.3,100.0
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,"Total, food security",High 95% confidence interval (percent),v97166429,1.1.1.5.1.4,100.0
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,High or marginal food security,Number of persons,v97166430,1.1.1.5.2.1,6220.0
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,High or marginal food security,Percent,v97166431,1.1.1.5.2.2,40.9
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,High or marginal food security,Low 95% confidence interval (percent),v97166432,1.1.1.5.2.3,37.9
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,High or marginal food security,High 95% confidence interval (percent),v97166433,1.1.1.5.2.4,44.1
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,Low food security,Number of persons,v97166434,1.1.1.5.3.1,4050.0
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,Low food security,Percent,v97166435,1.1.1.5.3.2,26.7
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,Low food security,Low 95% confidence interval (percent),v97166436,1.1.1.5.3.3,24.0
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,Low food security,High 95% confidence interval (percent),v97166437,1.1.1.5.3.4,29.5
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,Very low food security,Number of persons,v97166438,1.1.1.5.4.1,3610.0
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,Very low food security,Percent,v97166439,1.1.1.5.4.2,23.8
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,Very low food security,Low 95% confidence interval (percent),v97166440,1.1.1.5.4.3,21.2
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,Very low food security,High 95% confidence interval (percent),v97166441,1.1.1.5.4.4,26.5
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,Food security not specified,Number of persons,v97166442,1.1.1.5.5.1,1310.0
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,Food security not specified,Percent,v97166443,1.1.1.5.5.2,8.6
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,Food security not specified,Low 95% confidence interval (percent),v97166444,1.1.1.5.5.3,7.1
2012,Canada,"Total, 6 years and over",Both sexes,More than five persons,Food security not specified,High 95% confidence interval (percent),v97166445,1.1.1.5.5.4,10.4
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,"Total, food security",Number of persons,v97166446,1.1.1.6.1.1,940.0
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,"Total, food security",Percent,v97166447,1.1.1.6.1.2,100.0
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,"Total, food security",Low 95% confidence interval (percent),v97166448,1.1.1.6.1.3,100.0
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,"Total, food security",High 95% confidence interval (percent),v97166449,1.1.1.6.1.4,100.0
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,High or marginal food security,Number of persons,v97166450,1.1.1.6.2.1,360.0
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,High or marginal food security,Percent,v97166451,1.1.1.6.2.2,38.3
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,High or marginal food security,Low 95% confidence interval (percent),v97166452,1.1.1.6.2.3,28.6
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,High or marginal food security,High 95% confidence interval (percent),v97166453,1.1.1.6.2.4,48.9
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,Low food security,Number of persons,v97166454,1.1.1.6.3.1,160.0
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,Low food security,Percent,v97166455,1.1.1.6.3.2,17.0
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,Low food security,Low 95% confidence interval (percent),v97166456,1.1.1.6.3.3,10.7
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,Low food security,High 95% confidence interval (percent),v97166457,1.1.1.6.3.4,26.0
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,Very low food security,Number of persons,v97166458,1.1.1.6.4.1,90.0
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,Very low food security,Percent,v97166459,1.1.1.6.4.2,9.6
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,Very low food security,Low 95% confidence interval (percent),v97166460,1.1.1.6.4.3,5.4
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,Very low food security,High 95% confidence interval (percent),v97166461,1.1.1.6.4.4,17.4
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,Food security not specified,Number of persons,v97166462,1.1.1.6.5.1,330.0
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,Food security not specified,Percent,v97166463,1.1.1.6.5.2,35.1
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,Food security not specified,Low 95% confidence interval (percent),v97166464,1.1.1.6.5.3,24.8
2012,Canada,"Total, 6 years and over",Both sexes,Number of persons in household not specified,Food security not specified,High 95% confidence interval (percent),v97166465,1.1.1.6.5.4,46.3
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household","Total, food security",Number of persons,v97166466,1.1.2.1.1.1,25180.0
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household","Total, food security",Percent,v97166467,1.1.2.1.1.2,100.0
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household","Total, food security",Low 95% confidence interval (percent),v97166468,1.1.2.1.1.3,100.0
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household","Total, food security",High 95% confidence interval (percent),v97166469,1.1.2.1.1.4,100.0
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",High or marginal food security,Number of persons,v97166470,1.1.2.1.2.1,13610.0
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",High or marginal food security,Percent,v97166471,1.1.2.1.2.2,54.1
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",High or marginal food security,Low 95% confidence interval (percent),v97166472,1.1.2.1.2.3,51.0
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",High or marginal food security,High 95% confidence interval (percent),v97166473,1.1.2.1.2.4,57.0
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",Low food security,Number of persons,v97166474,1.1.2.1.3.1,5560.0
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",Low food security,Percent,v97166475,1.1.2.1.3.2,22.1
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",Low food security,Low 95% confidence interval (percent),v97166476,1.1.2.1.3.3,19.9
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",Low food security,High 95% confidence interval (percent),v97166477,1.1.2.1.3.4,24.5
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",Very low food security,Number of persons,v97166478,1.1.2.1.4.1,3950.0
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",Very low food security,Percent,v97166479,1.1.2.1.4.2,15.7
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",Very low food security,Low 95% confidence interval (percent),v97166480,1.1.2.1.4.3,14.0
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",Very low food security,High 95% confidence interval (percent),v97166481,1.1.2.1.4.4,17.6
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",Food security not specified,Number of persons,v97166482,1.1.2.1.5.1,2060.0
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",Food security not specified,Percent,v97166483,1.1.2.1.5.2,8.2
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",Food security not specified,Low 95% confidence interval (percent),v97166484,1.1.2.1.5.3,6.9
2012,Canada,"Total, 6 years and over",Male,"Total, number of persons in the household",Food security not specified,High 95% confidence interval (percent),v97166485,1.1.2.1.5.4,9.7
2012,Canada,"Total, 6 years and over",Male,One person,"Total, food security",Number of persons,v97166486,1.1.2.2.1.1,1970.0
2012,Canada,"Total, 6 years and over",Male,One person,"Total, food security",Percent,v97166487,1.1.2.2.1.2,100.0
2012,Canada,"Total, 6 years and over",Male,One person,"Total, food security",Low 95% confidence interval (percent),v97166488,1.1.2.2.1.3,100.0
2012,Canada,"Total, 6 years and over",Male,One person,"Total, food security",High 95% confidence interval (percent),v97166489,1.1.2.2.1.4,100.0
2012,Canada,"Total, 6 years and over",Male,One person,High or marginal food security,Number of persons,v97166490,1.1.2.2.2.1,1180.0
2012,Canada,"Total, 6 years and over",Male,One person,High or marginal food security,Percent,v97166491,1.1.2.2.2.2,59.9
2012,Canada,"Total, 6 years and over",Male,One person,High or marginal food security,Low 95% confidence interval (percent),v97166492,1.1.2.2.2.3,44.1
2012,Canada,"Total, 6 years and over",Male,One person,High or marginal food security,High 95% confidence interval (percent),v97166493,1.1.2.2.2.4,74.0
2012,Canada,"Total, 6 years and over",Male,One person,Low food security,Number of persons,v97166494,1.1.2.2.3.1,250.0
2012,Canada,"Total, 6 years and over",Male,One person,Low food security,Percent,v97166495,1.1.2.2.3.2,12.7
2012,Canada,"Total, 6 years and over",Male,One person,Low food security,Low 95% confidence interval (percent),v97166496,1.1.2.2.3.3,7.0
2012,Canada,"Total, 6 years and over",Male,One person,Low food security,High 95% confidence interval (percent),v97166497,1.1.2.2.3.4,22.0
2012,Canada,"Total, 6 years and over",Male,One person,Very low food security,Number of persons,v97166498,1.1.2.2.4.1,330.0
2012,Canada,"Total, 6 years and over",Male,One person,Very low food security,Percent,v97166499,1.1.2.2.4.2,16.8
2012,Canada,"Total, 6 years and over",Male,One person,Very low food security,Low 95% confidence interval (percent),v97166500,1.1.2.2.4.3,9.9
2012,Canada,"Total, 6 years and over",Male,One person,Very low food security,High 95% confidence interval (percent),v97166501,1.1.2.2.4.4,27.4
2012,Canada,"Total, 6 years and over",Male,One person,Food security not specified,Number of persons,v97166502,1.1.2.2.5.1,200.0
2012,Canada,"Total, 6 years and over",Male,One person,Food security not specified,Percent,v97166503,1.1.2.2.5.2,10.2
2012,Canada,"Total, 6 years and over",Male,One person,Food security not specified,Low 95% confidence interval (percent),v97166504,1.1.2.2.5.3,5.5
2012,Canada,"Total, 6 years and over",Male,One person,Food security not specified,High 95% confidence interval (percent),v97166505,1.1.2.2.5.4,18.6
2012,Canada,"Total, 6 years and over",Male,Two persons,"Total, food security",Number of persons,v97166506,1.1.2.3.1.1,2890.0
2012,Canada,"Total, 6 years and over",Male,Two persons,"Total, food security",Percent,v97166507,1.1.2.3.1.2,100.0
2012,Canada,"Total, 6 years and over",Male,Two persons,"Total, food security",Low 95% confidence interval (percent),v97166508,1.1.2.3.1.3,100.0
2012,Canada,"Total, 6 years and over",Male,Two persons,"Total, food security",High 95% confidence interval (percent),v97166509,1.1.2.3.1.4,100.0
2012,Canada,"Total, 6 years and over",Male,Two persons,High or marginal food security,Number of persons,v97166510,1.1.2.3.2.1,1870.0
2012,Canada,"Total, 6 years and over",Male,Two persons,High or marginal food security,Percent,v97166511,1.1.2.3.2.2,64.7
2012,Canada,"Total, 6 years and over",Male,Two persons,High or marginal food security,Low 95% confidence interval (percent),v97166512,1.1.2.3.2.3,55.2
2012,Canada,"Total, 6 years and over",Male,Two persons,High or marginal food security,High 95% confidence interval (percent),v97166513,1.1.2.3.2.4,72.9
2012,Canada,"Total, 6 years and over",Male,Two persons,Low food security,Number of persons,v97166514,1.1.2.3.3.1,630.0
2012,Canada,"Total, 6 years and over",Male,Two persons,Low food security,Percent,v97166515,1.1.2.3.3.2,21.8
2012,Canada,"Total, 6 years and over",Male,Two persons,Low food security,Low 95% confidence interval (percent),v97166516,1.1.2.3.3.3,14.6
2012,Canada,"Total, 6 years and over",Male,Two persons,Low food security,High 95% confidence interval (percent),v97166517,1.1.2.3.3.4,30.8
2012,Canada,"Total, 6 years and over",Male,Two persons,Very low food security,Number of persons,v97166518,1.1.2.3.4.1,290.0
2012,Canada,"Total, 6 years and over",Male,Two persons,Very low food security,Percent,v97166519,1.1.2.3.4.2,10.0
2012,Canada,"Total, 6 years and over",Male,Two persons,Very low food security,Low 95% confidence interval (percent),v97166520,1.1.2.3.4.3,6.5
2012,Canada,"Total, 6 years and over",Male,Two persons,Very low food security,High 95% confidence interval (percent),v97166521,1.1.2.3.4.4,14.7
2012,Canada,"Total, 6 years and over",Male,Two persons,Food security not specified,Number of persons,v97166522,1.1.2.3.5.1,110.0
2012,Canada,"Total, 6 years and over",Male,Two persons,Food security not specified,Percent,v97166523,1.1.2.3.5.2,3.8
2012,Canada,"Total, 6 years and over",Male,Two persons,Food security not specified,Low 95% confidence interval (percent),v97166524,1.1.2.3.5.3,2.4
2012,Canada,"Total, 6 years and over",Male,Two persons,Food security not specified,High 95% confidence interval (percent),v97166525,1.1.2.3.5.4,6.4
2012,Canada,"Total, 6 years and over",Male,Three to five persons,"Total, food security",Number of persons,v97166526,1.1.2.4.1.1,12880.0
2012,Canada,"Total, 6 years and over",Male,Three to five persons,"Total, food security",Percent,v97166527,1.1.2.4.1.2,100.0
2012,Canada,"Total, 6 years and over",Male,Three to five persons,"Total, food security",Low 95% confidence interval (percent),v97166528,1.1.2.4.1.3,100.0
2012,Canada,"Total, 6 years and over",Male,Three to five persons,"Total, food security",High 95% confidence interval (percent),v97166529,1.1.2.4.1.4,100.0
2012,Canada,"Total, 6 years and over",Male,Three to five persons,High or marginal food security,Number of persons,v97166530,1.1.2.4.2.1,7400.0
2012,Canada,"Total, 6 years and over",Male,Three to five persons,High or marginal food security,Percent,v97166531,1.1.2.4.2.2,57.5
2012,Canada,"Total, 6 years and over",Male,Three to five persons,High or marginal food security,Low 95% confidence interval (percent),v97166532,1.1.2.4.2.3,53.5
2012,Canada,"Total, 6 years and over",Male,Three to five persons,High or marginal food security,High 95% confidence interval (percent),v97166533,1.1.2.4.2.4,61.3
2012,Canada,"Total, 6 years and over",Male,Three to five persons,Low food security,Number of persons,v97166534,1.1.2.4.3.1,2660.0
2012,Canada,"Total, 6 years and over",Male,Three to five persons,Low food security,Percent,v97166535,1.1.2.4.3.2,20.7
2012,Canada,"Total, 6 years and over",Male,Three to five persons,Low food security,Low 95% confidence interval (percent),v97166536,1.1.2.4.3.3,17.6
2012,Canada,"Total, 6 years and over",Male,Three to five persons,Low food security,High 95% confidence interval (percent),v97166537,1.1.2.4.3.4,24.1
2012,Canada,"Total, 6 years and over",Male,Three to five persons,Very low food security,Number of persons,v97166538,1.1.2.4.4.1,1720.0
2012,Canada,"Total, 6 years and over",Male,Three to five persons,Very low food security,Percent,v97166539,1.1.2.4.4.2,13.4
2012,Canada,"Total, 6 years and over",Male,Three to five persons,Very low food security,Low 95% confidence interval (percent),v97166540,1.1.2.4.4.3,11.2
2012,Canada,"Total, 6 years and over",Male,Three to five persons,Very low food security,High 95% confidence interval (percent),v97166541,1.1.2.4.4.4,15.8
2012,Canada,"Total, 6 years and over",Male,Three to five persons,Food security not specified,Number of persons,v97166542,1.1.2.4.5.1,1100.0
2012,Canada,"Total, 6 years and over",Male,Three to five persons,Food security not specified,Percent,v97166543,1.1.2.4.5.2,8.5
2012,Canada,"Total, 6 years and over",Male,Three to five persons,Food security not specified,Low 95% confidence interval (percent),v97166544,1.1.2.4.5.3,6.7
2012,Canada,"Total, 6 years and over",Male,Three to five persons,Food security not specified,High 95% confidence interval (percent),v97166545,1.1.2.4.5.4,10.9
2012,Canada,"Total, 6 years and over",Male,More than five persons,"Total, food security",Number of persons,v97166546,1.1.2.5.1.1,6980.0
2012,Canada,"Total, 6 years and over",Male,More than five persons,"Total, food security",Percent,v97166547,1.1.2.5.1.2,100.0
2012,Canada,"Total, 6 years and over",Male,More than five persons,"Total, food security",Low 95% confidence interval (percent),v97166548,1.1.2.5.1.3,100.0
2012,Canada,"Total, 6 years and over",Male,More than five persons,"Total, food security",High 95% confidence interval (percent),v97166549,1.1.2.5.1.4,100.0
2012,Canada,"Total, 6 years and over",Male,More than five persons,High or marginal food security,Number of persons,v97166550,1.1.2.5.2.1,2940.0
2012,Canada,"Total, 6 years and over",Male,More than five persons,High or marginal food security,Percent,v97166551,1.1.2.5.2.2,42.1
2012,Canada,"Total, 6 years and over",Male,More than five persons,High or marginal food security,Low 95% confidence interval (percent),v97166552,1.1.2.5.2.3,37.5
2012,Canada,"Total, 6 years and over",Male,More than five persons,High or marginal food security,High 95% confidence interval (percent),v97166553,1.1.2.5.2.4,46.8
