Ref_Date,GEO,INCOME,Vector,Coordinate,Value
2011,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
2012,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
2013,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
2014,Canada,"Number of farms, distribution by province (percent)",v29788943,1.4,100.0
1998,Canada,"Total income (x 1,000)",v29788944,1.5,11863325.0
1999,Canada,"Total income (x 1,000)",v29788944,1.5,11819949.0
2000,Canada,"Total income (x 1,000)",v29788944,1.5,12723204.0
2001,Canada,"Total income (x 1,000)",v29788944,1.5,13816939.0
2002,Canada,"Total income (x 1,000)",v29788944,1.5,14151849.0
2003,Canada,"Total income (x 1,000)",v29788944,1.5,12929248.0
2004,Canada,"Total income (x 1,000)",v29788944,1.5,13653300.0
2005,Canada,"Total income (x 1,000)",v29788944,1.5,14474544.0
2006,Canada,"Total income (x 1,000)",v29788944,1.5,14817049.0
2007,Canada,"Total income (x 1,000)",v29788944,1.5,16311721.0
2008,Canada,"Total income (x 1,000)",v29788944,1.5,17948946.0
2009,Canada,"Total income (x 1,000)",v29788944,1.5,17736244.0
2010,Canada,"Total income (x 1,000)",v29788944,1.5,17740960.0
2011,Canada,"Total income (x 1,000)",v29788944,1.5,20073277.0
2012,Canada,"Total income (x 1,000)",v29788944,1.5,22176867.0
2013,Canada,"Total income (x 1,000)",v29788944,1.5,22925621.0
2014,Canada,"Total income (x 1,000)",v29788944,1.5,22947963.0
1998,Canada,"Off-farm income (x 1,000)",v29788945,1.6,6593883.0
1999,Canada,"Off-farm income (x 1,000)",v29788945,1.6,6856862.0
2000,Canada,"Off-farm income (x 1,000)",v29788945,1.6,7143268.0
2001,Canada,"Off-farm income (x 1,000)",v29788945,1.6,7564002.0
2002,Canada,"Off-farm income (x 1,000)",v29788945,1.6,7780694.0
2003,Canada,"Off-farm income (x 1,000)",v29788945,1.6,7851966.0
2004,Canada,"Off-farm income (x 1,000)",v29788945,1.6,8180019.0
2005,Canada,"Off-farm income (x 1,000)",v29788945,1.6,8752028.0
2006,Canada,"Off-farm income (x 1,000)",v29788945,1.6,9160043.0
2007,Canada,"Off-farm income (x 1,000)",v29788945,1.6,9595740.0
2008,Canada,"Off-farm income (x 1,000)",v29788945,1.6,9897514.0
2009,Canada,"Off-farm income (x 1,000)",v29788945,1.6,9526278.0
2010,Canada,"Off-farm income (x 1,000)",v29788945,1.6,9256340.0
2011,Canada,"Off-farm income (x 1,000)",v29788945,1.6,9690264.0
2012,Canada,"Off-farm income (x 1,000)",v29788945,1.6,10608846.0
2013,Canada,"Off-farm income (x 1,000)",v29788945,1.6,11056523.0
2014,Canada,"Off-farm income (x 1,000)",v29788945,1.6,11283512.0
2002,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,4912351.0
2003,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,4871271.0
2004,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,4987515.0
2005,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,5513102.0
2006,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,5684948.0
2007,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,5905457.0
2008,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,6006676.0
2009,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,5644598.0
2010,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,5556229.0
2011,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,5817030.0
2012,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,6257613.0
2013,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,6291273.0
2014,Canada,"Off-farm employment income (x 1,000)",v29788946,1.7,6390128.0
2002,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,4453908.0
2003,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,4418426.0
2004,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,4511775.0
2005,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,5009763.0
2006,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,5165464.0
2007,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,5350196.0
2008,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,5487185.0
2009,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,5220654.0
2010,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,5134537.0
2011,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,5326435.0
2012,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,5727417.0
2013,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,5800387.0
2014,Canada,"Wages and salaries (x 1,000)",v29788947,1.8,5838436.0
2002,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,458443.0
2003,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,452845.0
2004,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,475741.0
2005,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,503339.0
2006,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,519484.0
2007,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,555260.0
2008,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,519491.0
2009,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,423944.0
2010,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,421693.0
2011,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,490596.0
2012,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,530196.0
2013,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,490886.0
2014,Canada,"Net off-farm self-employment income (x 1,000)",v29788948,1.9,551692.0
2002,Canada,"Investment income (x 1,000)",v29788949,1.10,1165381.0
2003,Canada,"Investment income (x 1,000)",v29788949,1.10,1203214.0
2004,Canada,"Investment income (x 1,000)",v29788949,1.10,1255095.0
2005,Canada,"Investment income (x 1,000)",v29788949,1.10,1328518.0
2006,Canada,"Investment income (x 1,000)",v29788949,1.10,1533573.0
2007,Canada,"Investment income (x 1,000)",v29788949,1.10,1736231.0
2008,Canada,"Investment income (x 1,000)",v29788949,1.10,1876875.0
2009,Canada,"Investment income (x 1,000)",v29788949,1.10,1897324.0
2010,Canada,"Investment income (x 1,000)",v29788949,1.10,1798298.0
2011,Canada,"Investment income (x 1,000)",v29788949,1.10,1968928.0
2012,Canada,"Investment income (x 1,000)",v29788949,1.10,2208422.0
2013,Canada,"Investment income (x 1,000)",v29788949,1.10,2551112.0
2014,Canada,"Investment income (x 1,000)",v29788949,1.10,2665344.0
2002,Canada,"Pension income (x 1,000)",v29788950,1.11,1142530.0
2003,Canada,"Pension income (x 1,000)",v29788950,1.11,1129680.0
2004,Canada,"Pension income (x 1,000)",v29788950,1.11,1191899.0
2005,Canada,"Pension income (x 1,000)",v29788950,1.11,1275084.0
2006,Canada,"Pension income (x 1,000)",v29788950,1.11,1305644.0
2007,Canada,"Pension income (x 1,000)",v29788950,1.11,1343577.0
2008,Canada,"Pension income (x 1,000)",v29788950,1.11,1356692.0
2009,Canada,"Pension income (x 1,000)",v29788950,1.11,1383339.0
2010,Canada,"Pension income (x 1,000)",v29788950,1.11,1400143.0
2011,Canada,"Pension income (x 1,000)",v29788950,1.11,1448563.0
2012,Canada,"Pension income (x 1,000)",v29788950,1.11,1619219.0
2013,Canada,"Pension income (x 1,000)",v29788950,1.11,1665517.0
2014,Canada,"Pension income (x 1,000)",v29788950,1.11,1680840.0
2002,Canada,"Government social transfers (x 1,000)",v29788951,1.12,150518.0
2003,Canada,"Government social transfers (x 1,000)",v29788951,1.12,172594.0
2004,Canada,"Government social transfers (x 1,000)",v29788951,1.12,167199.0
2005,Canada,"Government social transfers (x 1,000)",v29788951,1.12,173726.0
2006,Canada,"Government social transfers (x 1,000)",v29788951,1.12,186766.0
2007,Canada,"Government social transfers (x 1,000)",v29788951,1.12,188344.0
2008,Canada,"Government social transfers (x 1,000)",v29788951,1.12,186772.0
2009,Canada,"Government social transfers (x 1,000)",v29788951,1.12,196834.0
2010,Canada,"Government social transfers (x 1,000)",v29788951,1.12,193610.0
2011,Canada,"Government social transfers (x 1,000)",v29788951,1.12,176559.0
2012,Canada,"Government social transfers (x 1,000)",v29788951,1.12,177747.0
2013,Canada,"Government social transfers (x 1,000)",v29788951,1.12,176104.0
2014,Canada,"Government social transfers (x 1,000)",v29788951,1.12,170939.0
2002,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,409914.0
2003,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,475206.0
2004,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,578312.0
2005,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,461599.0
2006,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,449112.0
2007,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,422133.0
2008,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,470499.0
2009,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,404182.0
2010,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,308059.0
2011,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,279184.0
2012,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,345846.0
2013,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,372517.0
2014,Canada,"Other off-farm income (x 1,000)",v29788952,1.13,376261.0
1998,Canada,"Net operating income (x 1,000)",v29788953,1.14,5269443.0
1999,Canada,"Net operating income (x 1,000)",v29788953,1.14,4963088.0
2000,Canada,"Net operating income (x 1,000)",v29788953,1.14,5579936.0
2001,Canada,"Net operating income (x 1,000)",v29788953,1.14,6252937.0
2002,Canada,"Net operating income (x 1,000)",v29788953,1.14,6371155.0
2003,Canada,"Net operating income (x 1,000)",v29788953,1.14,5077283.0
2004,Canada,"Net operating income (x 1,000)",v29788953,1.14,5473280.0
2005,Canada,"Net operating income (x 1,000)",v29788953,1.14,5722516.0
2006,Canada,"Net operating income (x 1,000)",v29788953,1.14,5657006.0
2007,Canada,"Net operating income (x 1,000)",v29788953,1.14,6715980.0
2008,Canada,"Net operating income (x 1,000)",v29788953,1.14,8051432.0
2009,Canada,"Net operating income (x 1,000)",v29788953,1.14,8209966.0
2010,Canada,"Net operating income (x 1,000)",v29788953,1.14,8484620.0
2011,Canada,"Net operating income (x 1,000)",v29788953,1.14,10383012.0
2012,Canada,"Net operating income (x 1,000)",v29788953,1.14,11568021.0
2013,Canada,"Net operating income (x 1,000)",v29788953,1.14,11869098.0
2014,Canada,"Net operating income (x 1,000)",v29788953,1.14,11664450.0
2002,Canada,"Net program payments (x 1,000)",v29788954,1.15,2560346.0
2003,Canada,"Net program payments (x 1,000)",v29788954,1.15,3271922.0
2004,Canada,"Net program payments (x 1,000)",v29788954,1.15,3412550.0
2005,Canada,"Net program payments (x 1,000)",v29788954,1.15,3969820.0
2006,Canada,"Net program payments (x 1,000)",v29788954,1.15,3841496.0
2007,Canada,"Net program payments (x 1,000)",v29788954,1.15,3174898.0
2008,Canada,"Net program payments (x 1,000)",v29788954,1.15,2836839.0
2009,Canada,"Net program payments (x 1,000)",v29788954,1.15,2152240.0
2010,Canada,"Net program payments (x 1,000)",v29788954,1.15,2539118.0
2011,Canada,"Net program payments (x 1,000)",v29788954,1.15,2468263.0
2012,Canada,"Net program payments (x 1,000)",v29788954,1.15,2295936.0
2013,Canada,"Net program payments (x 1,000)",v29788954,1.15,1799805.0
2014,Canada,"Net program payments (x 1,000)",v29788954,1.15,1275675.0
2002,Canada,"Net market income (x 1,000)",v29788955,1.16,3810809.0
2003,Canada,"Net market income (x 1,000)",v29788955,1.16,1805361.0
2004,Canada,"Net market income (x 1,000)",v29788955,1.16,2060730.0
2005,Canada,"Net market income (x 1,000)",v29788955,1.16,1752695.0
2006,Canada,"Net market income (x 1,000)",v29788955,1.16,1815511.0
2007,Canada,"Net market income (x 1,000)",v29788955,1.16,3541083.0
2008,Canada,"Net market income (x 1,000)",v29788955,1.16,5214593.0
2009,Canada,"Net market income (x 1,000)",v29788955,1.16,6057727.0
2010,Canada,"Net market income (x 1,000)",v29788955,1.16,5945503.0
2011,Canada,"Net market income (x 1,000)",v29788955,1.16,7914749.0
2012,Canada,"Net market income (x 1,000)",v29788955,1.16,9272085.0
2013,Canada,"Net market income (x 1,000)",v29788955,1.16,10069293.0
2014,Canada,"Net market income (x 1,000)",v29788955,1.16,10388776.0
1998,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,8401063.0
1999,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,8257685.0
2000,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,9042318.0
2001,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,10054868.0
2002,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,10264645.0
2003,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,9024411.0
2004,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,9765677.0
2005,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,10434543.0
2006,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,10635563.0
2007,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,12022594.0
2008,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,13428518.0
2009,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,13059122.0
2010,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,12722332.0
2011,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,14679421.0
2012,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,16342924.0
2013,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,16620274.0
2014,Canada,"Total income adjusted for capital cost allowance (x 1,000)",v29788956,1.17,16360082.0
2002,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,3887204.0
2003,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,3904837.0
2004,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,3887623.0
2005,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,4040001.0
2006,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,4181486.0
2007,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,4289126.0
2008,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,4520428.0
2009,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,4677122.0
2010,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,5018628.0
2011,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,5393855.0
2012,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,5833942.0
2013,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,6305347.0
2014,Canada,"Adjustment for capital cost allowance (x 1,000)",v29788957,1.18,6587881.0
2002,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,-76395.0
2003,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,-2099476.0
2004,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,-1826893.0
2005,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,-2287305.0
2006,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,-2365976.0
2007,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,-748043.0
2008,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,694165.0
2009,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,1380605.0
2010,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,926875.0
2011,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,2520894.0
2012,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,3438142.0
2013,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,3763946.0
2014,Canada,"Net market income adjusted for capital cost allowance (x 1,000)",v29788958,1.19,3800895.0
1998,Canada,Average total income,v29788959,1.20,39976.0
1999,Canada,Average total income,v29788959,1.20,40009.0
2000,Canada,Average total income,v29788959,1.20,43558.0
2001,Canada,Average total income,v29788959,1.20,46998.0
2002,Canada,Average total income,v29788959,1.20,49004.0
2003,Canada,Average total income,v29788959,1.20,46764.0
2004,Canada,Average total income,v29788959,1.20,50882.0
2005,Canada,Average total income,v29788959,1.20,53568.0
2006,Canada,Average total income,v29788959,1.20,56899.0
2007,Canada,Average total income,v29788959,1.20,63403.0
2008,Canada,Average total income,v29788959,1.20,71040.0
2009,Canada,Average total income,v29788959,1.20,71173.0
2010,Canada,Average total income,v29788959,1.20,73455.0
2011,Canada,Average total income,v29788959,1.20,84126.0
2012,Canada,Average total income,v29788959,1.20,90529.0
2013,Canada,Average total income,v29788959,1.20,93723.0
2014,Canada,Average total income,v29788959,1.20,95331.0
1998,Canada,Average off-farm income,v29788960,1.21,22220.0
1999,Canada,Average off-farm income,v29788960,1.21,23210.0
2000,Canada,Average off-farm income,v29788960,1.21,24455.0
2001,Canada,Average off-farm income,v29788960,1.21,25729.0
2002,Canada,Average off-farm income,v29788960,1.21,26942.0
2003,Canada,Average off-farm income,v29788960,1.21,28400.0
2004,Canada,Average off-farm income,v29788960,1.21,30485.0
2005,Canada,Average off-farm income,v29788960,1.21,32390.0
2006,Canada,Average off-farm income,v29788960,1.21,35175.0
2007,Canada,Average off-farm income,v29788960,1.21,37298.0
2008,Canada,Average off-farm income,v29788960,1.21,39173.0
2009,Canada,Average off-farm income,v29788960,1.21,38227.0
2010,Canada,Average off-farm income,v29788960,1.21,38325.0
2011,Canada,Average off-farm income,v29788960,1.21,40611.0
2012,Canada,Average off-farm income,v29788960,1.21,43307.0
2013,Canada,Average off-farm income,v29788960,1.21,45201.0
2014,Canada,Average off-farm income,v29788960,1.21,46874.0
2001,Canada,Average off-farm employment income,v29788961,1.22,15946.0
2002,Canada,Average off-farm employment income,v29788961,1.22,17010.0
2003,Canada,Average off-farm employment income,v29788961,1.22,17619.0
2004,Canada,Average off-farm employment income,v29788961,1.22,18587.0
2005,Canada,Average off-farm employment income,v29788961,1.22,20403.0
2006,Canada,Average off-farm employment income,v29788961,1.22,21831.0
2007,Canada,Average off-farm employment income,v29788961,1.22,22954.0
2008,Canada,Average off-farm employment income,v29788961,1.22,23774.0
2009,Canada,Average off-farm employment income,v29788961,1.22,22651.0
2010,Canada,Average off-farm employment income,v29788961,1.22,23005.0
2011,Canada,Average off-farm employment income,v29788961,1.22,24379.0
2012,Canada,Average off-farm employment income,v29788961,1.22,25544.0
2013,Canada,Average off-farm employment income,v29788961,1.22,25720.0
2014,Canada,Average off-farm employment income,v29788961,1.22,26546.0
2001,Canada,Average wages and salaries,v29788962,1.23,14431.0
2002,Canada,Average wages and salaries,v29788962,1.23,15423.0
2003,Canada,Average wages and salaries,v29788962,1.23,15981.0
2004,Canada,Average wages and salaries,v29788962,1.23,16814.0
2005,Canada,Average wages and salaries,v29788962,1.23,18540.0
2006,Canada,Average wages and salaries,v29788962,1.23,19836.0
2007,Canada,Average wages and salaries,v29788962,1.23,20796.0
2008,Canada,Average wages and salaries,v29788962,1.23,21718.0
2009,Canada,Average wages and salaries,v29788962,1.23,20950.0
2010,Canada,Average wages and salaries,v29788962,1.23,21259.0
2011,Canada,Average wages and salaries,v29788962,1.23,22323.0
2012,Canada,Average wages and salaries,v29788962,1.23,23380.0
2013,Canada,Average wages and salaries,v29788962,1.23,23713.0
2014,Canada,Average wages and salaries,v29788962,1.23,24254.0
2001,Canada,Average net off-farm self-employment income,v29788963,1.24,1515.0
2002,Canada,Average net off-farm self-employment income,v29788963,1.24,1587.0
2003,Canada,Average net off-farm self-employment income,v29788963,1.24,1638.0
2004,Canada,Average net off-farm self-employment income,v29788963,1.24,1773.0
2005,Canada,Average net off-farm self-employment income,v29788963,1.24,1863.0
2006,Canada,Average net off-farm self-employment income,v29788963,1.24,1995.0
2007,Canada,Average net off-farm self-employment income,v29788963,1.24,2158.0
2008,Canada,Average net off-farm self-employment income,v29788963,1.24,2056.0
2009,Canada,Average net off-farm self-employment income,v29788963,1.24,1701.0
2010,Canada,Average net off-farm self-employment income,v29788963,1.24,1746.0
2011,Canada,Average net off-farm self-employment income,v29788963,1.24,2056.0
2012,Canada,Average net off-farm self-employment income,v29788963,1.24,2164.0
2013,Canada,Average net off-farm self-employment income,v29788963,1.24,2007.0
2014,Canada,Average net off-farm self-employment income,v29788963,1.24,2292.0
2001,Canada,Average investment income,v29788964,1.25,4137.0
2002,Canada,Average investment income,v29788964,1.25,4035.0
2003,Canada,Average investment income,v29788964,1.25,4352.0
2004,Canada,Average investment income,v29788964,1.25,4677.0
2005,Canada,Average investment income,v29788964,1.25,4917.0
2006,Canada,Average investment income,v29788964,1.25,5889.0
2007,Canada,Average investment income,v29788964,1.25,6749.0
2008,Canada,Average investment income,v29788964,1.25,7428.0
2009,Canada,Average investment income,v29788964,1.25,7614.0
2010,Canada,Average investment income,v29788964,1.25,7446.0
2011,Canada,Average investment income,v29788964,1.25,8252.0
2012,Canada,Average investment income,v29788964,1.25,9015.0
2013,Canada,Average investment income,v29788964,1.25,10429.0
2014,Canada,Average investment income,v29788964,1.25,11072.0
2001,Canada,Average pension income,v29788965,1.26,3721.0
2002,Canada,Average pension income,v29788965,1.26,3956.0
2003,Canada,Average pension income,v29788965,1.26,4086.0
2004,Canada,Average pension income,v29788965,1.26,4442.0
2005,Canada,Average pension income,v29788965,1.26,4719.0
2006,Canada,Average pension income,v29788965,1.26,5014.0
2007,Canada,Average pension income,v29788965,1.26,5222.0
2008,Canada,Average pension income,v29788965,1.26,5370.0
2009,Canada,Average pension income,v29788965,1.26,5551.0
2010,Canada,Average pension income,v29788965,1.26,5797.0
2011,Canada,Average pension income,v29788965,1.26,6071.0
2012,Canada,Average pension income,v29788965,1.26,6610.0
2013,Canada,Average pension income,v29788965,1.26,6809.0
2014,Canada,Average pension income,v29788965,1.26,6983.0
2001,Canada,Average government social transfers,v29788966,1.27,601.0
2002,Canada,Average government social transfers,v29788966,1.27,521.0
2003,Canada,Average government social transfers,v29788966,1.27,624.0
2004,Canada,Average government social transfers,v29788966,1.27,623.0
2005,Canada,Average government social transfers,v29788966,1.27,643.0
2006,Canada,Average government social transfers,v29788966,1.27,717.0
2007,Canada,Average government social transfers,v29788966,1.27,732.0
2008,Canada,Average government social transfers,v29788966,1.27,739.0
2009,Canada,Average government social transfers,v29788966,1.27,790.0
2010,Canada,Average government social transfers,v29788966,1.27,802.0
2011,Canada,Average government social transfers,v29788966,1.27,740.0
2012,Canada,Average government social transfers,v29788966,1.27,726.0
2013,Canada,Average government social transfers,v29788966,1.27,720.0
2014,Canada,Average government social transfers,v29788966,1.27,710.0
2001,Canada,Average other off-farm income,v29788967,1.28,1325.0
2002,Canada,Average other off-farm income,v29788967,1.28,1419.0
2003,Canada,Average other off-farm income,v29788967,1.28,1719.0
2004,Canada,Average other off-farm income,v29788967,1.28,2155.0
2005,Canada,Average other off-farm income,v29788967,1.28,1708.0
2006,Canada,Average other off-farm income,v29788967,1.28,1725.0
2007,Canada,Average other off-farm income,v29788967,1.28,1641.0
2008,Canada,Average other off-farm income,v29788967,1.28,1862.0
2009,Canada,Average other off-farm income,v29788967,1.28,1622.0
2010,Canada,Average other off-farm income,v29788967,1.28,1276.0
2011,Canada,Average other off-farm income,v29788967,1.28,1170.0
2012,Canada,Average other off-farm income,v29788967,1.28,1412.0
2013,Canada,Average other off-farm income,v29788967,1.28,1523.0
2014,Canada,Average other off-farm income,v29788967,1.28,1563.0
1998,Canada,Average net operating income,v29788968,1.29,17757.0
1999,Canada,Average net operating income,v29788968,1.29,16800.0
