Ref_Date,GEO,FRUIT,CONTAINER,Vector,Coordinate,Value
1972/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2386.0
1972/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2322.0
1972/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2250.0
1972/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2010.0
1973/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1794.0
1973/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1686.0
1973/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1340.0
1973/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1042.0
1973/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,835.0
1973/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,679.0
1973/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1318.0
1973/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1901.0
1973/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1885.0
1973/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1454.0
1973/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1870.0
1973/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1679.0
1974/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1340.0
1974/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1457.0
1974/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1072.0
1974/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,981.0
1974/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,862.0
1974/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,882.0
1974/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1193.0
1974/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,3019.0
1974/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,3097.0
1974/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2988.0
1974/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2551.0
1974/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2409.0
1975/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2403.0
1975/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2108.0
1975/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1768.0
1975/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1718.0
1975/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1523.0
1975/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1263.0
1975/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1485.0
1975/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1945.0
1975/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1952.0
1975/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2232.0
1975/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2163.0
1975/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1860.0
1976/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1671.0
1976/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1215.0
1976/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1324.0
1976/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1000.0
1976/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,867.0
1976/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,663.0
1976/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,641.0
1976/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1227.0
1976/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1515.0
1976/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1752.0
1976/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1305.0
1976/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1160.0
1977/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1186.0
1977/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,909.0
1977/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1002.0
1977/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,928.0
1977/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,644.0
1977/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,797.0
1977/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1005.0
1977/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1634.0
1977/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1483.0
1977/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1363.0
1977/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1293.0
1977/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1189.0
1978/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,996.0
1978/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,950.0
1978/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1048.0
1978/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,766.0
1978/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,681.0
1978/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,617.0
1978/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,714.0
1978/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1718.0
1978/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1370.0
1978/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1447.0
1978/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1273.0
1978/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1167.0
1979/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1134.0
1979/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1095.0
1979/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,740.0
1979/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,822.0
1979/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,797.0
1979/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,791.0
1979/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1098.0
1979/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2039.0
1979/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2048.0
1979/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1969.0
1979/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1910.0
1979/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1740.0
1980/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1586.0
1980/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1464.0
1980/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1207.0
1980/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1070.0
1980/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,834.0
1980/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,650.0
1980/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,716.0
1980/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1495.0
1980/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1494.0
1980/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1277.0
1980/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1174.0
1980/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1084.0
1981/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1089.0
1981/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,978.0
1981/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,864.0
1981/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,744.0
1981/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,763.0
1981/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,659.0
1981/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,845.0
1981/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1411.0
1981/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1542.0
1981/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1289.0
1981/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1124.0
1981/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1098.0
1982/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,947.0
1982/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,922.0
1982/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,843.0
1982/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,773.0
1982/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,463.0
1982/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,630.0
1982/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1030.0
1982/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1415.0
1982/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1182.0
1982/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1099.0
1982/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1678.0
1982/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1388.0
1983/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1440.0
1983/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1295.0
1983/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1101.0
1983/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,569.0
1983/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,559.0
1983/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,501.0
1983/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1317.0
1983/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1834.0
1983/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1661.0
1983/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1620.0
1983/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1387.0
1983/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1316.0
1984/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1153.0
1984/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1116.0
1984/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,605.0
1984/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,836.0
1984/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,987.0
1984/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,882.0
1984/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1224.0
1984/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1931.0
1984/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1909.0
1984/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1817.0
1984/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1521.0
1984/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1436.0
1985/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1207.0
1985/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,975.0
1985/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1070.0
1985/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,2131.0
1985/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,884.0
1985/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,625.0
1985/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,871.0
1985/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1345.0
1985/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1649.0
1985/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1431.0
1985/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1320.0
1985/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,877.0
1986/01,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,799.0
1986/02,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,894.0
1986/03,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,900.0
1986/04,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,877.0
1986/05,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,626.0
1986/06,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,492.0
1986/07,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1207.0
1986/08,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1176.0
1986/09,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1125.0
1986/10,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,1007.0
1986/11,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,889.0
1986/12,Canada,Total fruit,Containers 0.454 kilograms and under,v722264,1.1.1,910.0
1970/01,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,13690.0
1970/02,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,12673.0
1970/03,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,11308.0
1970/04,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10948.0
1970/05,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10006.0
1970/06,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,9368.0
1970/07,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10011.0
1970/08,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,13160.0
1970/09,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,13840.0
1970/10,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,14402.0
1970/11,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,13265.0
1970/12,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,12648.0
1971/01,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,11363.0
1971/02,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,11120.0
1971/03,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10265.0
1971/04,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,9136.0
1971/05,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8467.0
1971/06,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,7077.0
1971/07,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,6629.0
1971/08,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,9866.0
1971/09,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,13326.0
1971/10,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,12325.0
1971/11,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,11322.0
1971/12,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,11758.0
1972/01,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,11289.0
1972/02,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10629.0
1972/03,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10307.0
1972/04,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8992.0
1972/05,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8573.0
1972/06,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,7225.0
1972/07,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,6833.0
1972/08,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10041.0
1972/09,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,11619.0
1972/10,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,11528.0
1972/11,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,11069.0
1972/12,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10540.0
1973/01,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10072.0
1973/02,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8982.0
1973/03,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8171.0
1973/04,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,6963.0
1973/05,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,6738.0
1973/06,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,5708.0
1973/07,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,5486.0
1973/08,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8953.0
1973/09,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8777.0
1973/10,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,9772.0
1973/11,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10921.0
1973/12,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10049.0
1974/01,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10260.0
1974/02,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10003.0
1974/03,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10121.0
1974/04,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10335.0
1974/05,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10631.0
1974/06,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8997.0
1974/07,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8344.0
1974/08,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,11011.0
1974/09,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,9590.0
1974/10,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,11055.0
1974/11,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,9290.0
1974/12,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,9605.0
1975/01,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8855.0
1975/02,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8168.0
1975/03,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,7946.0
1975/04,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,7221.0
1975/05,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,6568.0
1975/06,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,5698.0
1975/07,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,5405.0
1975/08,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,7714.0
1975/09,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,9377.0
1975/10,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8652.0
1975/11,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,9105.0
1975/12,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8417.0
1976/01,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8298.0
1976/02,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8252.0
1976/03,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,7145.0
1976/04,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,6575.0
1976/05,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,6193.0
1976/06,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,6167.0
1976/07,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,6236.0
1976/08,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,9097.0
1976/09,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,10500.0
1976/10,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,9753.0
1976/11,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8522.0
1976/12,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,8553.0
1977/01,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,7539.0
1977/02,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,7219.0
1977/03,Canada,Total fruit,Containers over 0.454 kilograms up to 13.6 kilograms,v722273,1.1.2,6480.0
