Ref_Date,GEO,AGE,SEX,SMOKING,STATS,Vector,Coordinate,Value
2012,Canada,"Total, 15 years and over",Both sexes,Not exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163348,1.1.1.7.3,28.4
2012,Canada,"Total, 15 years and over",Both sexes,Not exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163349,1.1.1.7.4,33.6
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if exposed to second-hand smoke at home,Number of persons,v97163350,1.1.1.8.1,F
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if exposed to second-hand smoke at home,Percent,v97163351,1.1.1.8.2,F
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163352,1.1.1.8.3,F
2012,Canada,"Total, 15 years and over",Both sexes,Not specified if exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163353,1.1.1.8.4,F
2012,Canada,"Total, 15 years and over",Both sexes,Smoking status not specified,Number of persons,v97163354,1.1.1.9.1,2800.0
2012,Canada,"Total, 15 years and over",Both sexes,Smoking status not specified,Percent,v97163355,1.1.1.9.2,6.8
2012,Canada,"Total, 15 years and over",Both sexes,Smoking status not specified,Low 95% confidence interval (percent),v97163356,1.1.1.9.3,5.7
2012,Canada,"Total, 15 years and over",Both sexes,Smoking status not specified,High 95% confidence interval (percent),v97163357,1.1.1.9.4,8.1
2012,Canada,"Total, 15 years and over",Male,"Total, smoking status",Number of persons,v97163358,1.1.2.1.1,18780.0
2012,Canada,"Total, 15 years and over",Male,"Total, smoking status",Percent,v97163359,1.1.2.1.2,100.0
2012,Canada,"Total, 15 years and over",Male,"Total, smoking status",Low 95% confidence interval (percent),v97163360,1.1.2.1.3,100.0
2012,Canada,"Total, 15 years and over",Male,"Total, smoking status",High 95% confidence interval (percent),v97163361,1.1.2.1.4,100.0
2012,Canada,"Total, 15 years and over",Male,Current daily or occasional smoker,Number of persons,v97163362,1.1.2.2.1,10660.0
2012,Canada,"Total, 15 years and over",Male,Current daily or occasional smoker,Percent,v97163363,1.1.2.2.2,56.8
2012,Canada,"Total, 15 years and over",Male,Current daily or occasional smoker,Low 95% confidence interval (percent),v97163364,1.1.2.2.3,52.7
2012,Canada,"Total, 15 years and over",Male,Current daily or occasional smoker,High 95% confidence interval (percent),v97163365,1.1.2.2.4,60.7
2012,Canada,"Total, 15 years and over",Male,Daily smoker,Number of persons,v97163366,1.1.2.3.1,8990.0
2012,Canada,"Total, 15 years and over",Male,Daily smoker,Percent,v97163367,1.1.2.3.2,47.9
2012,Canada,"Total, 15 years and over",Male,Daily smoker,Low 95% confidence interval (percent),v97163368,1.1.2.3.3,44.1
2012,Canada,"Total, 15 years and over",Male,Daily smoker,High 95% confidence interval (percent),v97163369,1.1.2.3.4,51.6
2012,Canada,"Total, 15 years and over",Male,Occasional smoker,Number of persons,v97163370,1.1.2.4.1,1670.0
2012,Canada,"Total, 15 years and over",Male,Occasional smoker,Percent,v97163371,1.1.2.4.2,8.9
2012,Canada,"Total, 15 years and over",Male,Occasional smoker,Low 95% confidence interval (percent),v97163372,1.1.2.4.3,7.4
2012,Canada,"Total, 15 years and over",Male,Occasional smoker,High 95% confidence interval (percent),v97163373,1.1.2.4.4,10.7
2012,Canada,"Total, 15 years and over",Male,Non-smoker,Number of persons,v97163374,1.1.2.5.1,6880.0
2012,Canada,"Total, 15 years and over",Male,Non-smoker,Percent,v97163375,1.1.2.5.2,36.6
2012,Canada,"Total, 15 years and over",Male,Non-smoker,Low 95% confidence interval (percent),v97163376,1.1.2.5.3,32.5
2012,Canada,"Total, 15 years and over",Male,Non-smoker,High 95% confidence interval (percent),v97163377,1.1.2.5.4,41.0
2012,Canada,"Total, 15 years and over",Male,Exposed to second-hand smoke at home,Number of persons,v97163378,1.1.2.6.1,1120.0
2012,Canada,"Total, 15 years and over",Male,Exposed to second-hand smoke at home,Percent,v97163379,1.1.2.6.2,6.0
2012,Canada,"Total, 15 years and over",Male,Exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163380,1.1.2.6.3,4.6
2012,Canada,"Total, 15 years and over",Male,Exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163381,1.1.2.6.4,7.7
2012,Canada,"Total, 15 years and over",Male,Not exposed to second-hand smoke at home,Number of persons,v97163382,1.1.2.7.1,5750.0
2012,Canada,"Total, 15 years and over",Male,Not exposed to second-hand smoke at home,Percent,v97163383,1.1.2.7.2,30.6
2012,Canada,"Total, 15 years and over",Male,Not exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163384,1.1.2.7.3,26.5
2012,Canada,"Total, 15 years and over",Male,Not exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163385,1.1.2.7.4,35.1
2012,Canada,"Total, 15 years and over",Male,Not specified if exposed to second-hand smoke at home,Number of persons,v97163386,1.1.2.8.1,F
2012,Canada,"Total, 15 years and over",Male,Not specified if exposed to second-hand smoke at home,Percent,v97163387,1.1.2.8.2,F
2012,Canada,"Total, 15 years and over",Male,Not specified if exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163388,1.1.2.8.3,F
2012,Canada,"Total, 15 years and over",Male,Not specified if exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163389,1.1.2.8.4,F
2012,Canada,"Total, 15 years and over",Male,Smoking status not specified,Number of persons,v97163390,1.1.2.9.1,1240.0
2012,Canada,"Total, 15 years and over",Male,Smoking status not specified,Percent,v97163391,1.1.2.9.2,6.6
2012,Canada,"Total, 15 years and over",Male,Smoking status not specified,Low 95% confidence interval (percent),v97163392,1.1.2.9.3,5.2
2012,Canada,"Total, 15 years and over",Male,Smoking status not specified,High 95% confidence interval (percent),v97163393,1.1.2.9.4,8.4
2012,Canada,"Total, 15 years and over",Female,"Total, smoking status",Number of persons,v97163394,1.1.3.1.1,22500.0
2012,Canada,"Total, 15 years and over",Female,"Total, smoking status",Percent,v97163395,1.1.3.1.2,100.0
2012,Canada,"Total, 15 years and over",Female,"Total, smoking status",Low 95% confidence interval (percent),v97163396,1.1.3.1.3,100.0
2012,Canada,"Total, 15 years and over",Female,"Total, smoking status",High 95% confidence interval (percent),v97163397,1.1.3.1.4,100.0
2012,Canada,"Total, 15 years and over",Female,Current daily or occasional smoker,Number of persons,v97163398,1.1.3.2.1,13070.0
2012,Canada,"Total, 15 years and over",Female,Current daily or occasional smoker,Percent,v97163399,1.1.3.2.2,58.1
2012,Canada,"Total, 15 years and over",Female,Current daily or occasional smoker,Low 95% confidence interval (percent),v97163400,1.1.3.2.3,54.4
2012,Canada,"Total, 15 years and over",Female,Current daily or occasional smoker,High 95% confidence interval (percent),v97163401,1.1.3.2.4,61.7
2012,Canada,"Total, 15 years and over",Female,Daily smoker,Number of persons,v97163402,1.1.3.3.1,11110.0
2012,Canada,"Total, 15 years and over",Female,Daily smoker,Percent,v97163403,1.1.3.3.2,49.4
2012,Canada,"Total, 15 years and over",Female,Daily smoker,Low 95% confidence interval (percent),v97163404,1.1.3.3.3,45.8
2012,Canada,"Total, 15 years and over",Female,Daily smoker,High 95% confidence interval (percent),v97163405,1.1.3.3.4,53.0
2012,Canada,"Total, 15 years and over",Female,Occasional smoker,Number of persons,v97163406,1.1.3.4.1,1960.0
2012,Canada,"Total, 15 years and over",Female,Occasional smoker,Percent,v97163407,1.1.3.4.2,8.7
2012,Canada,"Total, 15 years and over",Female,Occasional smoker,Low 95% confidence interval (percent),v97163408,1.1.3.4.3,7.0
2012,Canada,"Total, 15 years and over",Female,Occasional smoker,High 95% confidence interval (percent),v97163409,1.1.3.4.4,10.9
2012,Canada,"Total, 15 years and over",Female,Non-smoker,Number of persons,v97163410,1.1.3.5.1,7870.0
2012,Canada,"Total, 15 years and over",Female,Non-smoker,Percent,v97163411,1.1.3.5.2,35.0
2012,Canada,"Total, 15 years and over",Female,Non-smoker,Low 95% confidence interval (percent),v97163412,1.1.3.5.3,31.6
2012,Canada,"Total, 15 years and over",Female,Non-smoker,High 95% confidence interval (percent),v97163413,1.1.3.5.4,38.5
2012,Canada,"Total, 15 years and over",Female,Exposed to second-hand smoke at home,Number of persons,v97163414,1.1.3.6.1,840.0
2012,Canada,"Total, 15 years and over",Female,Exposed to second-hand smoke at home,Percent,v97163415,1.1.3.6.2,3.7
2012,Canada,"Total, 15 years and over",Female,Exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163416,1.1.3.6.3,2.7
2012,Canada,"Total, 15 years and over",Female,Exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163417,1.1.3.6.4,5.1
2012,Canada,"Total, 15 years and over",Female,Not exposed to second-hand smoke at home,Number of persons,v97163418,1.1.3.7.1,7020.0
2012,Canada,"Total, 15 years and over",Female,Not exposed to second-hand smoke at home,Percent,v97163419,1.1.3.7.2,31.2
2012,Canada,"Total, 15 years and over",Female,Not exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163420,1.1.3.7.3,27.9
2012,Canada,"Total, 15 years and over",Female,Not exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163421,1.1.3.7.4,34.8
2012,Canada,"Total, 15 years and over",Female,Not specified if exposed to second-hand smoke at home,Number of persons,v97163422,1.1.3.8.1,F
2012,Canada,"Total, 15 years and over",Female,Not specified if exposed to second-hand smoke at home,Percent,v97163423,1.1.3.8.2,F
2012,Canada,"Total, 15 years and over",Female,Not specified if exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163424,1.1.3.8.3,F
2012,Canada,"Total, 15 years and over",Female,Not specified if exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163425,1.1.3.8.4,F
2012,Canada,"Total, 15 years and over",Female,Smoking status not specified,Number of persons,v97163426,1.1.3.9.1,1560.0
2012,Canada,"Total, 15 years and over",Female,Smoking status not specified,Percent,v97163427,1.1.3.9.2,6.9
2012,Canada,"Total, 15 years and over",Female,Smoking status not specified,Low 95% confidence interval (percent),v97163428,1.1.3.9.3,5.3
2012,Canada,"Total, 15 years and over",Female,Smoking status not specified,High 95% confidence interval (percent),v97163429,1.1.3.9.4,9.0
2012,Canada,15 to 24 years,Both sexes,"Total, smoking status",Number of persons,v97163430,1.2.1.1.1,12520.0
2012,Canada,15 to 24 years,Both sexes,"Total, smoking status",Percent,v97163431,1.2.1.1.2,100.0
2012,Canada,15 to 24 years,Both sexes,"Total, smoking status",Low 95% confidence interval (percent),v97163432,1.2.1.1.3,100.0
2012,Canada,15 to 24 years,Both sexes,"Total, smoking status",High 95% confidence interval (percent),v97163433,1.2.1.1.4,100.0
2012,Canada,15 to 24 years,Both sexes,Current daily or occasional smoker,Number of persons,v97163434,1.2.1.2.1,7680.0
2012,Canada,15 to 24 years,Both sexes,Current daily or occasional smoker,Percent,v97163435,1.2.1.2.2,61.3
2012,Canada,15 to 24 years,Both sexes,Current daily or occasional smoker,Low 95% confidence interval (percent),v97163436,1.2.1.2.3,56.8
2012,Canada,15 to 24 years,Both sexes,Current daily or occasional smoker,High 95% confidence interval (percent),v97163437,1.2.1.2.4,65.7
2012,Canada,15 to 24 years,Both sexes,Daily smoker,Number of persons,v97163438,1.2.1.3.1,6330.0
2012,Canada,15 to 24 years,Both sexes,Daily smoker,Percent,v97163439,1.2.1.3.2,50.6
2012,Canada,15 to 24 years,Both sexes,Daily smoker,Low 95% confidence interval (percent),v97163440,1.2.1.3.3,46.2
2012,Canada,15 to 24 years,Both sexes,Daily smoker,High 95% confidence interval (percent),v97163441,1.2.1.3.4,54.9
2012,Canada,15 to 24 years,Both sexes,Occasional smoker,Number of persons,v97163442,1.2.1.4.1,1350.0
2012,Canada,15 to 24 years,Both sexes,Occasional smoker,Percent,v97163443,1.2.1.4.2,10.8
2012,Canada,15 to 24 years,Both sexes,Occasional smoker,Low 95% confidence interval (percent),v97163444,1.2.1.4.3,8.5
2012,Canada,15 to 24 years,Both sexes,Occasional smoker,High 95% confidence interval (percent),v97163445,1.2.1.4.4,13.7
2012,Canada,15 to 24 years,Both sexes,Non-smoker,Number of persons,v97163446,1.2.1.5.1,3770.0
2012,Canada,15 to 24 years,Both sexes,Non-smoker,Percent,v97163447,1.2.1.5.2,30.1
2012,Canada,15 to 24 years,Both sexes,Non-smoker,Low 95% confidence interval (percent),v97163448,1.2.1.5.3,25.7
2012,Canada,15 to 24 years,Both sexes,Non-smoker,High 95% confidence interval (percent),v97163449,1.2.1.5.4,34.9
2012,Canada,15 to 24 years,Both sexes,Exposed to second-hand smoke at home,Number of persons,v97163450,1.2.1.6.1,840.0
2012,Canada,15 to 24 years,Both sexes,Exposed to second-hand smoke at home,Percent,v97163451,1.2.1.6.2,6.7
2012,Canada,15 to 24 years,Both sexes,Exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163452,1.2.1.6.3,5.1
2012,Canada,15 to 24 years,Both sexes,Exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163453,1.2.1.6.4,8.8
2012,Canada,15 to 24 years,Both sexes,Not exposed to second-hand smoke at home,Number of persons,v97163454,1.2.1.7.1,2930.0
2012,Canada,15 to 24 years,Both sexes,Not exposed to second-hand smoke at home,Percent,v97163455,1.2.1.7.2,23.4
2012,Canada,15 to 24 years,Both sexes,Not exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163456,1.2.1.7.3,18.9
2012,Canada,15 to 24 years,Both sexes,Not exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163457,1.2.1.7.4,28.6
2012,Canada,15 to 24 years,Both sexes,Not specified if exposed to second-hand smoke at home,Number of persons,v97163458,1.2.1.8.1,F
2012,Canada,15 to 24 years,Both sexes,Not specified if exposed to second-hand smoke at home,Percent,v97163459,1.2.1.8.2,F
2012,Canada,15 to 24 years,Both sexes,Not specified if exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163460,1.2.1.8.3,F
2012,Canada,15 to 24 years,Both sexes,Not specified if exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163461,1.2.1.8.4,F
2012,Canada,15 to 24 years,Both sexes,Smoking status not specified,Number of persons,v97163462,1.2.1.9.1,1070.0
2012,Canada,15 to 24 years,Both sexes,Smoking status not specified,Percent,v97163463,1.2.1.9.2,8.5
2012,Canada,15 to 24 years,Both sexes,Smoking status not specified,Low 95% confidence interval (percent),v97163464,1.2.1.9.3,6.7
2012,Canada,15 to 24 years,Both sexes,Smoking status not specified,High 95% confidence interval (percent),v97163465,1.2.1.9.4,10.8
2012,Canada,15 to 24 years,Male,"Total, smoking status",Number of persons,v97163466,1.2.2.1.1,5810.0
2012,Canada,15 to 24 years,Male,"Total, smoking status",Percent,v97163467,1.2.2.1.2,100.0
2012,Canada,15 to 24 years,Male,"Total, smoking status",Low 95% confidence interval (percent),v97163468,1.2.2.1.3,100.0
2012,Canada,15 to 24 years,Male,"Total, smoking status",High 95% confidence interval (percent),v97163469,1.2.2.1.4,100.0
2012,Canada,15 to 24 years,Male,Current daily or occasional smoker,Number of persons,v97163470,1.2.2.2.1,3290.0
2012,Canada,15 to 24 years,Male,Current daily or occasional smoker,Percent,v97163471,1.2.2.2.2,56.6
2012,Canada,15 to 24 years,Male,Current daily or occasional smoker,Low 95% confidence interval (percent),v97163472,1.2.2.2.3,51.1
2012,Canada,15 to 24 years,Male,Current daily or occasional smoker,High 95% confidence interval (percent),v97163473,1.2.2.2.4,62.0
2012,Canada,15 to 24 years,Male,Daily smoker,Number of persons,v97163474,1.2.2.3.1,2600.0
2012,Canada,15 to 24 years,Male,Daily smoker,Percent,v97163475,1.2.2.3.2,44.8
2012,Canada,15 to 24 years,Male,Daily smoker,Low 95% confidence interval (percent),v97163476,1.2.2.3.3,39.7
2012,Canada,15 to 24 years,Male,Daily smoker,High 95% confidence interval (percent),v97163477,1.2.2.3.4,49.8
2012,Canada,15 to 24 years,Male,Occasional smoker,Number of persons,v97163478,1.2.2.4.1,690.0
2012,Canada,15 to 24 years,Male,Occasional smoker,Percent,v97163479,1.2.2.4.2,11.9
2012,Canada,15 to 24 years,Male,Occasional smoker,Low 95% confidence interval (percent),v97163480,1.2.2.4.3,9.2
2012,Canada,15 to 24 years,Male,Occasional smoker,High 95% confidence interval (percent),v97163481,1.2.2.4.4,15.3
2012,Canada,15 to 24 years,Male,Non-smoker,Number of persons,v97163482,1.2.2.5.1,1950.0
2012,Canada,15 to 24 years,Male,Non-smoker,Percent,v97163483,1.2.2.5.2,33.6
2012,Canada,15 to 24 years,Male,Non-smoker,Low 95% confidence interval (percent),v97163484,1.2.2.5.3,28.1
2012,Canada,15 to 24 years,Male,Non-smoker,High 95% confidence interval (percent),v97163485,1.2.2.5.4,39.5
2012,Canada,15 to 24 years,Male,Exposed to second-hand smoke at home,Number of persons,v97163486,1.2.2.6.1,480.0
2012,Canada,15 to 24 years,Male,Exposed to second-hand smoke at home,Percent,v97163487,1.2.2.6.2,8.3
2012,Canada,15 to 24 years,Male,Exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163488,1.2.2.6.3,5.8
2012,Canada,15 to 24 years,Male,Exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163489,1.2.2.6.4,11.5
2012,Canada,15 to 24 years,Male,Not exposed to second-hand smoke at home,Number of persons,v97163490,1.2.2.7.1,1470.0
2012,Canada,15 to 24 years,Male,Not exposed to second-hand smoke at home,Percent,v97163491,1.2.2.7.2,25.3
2012,Canada,15 to 24 years,Male,Not exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163492,1.2.2.7.3,20.0
2012,Canada,15 to 24 years,Male,Not exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163493,1.2.2.7.4,31.6
2012,Canada,15 to 24 years,Male,Not specified if exposed to second-hand smoke at home,Number of persons,v97163494,1.2.2.8.1,F
2012,Canada,15 to 24 years,Male,Not specified if exposed to second-hand smoke at home,Percent,v97163495,1.2.2.8.2,F
2012,Canada,15 to 24 years,Male,Not specified if exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163496,1.2.2.8.3,F
2012,Canada,15 to 24 years,Male,Not specified if exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163497,1.2.2.8.4,F
2012,Canada,15 to 24 years,Male,Smoking status not specified,Number of persons,v97163498,1.2.2.9.1,570.0
2012,Canada,15 to 24 years,Male,Smoking status not specified,Percent,v97163499,1.2.2.9.2,9.8
2012,Canada,15 to 24 years,Male,Smoking status not specified,Low 95% confidence interval (percent),v97163500,1.2.2.9.3,7.1
2012,Canada,15 to 24 years,Male,Smoking status not specified,High 95% confidence interval (percent),v97163501,1.2.2.9.4,13.4
2012,Canada,15 to 24 years,Female,"Total, smoking status",Number of persons,v97163502,1.2.3.1.1,6710.0
2012,Canada,15 to 24 years,Female,"Total, smoking status",Percent,v97163503,1.2.3.1.2,100.0
2012,Canada,15 to 24 years,Female,"Total, smoking status",Low 95% confidence interval (percent),v97163504,1.2.3.1.3,100.0
2012,Canada,15 to 24 years,Female,"Total, smoking status",High 95% confidence interval (percent),v97163505,1.2.3.1.4,100.0
2012,Canada,15 to 24 years,Female,Current daily or occasional smoker,Number of persons,v97163506,1.2.3.2.1,4390.0
2012,Canada,15 to 24 years,Female,Current daily or occasional smoker,Percent,v97163507,1.2.3.2.2,65.4
2012,Canada,15 to 24 years,Female,Current daily or occasional smoker,Low 95% confidence interval (percent),v97163508,1.2.3.2.3,59.6
2012,Canada,15 to 24 years,Female,Current daily or occasional smoker,High 95% confidence interval (percent),v97163509,1.2.3.2.4,70.8
2012,Canada,15 to 24 years,Female,Daily smoker,Number of persons,v97163510,1.2.3.3.1,3730.0
2012,Canada,15 to 24 years,Female,Daily smoker,Percent,v97163511,1.2.3.3.2,55.6
2012,Canada,15 to 24 years,Female,Daily smoker,Low 95% confidence interval (percent),v97163512,1.2.3.3.3,49.4
2012,Canada,15 to 24 years,Female,Daily smoker,High 95% confidence interval (percent),v97163513,1.2.3.3.4,61.6
2012,Canada,15 to 24 years,Female,Occasional smoker,Number of persons,v97163514,1.2.3.4.1,660.0
2012,Canada,15 to 24 years,Female,Occasional smoker,Percent,v97163515,1.2.3.4.2,9.8
2012,Canada,15 to 24 years,Female,Occasional smoker,Low 95% confidence interval (percent),v97163516,1.2.3.4.3,6.7
2012,Canada,15 to 24 years,Female,Occasional smoker,High 95% confidence interval (percent),v97163517,1.2.3.4.4,14.3
2012,Canada,15 to 24 years,Female,Non-smoker,Number of persons,v97163518,1.2.3.5.1,1820.0
2012,Canada,15 to 24 years,Female,Non-smoker,Percent,v97163519,1.2.3.5.2,27.1
2012,Canada,15 to 24 years,Female,Non-smoker,Low 95% confidence interval (percent),v97163520,1.2.3.5.3,22.1
2012,Canada,15 to 24 years,Female,Non-smoker,High 95% confidence interval (percent),v97163521,1.2.3.5.4,32.8
2012,Canada,15 to 24 years,Female,Exposed to second-hand smoke at home,Number of persons,v97163522,1.2.3.6.1,360.0
2012,Canada,15 to 24 years,Female,Exposed to second-hand smoke at home,Percent,v97163523,1.2.3.6.2,5.4
2012,Canada,15 to 24 years,Female,Exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163524,1.2.3.6.3,3.4
2012,Canada,15 to 24 years,Female,Exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163525,1.2.3.6.4,8.5
2012,Canada,15 to 24 years,Female,Not exposed to second-hand smoke at home,Number of persons,v97163526,1.2.3.7.1,1460.0
2012,Canada,15 to 24 years,Female,Not exposed to second-hand smoke at home,Percent,v97163527,1.2.3.7.2,21.8
2012,Canada,15 to 24 years,Female,Not exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163528,1.2.3.7.3,16.8
2012,Canada,15 to 24 years,Female,Not exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163529,1.2.3.7.4,27.6
2012,Canada,15 to 24 years,Female,Not specified if exposed to second-hand smoke at home,Number of persons,v97163530,1.2.3.8.1,F
2012,Canada,15 to 24 years,Female,Not specified if exposed to second-hand smoke at home,Percent,v97163531,1.2.3.8.2,F
2012,Canada,15 to 24 years,Female,Not specified if exposed to second-hand smoke at home,Low 95% confidence interval (percent),v97163532,1.2.3.8.3,F
2012,Canada,15 to 24 years,Female,Not specified if exposed to second-hand smoke at home,High 95% confidence interval (percent),v97163533,1.2.3.8.4,F
2012,Canada,15 to 24 years,Female,Smoking status not specified,Number of persons,v97163534,1.2.3.9.1,500.0
2012,Canada,15 to 24 years,Female,Smoking status not specified,Percent,v97163535,1.2.3.9.2,7.5
2012,Canada,15 to 24 years,Female,Smoking status not specified,Low 95% confidence interval (percent),v97163536,1.2.3.9.3,5.3
2012,Canada,15 to 24 years,Female,Smoking status not specified,High 95% confidence interval (percent),v97163537,1.2.3.9.4,10.4
2012,Canada,25 to 54 years,Both sexes,"Total, smoking status",Number of persons,v97163538,1.3.1.1.1,21560.0
2012,Canada,25 to 54 years,Both sexes,"Total, smoking status",Percent,v97163539,1.3.1.1.2,100.0
2012,Canada,25 to 54 years,Both sexes,"Total, smoking status",Low 95% confidence interval (percent),v97163540,1.3.1.1.3,100.0
2012,Canada,25 to 54 years,Both sexes,"Total, smoking status",High 95% confidence interval (percent),v97163541,1.3.1.1.4,100.0
2012,Canada,25 to 54 years,Both sexes,Current daily or occasional smoker,Number of persons,v97163542,1.3.1.2.1,14010.0
2012,Canada,25 to 54 years,Both sexes,Current daily or occasional smoker,Percent,v97163543,1.3.1.2.2,65.0
2012,Canada,25 to 54 years,Both sexes,Current daily or occasional smoker,Low 95% confidence interval (percent),v97163544,1.3.1.2.3,61.5
2012,Canada,25 to 54 years,Both sexes,Current daily or occasional smoker,High 95% confidence interval (percent),v97163545,1.3.1.2.4,68.2
2012,Canada,25 to 54 years,Both sexes,Daily smoker,Number of persons,v97163546,1.3.1.3.1,12030.0
2012,Canada,25 to 54 years,Both sexes,Daily smoker,Percent,v97163547,1.3.1.3.2,55.8
2012,Canada,25 to 54 years,Both sexes,Daily smoker,Low 95% confidence interval (percent),v97163548,1.3.1.3.3,52.5
2012,Canada,25 to 54 years,Both sexes,Daily smoker,High 95% confidence interval (percent),v97163549,1.3.1.3.4,59.0
2012,Canada,25 to 54 years,Both sexes,Occasional smoker,Number of persons,v97163550,1.3.1.4.1,1980.0
2012,Canada,25 to 54 years,Both sexes,Occasional smoker,Percent,v97163551,1.3.1.4.2,9.2
2012,Canada,25 to 54 years,Both sexes,Occasional smoker,Low 95% confidence interval (percent),v97163552,1.3.1.4.3,7.5
2012,Canada,25 to 54 years,Both sexes,Occasional smoker,High 95% confidence interval (percent),v97163553,1.3.1.4.4,11.2
