Ref_Date,GEO,AGE,SEX,HEALTH,STATS,Vector,Coordinate,Value
2001,Canada,"Total, 6 years and over",Both sexes,Excellent perceived general health,Percent,v97099611,1.1.1.3.2,34.8
2006,Canada,"Total, 6 years and over",Both sexes,Excellent perceived general health,Percent,v97099611,1.1.1.3.2,25.5
2012,Canada,"Total, 6 years and over",Both sexes,Excellent perceived general health,Percent,v97099611,1.1.1.3.2,23.2
2001,Canada,"Total, 6 years and over",Both sexes,Excellent perceived general health,Low 95% confidence interval (percent),v97099612,1.1.1.3.3,33.1
2006,Canada,"Total, 6 years and over",Both sexes,Excellent perceived general health,Low 95% confidence interval (percent),v97099612,1.1.1.3.3,24.0
2012,Canada,"Total, 6 years and over",Both sexes,Excellent perceived general health,Low 95% confidence interval (percent),v97099612,1.1.1.3.3,21.5
2001,Canada,"Total, 6 years and over",Both sexes,Excellent perceived general health,High 95% confidence interval (percent),v97099613,1.1.1.3.4,36.7
2006,Canada,"Total, 6 years and over",Both sexes,Excellent perceived general health,High 95% confidence interval (percent),v97099613,1.1.1.3.4,27.0
2012,Canada,"Total, 6 years and over",Both sexes,Excellent perceived general health,High 95% confidence interval (percent),v97099613,1.1.1.3.4,24.9
2001,Canada,"Total, 6 years and over",Both sexes,Very good perceived general health,Number of persons,v97099614,1.1.1.4.1,10960.0
2006,Canada,"Total, 6 years and over",Both sexes,Very good perceived general health,Number of persons,v97099614,1.1.1.4.1,14330.0
2012,Canada,"Total, 6 years and over",Both sexes,Very good perceived general health,Number of persons,v97099614,1.1.1.4.1,13920.0
2001,Canada,"Total, 6 years and over",Both sexes,Very good perceived general health,Percent,v97099615,1.1.1.4.2,27.8
2006,Canada,"Total, 6 years and over",Both sexes,Very good perceived general health,Percent,v97099615,1.1.1.4.2,30.5
2012,Canada,"Total, 6 years and over",Both sexes,Very good perceived general health,Percent,v97099615,1.1.1.4.2,26.3
2001,Canada,"Total, 6 years and over",Both sexes,Very good perceived general health,Low 95% confidence interval (percent),v97099616,1.1.1.4.3,26.2
2006,Canada,"Total, 6 years and over",Both sexes,Very good perceived general health,Low 95% confidence interval (percent),v97099616,1.1.1.4.3,28.7
2012,Canada,"Total, 6 years and over",Both sexes,Very good perceived general health,Low 95% confidence interval (percent),v97099616,1.1.1.4.3,24.3
2001,Canada,"Total, 6 years and over",Both sexes,Very good perceived general health,High 95% confidence interval (percent),v97099617,1.1.1.4.4,29.3
2006,Canada,"Total, 6 years and over",Both sexes,Very good perceived general health,High 95% confidence interval (percent),v97099617,1.1.1.4.4,32.2
2012,Canada,"Total, 6 years and over",Both sexes,Very good perceived general health,High 95% confidence interval (percent),v97099617,1.1.1.4.4,28.3
2001,Canada,"Total, 6 years and over",Both sexes,Good perceived general health,Number of persons,v97099618,1.1.1.5.1,11060.0
2006,Canada,"Total, 6 years and over",Both sexes,Good perceived general health,Number of persons,v97099618,1.1.1.5.1,14080.0
2012,Canada,"Total, 6 years and over",Both sexes,Good perceived general health,Number of persons,v97099618,1.1.1.5.1,16460.0
2001,Canada,"Total, 6 years and over",Both sexes,Good perceived general health,Percent,v97099619,1.1.1.5.2,28.0
2006,Canada,"Total, 6 years and over",Both sexes,Good perceived general health,Percent,v97099619,1.1.1.5.2,29.9
2012,Canada,"Total, 6 years and over",Both sexes,Good perceived general health,Percent,v97099619,1.1.1.5.2,31.1
2001,Canada,"Total, 6 years and over",Both sexes,Good perceived general health,Low 95% confidence interval (percent),v97099620,1.1.1.5.3,26.4
2006,Canada,"Total, 6 years and over",Both sexes,Good perceived general health,Low 95% confidence interval (percent),v97099620,1.1.1.5.3,28.4
2012,Canada,"Total, 6 years and over",Both sexes,Good perceived general health,Low 95% confidence interval (percent),v97099620,1.1.1.5.3,29.1
2001,Canada,"Total, 6 years and over",Both sexes,Good perceived general health,High 95% confidence interval (percent),v97099621,1.1.1.5.4,29.7
2006,Canada,"Total, 6 years and over",Both sexes,Good perceived general health,High 95% confidence interval (percent),v97099621,1.1.1.5.4,31.5
2012,Canada,"Total, 6 years and over",Both sexes,Good perceived general health,High 95% confidence interval (percent),v97099621,1.1.1.5.4,33.1
2001,Canada,"Total, 6 years and over",Both sexes,Fair or poor perceived general health,Number of persons,v97099622,1.1.1.6.1,3650.0
2006,Canada,"Total, 6 years and over",Both sexes,Fair or poor perceived general health,Number of persons,v97099622,1.1.1.6.1,6340.0
2012,Canada,"Total, 6 years and over",Both sexes,Fair or poor perceived general health,Number of persons,v97099622,1.1.1.6.1,7290.0
2001,Canada,"Total, 6 years and over",Both sexes,Fair or poor perceived general health,Percent,v97099623,1.1.1.6.2,9.2
2006,Canada,"Total, 6 years and over",Both sexes,Fair or poor perceived general health,Percent,v97099623,1.1.1.6.2,13.5
2012,Canada,"Total, 6 years and over",Both sexes,Fair or poor perceived general health,Percent,v97099623,1.1.1.6.2,13.8
2001,Canada,"Total, 6 years and over",Both sexes,Fair or poor perceived general health,Low 95% confidence interval (percent),v97099624,1.1.1.6.3,8.2
2006,Canada,"Total, 6 years and over",Both sexes,Fair or poor perceived general health,Low 95% confidence interval (percent),v97099624,1.1.1.6.3,12.3
2012,Canada,"Total, 6 years and over",Both sexes,Fair or poor perceived general health,Low 95% confidence interval (percent),v97099624,1.1.1.6.3,12.2
2001,Canada,"Total, 6 years and over",Both sexes,Fair or poor perceived general health,High 95% confidence interval (percent),v97099625,1.1.1.6.4,10.4
2006,Canada,"Total, 6 years and over",Both sexes,Fair or poor perceived general health,High 95% confidence interval (percent),v97099625,1.1.1.6.4,14.7
2012,Canada,"Total, 6 years and over",Both sexes,Fair or poor perceived general health,High 95% confidence interval (percent),v97099625,1.1.1.6.4,15.5
2001,Canada,"Total, 6 years and over",Both sexes,Perceived general health not specified,Number of persons,v97099626,1.1.1.7.1,F
2006,Canada,"Total, 6 years and over",Both sexes,Perceived general health not specified,Number of persons,v97099626,1.1.1.7.1,320.0
2012,Canada,"Total, 6 years and over",Both sexes,Perceived general health not specified,Number of persons,v97099626,1.1.1.7.1,3040.0
2001,Canada,"Total, 6 years and over",Both sexes,Perceived general health not specified,Percent,v97099627,1.1.1.7.2,F
2006,Canada,"Total, 6 years and over",Both sexes,Perceived general health not specified,Percent,v97099627,1.1.1.7.2,0.7
2012,Canada,"Total, 6 years and over",Both sexes,Perceived general health not specified,Percent,v97099627,1.1.1.7.2,5.7
2001,Canada,"Total, 6 years and over",Both sexes,Perceived general health not specified,Low 95% confidence interval (percent),v97099628,1.1.1.7.3,F
2006,Canada,"Total, 6 years and over",Both sexes,Perceived general health not specified,Low 95% confidence interval (percent),v97099628,1.1.1.7.3,0.5
2012,Canada,"Total, 6 years and over",Both sexes,Perceived general health not specified,Low 95% confidence interval (percent),v97099628,1.1.1.7.3,4.9
2001,Canada,"Total, 6 years and over",Both sexes,Perceived general health not specified,High 95% confidence interval (percent),v97099629,1.1.1.7.4,F
2006,Canada,"Total, 6 years and over",Both sexes,Perceived general health not specified,High 95% confidence interval (percent),v97099629,1.1.1.7.4,0.9
2012,Canada,"Total, 6 years and over",Both sexes,Perceived general health not specified,High 95% confidence interval (percent),v97099629,1.1.1.7.4,6.8
2001,Canada,"Total, 6 years and over",Male,"Total, perceived general health",Number of persons,v97099630,1.1.2.1.1,19450.0
2006,Canada,"Total, 6 years and over",Male,"Total, perceived general health",Number of persons,v97099630,1.1.2.1.1,23350.0
2012,Canada,"Total, 6 years and over",Male,"Total, perceived general health",Number of persons,v97099630,1.1.2.1.1,25180.0
2001,Canada,"Total, 6 years and over",Male,"Total, perceived general health",Percent,v97099631,1.1.2.1.2,100.0
2006,Canada,"Total, 6 years and over",Male,"Total, perceived general health",Percent,v97099631,1.1.2.1.2,100.0
2012,Canada,"Total, 6 years and over",Male,"Total, perceived general health",Percent,v97099631,1.1.2.1.2,100.0
2001,Canada,"Total, 6 years and over",Male,"Total, perceived general health",Low 95% confidence interval (percent),v97099632,1.1.2.1.3,100.0
2006,Canada,"Total, 6 years and over",Male,"Total, perceived general health",Low 95% confidence interval (percent),v97099632,1.1.2.1.3,100.0
2012,Canada,"Total, 6 years and over",Male,"Total, perceived general health",Low 95% confidence interval (percent),v97099632,1.1.2.1.3,100.0
2001,Canada,"Total, 6 years and over",Male,"Total, perceived general health",High 95% confidence interval (percent),v97099633,1.1.2.1.4,100.0
2006,Canada,"Total, 6 years and over",Male,"Total, perceived general health",High 95% confidence interval (percent),v97099633,1.1.2.1.4,100.0
2012,Canada,"Total, 6 years and over",Male,"Total, perceived general health",High 95% confidence interval (percent),v97099633,1.1.2.1.4,100.0
2001,Canada,"Total, 6 years and over",Male,Excellent or very good perceived general health,Number of persons,v97099634,1.1.2.2.1,12520.0
2006,Canada,"Total, 6 years and over",Male,Excellent or very good perceived general health,Number of persons,v97099634,1.1.2.2.1,13620.0
2012,Canada,"Total, 6 years and over",Male,Excellent or very good perceived general health,Number of persons,v97099634,1.1.2.2.1,13090.0
2001,Canada,"Total, 6 years and over",Male,Excellent or very good perceived general health,Percent,v97099635,1.1.2.2.2,64.4
2006,Canada,"Total, 6 years and over",Male,Excellent or very good perceived general health,Percent,v97099635,1.1.2.2.2,58.3
2012,Canada,"Total, 6 years and over",Male,Excellent or very good perceived general health,Percent,v97099635,1.1.2.2.2,52.0
2001,Canada,"Total, 6 years and over",Male,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97099636,1.1.2.2.3,62.2
2006,Canada,"Total, 6 years and over",Male,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97099636,1.1.2.2.3,55.9
2012,Canada,"Total, 6 years and over",Male,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97099636,1.1.2.2.3,48.9
2001,Canada,"Total, 6 years and over",Male,Excellent or very good perceived general health,High 95% confidence interval (percent),v97099637,1.1.2.2.4,66.5
2006,Canada,"Total, 6 years and over",Male,Excellent or very good perceived general health,High 95% confidence interval (percent),v97099637,1.1.2.2.4,60.7
2012,Canada,"Total, 6 years and over",Male,Excellent or very good perceived general health,High 95% confidence interval (percent),v97099637,1.1.2.2.4,55.1
2001,Canada,"Total, 6 years and over",Male,Excellent perceived general health,Number of persons,v97099638,1.1.2.3.1,6990.0
2006,Canada,"Total, 6 years and over",Male,Excellent perceived general health,Number of persons,v97099638,1.1.2.3.1,6170.0
2012,Canada,"Total, 6 years and over",Male,Excellent perceived general health,Number of persons,v97099638,1.1.2.3.1,6320.0
2001,Canada,"Total, 6 years and over",Male,Excellent perceived general health,Percent,v97099639,1.1.2.3.2,35.9
2006,Canada,"Total, 6 years and over",Male,Excellent perceived general health,Percent,v97099639,1.1.2.3.2,26.4
2012,Canada,"Total, 6 years and over",Male,Excellent perceived general health,Percent,v97099639,1.1.2.3.2,25.1
2001,Canada,"Total, 6 years and over",Male,Excellent perceived general health,Low 95% confidence interval (percent),v97099640,1.1.2.3.3,33.5
2006,Canada,"Total, 6 years and over",Male,Excellent perceived general health,Low 95% confidence interval (percent),v97099640,1.1.2.3.3,24.4
2012,Canada,"Total, 6 years and over",Male,Excellent perceived general health,Low 95% confidence interval (percent),v97099640,1.1.2.3.3,22.8
2001,Canada,"Total, 6 years and over",Male,Excellent perceived general health,High 95% confidence interval (percent),v97099641,1.1.2.3.4,38.5
2006,Canada,"Total, 6 years and over",Male,Excellent perceived general health,High 95% confidence interval (percent),v97099641,1.1.2.3.4,28.5
2012,Canada,"Total, 6 years and over",Male,Excellent perceived general health,High 95% confidence interval (percent),v97099641,1.1.2.3.4,27.5
2001,Canada,"Total, 6 years and over",Male,Very good perceived general health,Number of persons,v97099642,1.1.2.4.1,5530.0
2006,Canada,"Total, 6 years and over",Male,Very good perceived general health,Number of persons,v97099642,1.1.2.4.1,7450.0
2012,Canada,"Total, 6 years and over",Male,Very good perceived general health,Number of persons,v97099642,1.1.2.4.1,6770.0
2001,Canada,"Total, 6 years and over",Male,Very good perceived general health,Percent,v97099643,1.1.2.4.2,28.4
2006,Canada,"Total, 6 years and over",Male,Very good perceived general health,Percent,v97099643,1.1.2.4.2,31.9
2012,Canada,"Total, 6 years and over",Male,Very good perceived general health,Percent,v97099643,1.1.2.4.2,26.9
2001,Canada,"Total, 6 years and over",Male,Very good perceived general health,Low 95% confidence interval (percent),v97099644,1.1.2.4.3,26.3
2006,Canada,"Total, 6 years and over",Male,Very good perceived general health,Low 95% confidence interval (percent),v97099644,1.1.2.4.3,29.5
2012,Canada,"Total, 6 years and over",Male,Very good perceived general health,Low 95% confidence interval (percent),v97099644,1.1.2.4.3,24.2
2001,Canada,"Total, 6 years and over",Male,Very good perceived general health,High 95% confidence interval (percent),v97099645,1.1.2.4.4,30.7
2006,Canada,"Total, 6 years and over",Male,Very good perceived general health,High 95% confidence interval (percent),v97099645,1.1.2.4.4,34.3
2012,Canada,"Total, 6 years and over",Male,Very good perceived general health,High 95% confidence interval (percent),v97099645,1.1.2.4.4,29.8
2001,Canada,"Total, 6 years and over",Male,Good perceived general health,Number of persons,v97099646,1.1.2.5.1,5240.0
2006,Canada,"Total, 6 years and over",Male,Good perceived general health,Number of persons,v97099646,1.1.2.5.1,6550.0
2012,Canada,"Total, 6 years and over",Male,Good perceived general health,Number of persons,v97099646,1.1.2.5.1,7580.0
2001,Canada,"Total, 6 years and over",Male,Good perceived general health,Percent,v97099647,1.1.2.5.2,26.9
2006,Canada,"Total, 6 years and over",Male,Good perceived general health,Percent,v97099647,1.1.2.5.2,28.1
2012,Canada,"Total, 6 years and over",Male,Good perceived general health,Percent,v97099647,1.1.2.5.2,30.1
2001,Canada,"Total, 6 years and over",Male,Good perceived general health,Low 95% confidence interval (percent),v97099648,1.1.2.5.3,25.1
2006,Canada,"Total, 6 years and over",Male,Good perceived general health,Low 95% confidence interval (percent),v97099648,1.1.2.5.3,25.9
2012,Canada,"Total, 6 years and over",Male,Good perceived general health,Low 95% confidence interval (percent),v97099648,1.1.2.5.3,27.2
2001,Canada,"Total, 6 years and over",Male,Good perceived general health,High 95% confidence interval (percent),v97099649,1.1.2.5.4,28.9
2006,Canada,"Total, 6 years and over",Male,Good perceived general health,High 95% confidence interval (percent),v97099649,1.1.2.5.4,30.3
2012,Canada,"Total, 6 years and over",Male,Good perceived general health,High 95% confidence interval (percent),v97099649,1.1.2.5.4,33.1
2001,Canada,"Total, 6 years and over",Male,Fair or poor perceived general health,Number of persons,v97099650,1.1.2.6.1,1650.0
2006,Canada,"Total, 6 years and over",Male,Fair or poor perceived general health,Number of persons,v97099650,1.1.2.6.1,3030.0
2012,Canada,"Total, 6 years and over",Male,Fair or poor perceived general health,Number of persons,v97099650,1.1.2.6.1,3210.0
2001,Canada,"Total, 6 years and over",Male,Fair or poor perceived general health,Percent,v97099651,1.1.2.6.2,8.5
2006,Canada,"Total, 6 years and over",Male,Fair or poor perceived general health,Percent,v97099651,1.1.2.6.2,13.0
2012,Canada,"Total, 6 years and over",Male,Fair or poor perceived general health,Percent,v97099651,1.1.2.6.2,12.7
2001,Canada,"Total, 6 years and over",Male,Fair or poor perceived general health,Low 95% confidence interval (percent),v97099652,1.1.2.6.3,7.2
2006,Canada,"Total, 6 years and over",Male,Fair or poor perceived general health,Low 95% confidence interval (percent),v97099652,1.1.2.6.3,11.3
2012,Canada,"Total, 6 years and over",Male,Fair or poor perceived general health,Low 95% confidence interval (percent),v97099652,1.1.2.6.3,10.8
2001,Canada,"Total, 6 years and over",Male,Fair or poor perceived general health,High 95% confidence interval (percent),v97099653,1.1.2.6.4,9.9
2006,Canada,"Total, 6 years and over",Male,Fair or poor perceived general health,High 95% confidence interval (percent),v97099653,1.1.2.6.4,14.8
2012,Canada,"Total, 6 years and over",Male,Fair or poor perceived general health,High 95% confidence interval (percent),v97099653,1.1.2.6.4,14.9
2001,Canada,"Total, 6 years and over",Male,Perceived general health not specified,Number of persons,v97099654,1.1.2.7.1,F
2006,Canada,"Total, 6 years and over",Male,Perceived general health not specified,Number of persons,v97099654,1.1.2.7.1,160.0
2012,Canada,"Total, 6 years and over",Male,Perceived general health not specified,Number of persons,v97099654,1.1.2.7.1,1300.0
2001,Canada,"Total, 6 years and over",Male,Perceived general health not specified,Percent,v97099655,1.1.2.7.2,F
2006,Canada,"Total, 6 years and over",Male,Perceived general health not specified,Percent,v97099655,1.1.2.7.2,0.7
2012,Canada,"Total, 6 years and over",Male,Perceived general health not specified,Percent,v97099655,1.1.2.7.2,5.2
2001,Canada,"Total, 6 years and over",Male,Perceived general health not specified,Low 95% confidence interval (percent),v97099656,1.1.2.7.3,F
2006,Canada,"Total, 6 years and over",Male,Perceived general health not specified,Low 95% confidence interval (percent),v97099656,1.1.2.7.3,0.4
2012,Canada,"Total, 6 years and over",Male,Perceived general health not specified,Low 95% confidence interval (percent),v97099656,1.1.2.7.3,4.1
2001,Canada,"Total, 6 years and over",Male,Perceived general health not specified,High 95% confidence interval (percent),v97099657,1.1.2.7.4,F
2006,Canada,"Total, 6 years and over",Male,Perceived general health not specified,High 95% confidence interval (percent),v97099657,1.1.2.7.4,1.0
2012,Canada,"Total, 6 years and over",Male,Perceived general health not specified,High 95% confidence interval (percent),v97099657,1.1.2.7.4,6.5
2001,Canada,"Total, 6 years and over",Female,"Total, perceived general health",Number of persons,v97099658,1.1.3.1.1,20040.0
2006,Canada,"Total, 6 years and over",Female,"Total, perceived general health",Number of persons,v97099658,1.1.3.1.1,23710.0
2012,Canada,"Total, 6 years and over",Female,"Total, perceived general health",Number of persons,v97099658,1.1.3.1.1,27800.0
2001,Canada,"Total, 6 years and over",Female,"Total, perceived general health",Percent,v97099659,1.1.3.1.2,100.0
2006,Canada,"Total, 6 years and over",Female,"Total, perceived general health",Percent,v97099659,1.1.3.1.2,100.0
2012,Canada,"Total, 6 years and over",Female,"Total, perceived general health",Percent,v97099659,1.1.3.1.2,100.0
2001,Canada,"Total, 6 years and over",Female,"Total, perceived general health",Low 95% confidence interval (percent),v97099660,1.1.3.1.3,100.0
2006,Canada,"Total, 6 years and over",Female,"Total, perceived general health",Low 95% confidence interval (percent),v97099660,1.1.3.1.3,100.0
2012,Canada,"Total, 6 years and over",Female,"Total, perceived general health",Low 95% confidence interval (percent),v97099660,1.1.3.1.3,100.0
2001,Canada,"Total, 6 years and over",Female,"Total, perceived general health",High 95% confidence interval (percent),v97099661,1.1.3.1.4,100.0
2006,Canada,"Total, 6 years and over",Female,"Total, perceived general health",High 95% confidence interval (percent),v97099661,1.1.3.1.4,100.0
2012,Canada,"Total, 6 years and over",Female,"Total, perceived general health",High 95% confidence interval (percent),v97099661,1.1.3.1.4,100.0
2001,Canada,"Total, 6 years and over",Female,Excellent or very good perceived general health,Number of persons,v97099662,1.1.3.2.1,12210.0
2006,Canada,"Total, 6 years and over",Female,Excellent or very good perceived general health,Number of persons,v97099662,1.1.3.2.1,12710.0
2012,Canada,"Total, 6 years and over",Female,Excellent or very good perceived general health,Number of persons,v97099662,1.1.3.2.1,13100.0
2001,Canada,"Total, 6 years and over",Female,Excellent or very good perceived general health,Percent,v97099663,1.1.3.2.2,60.9
2006,Canada,"Total, 6 years and over",Female,Excellent or very good perceived general health,Percent,v97099663,1.1.3.2.2,53.6
2012,Canada,"Total, 6 years and over",Female,Excellent or very good perceived general health,Percent,v97099663,1.1.3.2.2,47.1
2001,Canada,"Total, 6 years and over",Female,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97099664,1.1.3.2.3,58.2
2006,Canada,"Total, 6 years and over",Female,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97099664,1.1.3.2.3,51.0
2012,Canada,"Total, 6 years and over",Female,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97099664,1.1.3.2.3,44.3
2001,Canada,"Total, 6 years and over",Female,Excellent or very good perceived general health,High 95% confidence interval (percent),v97099665,1.1.3.2.4,63.6
2006,Canada,"Total, 6 years and over",Female,Excellent or very good perceived general health,High 95% confidence interval (percent),v97099665,1.1.3.2.4,56.2
2012,Canada,"Total, 6 years and over",Female,Excellent or very good perceived general health,High 95% confidence interval (percent),v97099665,1.1.3.2.4,49.9
2001,Canada,"Total, 6 years and over",Female,Excellent perceived general health,Number of persons,v97099666,1.1.3.3.1,6770.0
2006,Canada,"Total, 6 years and over",Female,Excellent perceived general health,Number of persons,v97099666,1.1.3.3.1,5820.0
2012,Canada,"Total, 6 years and over",Female,Excellent perceived general health,Number of persons,v97099666,1.1.3.3.1,5950.0
2001,Canada,"Total, 6 years and over",Female,Excellent perceived general health,Percent,v97099667,1.1.3.3.2,33.8
2006,Canada,"Total, 6 years and over",Female,Excellent perceived general health,Percent,v97099667,1.1.3.3.2,24.5
2012,Canada,"Total, 6 years and over",Female,Excellent perceived general health,Percent,v97099667,1.1.3.3.2,21.4
2001,Canada,"Total, 6 years and over",Female,Excellent perceived general health,Low 95% confidence interval (percent),v97099668,1.1.3.3.3,31.4
2006,Canada,"Total, 6 years and over",Female,Excellent perceived general health,Low 95% confidence interval (percent),v97099668,1.1.3.3.3,22.4
2012,Canada,"Total, 6 years and over",Female,Excellent perceived general health,Low 95% confidence interval (percent),v97099668,1.1.3.3.3,19.2
2001,Canada,"Total, 6 years and over",Female,Excellent perceived general health,High 95% confidence interval (percent),v97099669,1.1.3.3.4,36.3
2006,Canada,"Total, 6 years and over",Female,Excellent perceived general health,High 95% confidence interval (percent),v97099669,1.1.3.3.4,26.8
2012,Canada,"Total, 6 years and over",Female,Excellent perceived general health,High 95% confidence interval (percent),v97099669,1.1.3.3.4,23.8
2001,Canada,"Total, 6 years and over",Female,Very good perceived general health,Number of persons,v97099670,1.1.3.4.1,5440.0
2006,Canada,"Total, 6 years and over",Female,Very good perceived general health,Number of persons,v97099670,1.1.3.4.1,6880.0
2012,Canada,"Total, 6 years and over",Female,Very good perceived general health,Number of persons,v97099670,1.1.3.4.1,7140.0
2001,Canada,"Total, 6 years and over",Female,Very good perceived general health,Percent,v97099671,1.1.3.4.2,27.1
2006,Canada,"Total, 6 years and over",Female,Very good perceived general health,Percent,v97099671,1.1.3.4.2,29.0
2012,Canada,"Total, 6 years and over",Female,Very good perceived general health,Percent,v97099671,1.1.3.4.2,25.7
2001,Canada,"Total, 6 years and over",Female,Very good perceived general health,Low 95% confidence interval (percent),v97099672,1.1.3.4.3,25.0
2006,Canada,"Total, 6 years and over",Female,Very good perceived general health,Low 95% confidence interval (percent),v97099672,1.1.3.4.3,26.5
2012,Canada,"Total, 6 years and over",Female,Very good perceived general health,Low 95% confidence interval (percent),v97099672,1.1.3.4.3,23.1
2001,Canada,"Total, 6 years and over",Female,Very good perceived general health,High 95% confidence interval (percent),v97099673,1.1.3.4.4,29.3
2006,Canada,"Total, 6 years and over",Female,Very good perceived general health,High 95% confidence interval (percent),v97099673,1.1.3.4.4,31.7
2012,Canada,"Total, 6 years and over",Female,Very good perceived general health,High 95% confidence interval (percent),v97099673,1.1.3.4.4,28.5
2001,Canada,"Total, 6 years and over",Female,Good perceived general health,Number of persons,v97099674,1.1.3.5.1,5820.0
2006,Canada,"Total, 6 years and over",Female,Good perceived general health,Number of persons,v97099674,1.1.3.5.1,7540.0
2012,Canada,"Total, 6 years and over",Female,Good perceived general health,Number of persons,v97099674,1.1.3.5.1,8880.0
2001,Canada,"Total, 6 years and over",Female,Good perceived general health,Percent,v97099675,1.1.3.5.2,29.0
2006,Canada,"Total, 6 years and over",Female,Good perceived general health,Percent,v97099675,1.1.3.5.2,31.8
2012,Canada,"Total, 6 years and over",Female,Good perceived general health,Percent,v97099675,1.1.3.5.2,31.9
2001,Canada,"Total, 6 years and over",Female,Good perceived general health,Low 95% confidence interval (percent),v97099676,1.1.3.5.3,26.4
2006,Canada,"Total, 6 years and over",Female,Good perceived general health,Low 95% confidence interval (percent),v97099676,1.1.3.5.3,29.6
2012,Canada,"Total, 6 years and over",Female,Good perceived general health,Low 95% confidence interval (percent),v97099676,1.1.3.5.3,29.3
2001,Canada,"Total, 6 years and over",Female,Good perceived general health,High 95% confidence interval (percent),v97099677,1.1.3.5.4,31.9
2006,Canada,"Total, 6 years and over",Female,Good perceived general health,High 95% confidence interval (percent),v97099677,1.1.3.5.4,34.1
2012,Canada,"Total, 6 years and over",Female,Good perceived general health,High 95% confidence interval (percent),v97099677,1.1.3.5.4,34.7
2001,Canada,"Total, 6 years and over",Female,Fair or poor perceived general health,Number of persons,v97099678,1.1.3.6.1,2000.0
