Ref_Date,GEO,VEGETABLE,HOLDING,Vector,Coordinate,Value
1975/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,44062.0
1975/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,38760.0
1975/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,35677.0
1975/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,31864.0
1975/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,42217.0
1975/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,59788.0
1975/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,70686.0
1975/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,74818.0
1975/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,73498.0
1976/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,69970.0
1976/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,64950.0
1976/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,59489.0
1976/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,54875.0
1976/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,49068.0
1976/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,44245.0
1976/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,41819.0
1976/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,47881.0
1976/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,63234.0
1976/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,70485.0
1976/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,75628.0
1976/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,71449.0
1977/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,68459.0
1977/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,59740.0
1977/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,53277.0
1977/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,46158.0
1977/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,38691.0
1977/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,31823.0
1977/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,29324.0
1977/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,41055.0
1977/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,62518.0
1977/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,76638.0
1977/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,77495.0
1977/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,73213.0
1978/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,66972.0
1978/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,59570.0
1978/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,51450.0
1978/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,41922.0
1978/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,35451.0
1978/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,28571.0
1978/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,24777.0
1978/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,37164.0
1978/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,63610.0
1978/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,76321.0
1978/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,81072.0
1978/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,78521.0
1979/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,73541.0
1979/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,64814.0
1979/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,55720.0
1979/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,49149.0
1979/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,40800.0
1979/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,34680.0
1979/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,30656.0
1979/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,44638.0
1979/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,68962.0
1979/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,85951.0
1979/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,92448.0
1979/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,93088.0
1980/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,89459.0
1980/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,80040.0
1980/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,70467.0
1980/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,65036.0
1980/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,55823.0
1980/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,48959.0
1980/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,42090.0
1980/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,52200.0
1980/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,70317.0
1980/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,82907.0
1980/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,85764.0
1980/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,79411.0
1981/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,72316.0
1981/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,66581.0
1981/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,57756.0
1981/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,51180.0
1981/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,37249.0
1981/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,31932.0
1981/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,29253.0
1981/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,40403.0
1981/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,60988.0
1981/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,79998.0
1981/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,74018.0
1981/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,71680.0
1982/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,63724.0
1982/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,56772.0
1982/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,49446.0
1982/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,44262.0
1982/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,37587.0
1982/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,30994.0
1982/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,26697.0
1982/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,44111.0
1982/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,66638.0
1982/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,80479.0
1982/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,91879.0
1982/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,90723.0
1983/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,77847.0
1983/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,80551.0
1983/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,73585.0
1983/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,70424.0
1983/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,60631.0
1983/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,51645.0
1983/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,43578.0
1983/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,49742.0
1983/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,75654.0
1983/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,89202.0
1983/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,96223.0
1983/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,92049.0
1984/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,83449.0
1984/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,76913.0
1984/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,66184.0
1984/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,58334.0
1984/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,52955.0
1984/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,44887.0
1984/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,41573.0
1984/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,45738.0
1984/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,70686.0
1984/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,80982.0
1984/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,93485.0
1984/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,90047.0
1985/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,84441.0
1985/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,77252.0
1985/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,69311.0
1985/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,60235.0
1985/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,51632.0
1985/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,44465.0
1985/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,39093.0
1985/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,52688.0
1985/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,71450.0
1985/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,83125.0
1985/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,87708.0
1985/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,85932.0
1986/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,88381.0
1986/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,83094.0
1986/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,73453.0
1986/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,65553.0
1986/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,63155.0
1986/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,50831.0
1986/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,52976.0
1986/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,61762.0
1986/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,65875.0
1986/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,87677.0
1986/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,88305.0
1986/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,85354.0
1970/01,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,40905.0
1970/02,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,37334.0
1970/03,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,32605.0
1970/04,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,28498.0
1970/05,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,25032.0
1970/06,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,22001.0
1970/07,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,22271.0
1970/08,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,29565.0
1970/09,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,43117.0
1970/10,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,51456.0
1970/11,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,52283.0
1970/12,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,49056.0
1971/01,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,45171.0
1971/02,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,40600.0
1971/03,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,35753.0
1971/04,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,31270.0
1971/05,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,27309.0
1971/06,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,23144.0
1971/07,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,22417.0
1971/08,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,26540.0
1971/09,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,36015.0
1971/10,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,43608.0
1971/11,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,47678.0
1971/12,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,43607.0
1972/01,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,39721.0
1972/02,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,34020.0
1972/03,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,30063.0
1972/04,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,25736.0
1972/05,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,22132.0
1972/06,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,17888.0
1972/07,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,15355.0
1972/08,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,20830.0
1972/09,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,33582.0
1972/10,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,40290.0
1972/11,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,47878.0
1972/12,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,43638.0
1973/01,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,40498.0
1973/02,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,33735.0
1973/03,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,29926.0
1973/04,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,24498.0
1973/05,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,19316.0
1973/06,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,15433.0
1973/07,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,13840.0
1973/08,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,23728.0
1973/09,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,36973.0
1973/10,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,46562.0
1973/11,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,50245.0
1973/12,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,49888.0
1974/01,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,44953.0
1974/02,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,40426.0
1974/03,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,36250.0
1974/04,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,31849.0
1974/05,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,26270.0
1974/06,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,24386.0
1974/07,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,21347.0
1974/08,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,28908.0
1974/09,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,42769.0
1974/10,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,54732.0
1974/11,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,57931.0
1974/12,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,56255.0
1975/01,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,53577.0
1975/02,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,50299.0
1975/03,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,47181.0
1975/04,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,41686.0
1975/05,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,36697.0
1975/06,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,34083.0
1975/07,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,30710.0
1975/08,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,40250.0
1975/09,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,57283.0
1975/10,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,64583.0
1975/11,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,68900.0
1975/12,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,68105.0
1976/01,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,64868.0
1976/02,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,59143.0
1976/03,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,54163.0
1976/04,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,49962.0
1976/05,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,45239.0
1976/06,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,40883.0
1976/07,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,38953.0
1976/08,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,44730.0
1976/09,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,59361.0
1976/10,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,64392.0
1976/11,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,69724.0
1976/12,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,65947.0
1977/01,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,63199.0
1977/02,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,54847.0
1977/03,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,48715.0
1977/04,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,42099.0
1977/05,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,35088.0
1977/06,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,28868.0
1977/07,Canada,"Total, frozen vegetables",Frozen vegetables held in storages and factories,v722383,1.2.1,27042.0
