Ref_Date,GEO,NAICS,MOS,Vector,Coordinate,Value
2014,Canada,General merchandise stores,Distribution of E-commerce (percent),v101269625,1.11.4,3.0
2012,Canada,Miscellaneous store retailers,"Total sales (x 1,000)",v101269626,1.12.1,12393438.0
2013,Canada,Miscellaneous store retailers,"Total sales (x 1,000)",v101269626,1.12.1,12878322.0
2014,Canada,Miscellaneous store retailers,"Total sales (x 1,000)",v101269626,1.12.1,13127696.0
2012,Canada,Miscellaneous store retailers,"E-commerce sales (x 1,000)",v101269627,1.12.2,279795.0
2013,Canada,Miscellaneous store retailers,"E-commerce sales (x 1,000)",v101269627,1.12.2,282588.0
2014,Canada,Miscellaneous store retailers,"E-commerce sales (x 1,000)",v101269627,1.12.2,306359.0
2012,Canada,Miscellaneous store retailers,E-commerce as percentage of total sales,v101269628,1.12.3,2.3
2013,Canada,Miscellaneous store retailers,E-commerce as percentage of total sales,v101269628,1.12.3,2.2
2014,Canada,Miscellaneous store retailers,E-commerce as percentage of total sales,v101269628,1.12.3,2.3
2012,Canada,Miscellaneous store retailers,Distribution of E-commerce (percent),v101269629,1.12.4,3.4
2013,Canada,Miscellaneous store retailers,Distribution of E-commerce (percent),v101269629,1.12.4,2.9
2014,Canada,Miscellaneous store retailers,Distribution of E-commerce (percent),v101269629,1.12.4,2.5
2012,Canada,Non-store retailers,"Total sales (x 1,000)",v101269630,1.13.1,17346818.0
2013,Canada,Non-store retailers,"Total sales (x 1,000)",v101269630,1.13.1,19764666.0
2014,Canada,Non-store retailers,"Total sales (x 1,000)",v101269630,1.13.1,23453775.0
2012,Canada,Non-store retailers,"E-commerce sales (x 1,000)",v101269631,1.13.2,3676375.0
2013,Canada,Non-store retailers,"E-commerce sales (x 1,000)",v101269631,1.13.2,4928443.0
2014,Canada,Non-store retailers,"E-commerce sales (x 1,000)",v101269631,1.13.2,6670311.0
2012,Canada,Non-store retailers,E-commerce as percentage of total sales,v101269632,1.13.3,21.2
2013,Canada,Non-store retailers,E-commerce as percentage of total sales,v101269632,1.13.3,24.9
2014,Canada,Non-store retailers,E-commerce as percentage of total sales,v101269632,1.13.3,28.4
2012,Canada,Non-store retailers,Distribution of E-commerce (percent),v101269633,1.13.4,44.5
2013,Canada,Non-store retailers,Distribution of E-commerce (percent),v101269633,1.13.4,50.5
2014,Canada,Non-store retailers,Distribution of E-commerce (percent),v101269633,1.13.4,55.3
2012,Canada,Electronic shopping and mail-order houses,"Total sales (x 1,000)",v101269634,1.14.1,5426318.0
2013,Canada,Electronic shopping and mail-order houses,"Total sales (x 1,000)",v101269634,1.14.1,6763230.0
2014,Canada,Electronic shopping and mail-order houses,"Total sales (x 1,000)",v101269634,1.14.1,8506667.0
2012,Canada,Electronic shopping and mail-order houses,"E-commerce sales (x 1,000)",v101269635,1.14.2,x
2013,Canada,Electronic shopping and mail-order houses,"E-commerce sales (x 1,000)",v101269635,1.14.2,x
2014,Canada,Electronic shopping and mail-order houses,"E-commerce sales (x 1,000)",v101269635,1.14.2,x
2012,Canada,Electronic shopping and mail-order houses,E-commerce as percentage of total sales,v101269636,1.14.3,x
2013,Canada,Electronic shopping and mail-order houses,E-commerce as percentage of total sales,v101269636,1.14.3,x
2014,Canada,Electronic shopping and mail-order houses,E-commerce as percentage of total sales,v101269636,1.14.3,x
2012,Canada,Electronic shopping and mail-order houses,Distribution of E-commerce (percent),v101269637,1.14.4,x
2013,Canada,Electronic shopping and mail-order houses,Distribution of E-commerce (percent),v101269637,1.14.4,x
2014,Canada,Electronic shopping and mail-order houses,Distribution of E-commerce (percent),v101269637,1.14.4,x
