Ref_Date,GEO,SUP,TYP,Vector,Coordinate,Value
1994,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,27702.0
1995,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,24573.1
1996,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,30047.1
1997,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,27523.0
1998,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,23369.3
1999,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,28111.6
2000,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,26801.2
2001,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,24459.0
2002,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,17497.2
2003,Canada,"Supplies, total","Wheat, excluding durum (x 1,000)",v383374,1.1.7,23395.2
1976,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,4367.2
1977,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,3605.7
1978,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,4056.0
1979,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,4135.5
1980,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,3778.9
1981,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,4141.6
1982,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,4354.1
1983,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,3794.0
1984,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,2873.7
1985,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,2483.6
1986,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,4432.5
1987,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,5633.8
1988,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,3533.6
1989,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,4985.6
1990,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,5558.9
1991,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,6152.4
1992,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,5344.2
1993,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,5423.2
1994,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,6337.8
1995,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,6116.1
1996,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,6599.7
1997,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,5854.9
1998,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,6801.8
1999,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,6287.6
2000,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,7493.7
2001,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,5934.5
2002,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,5427.4
2003,Canada,"Supplies, total","Durum wheat (x 1,000)",v382886,1.1.9,5899.5
1971,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,7573.9
1972,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,6488.5
1973,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,6412.1
1974,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,5200.6
1975,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,5612.1
1976,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,6062.1
1977,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,5610.9
1978,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,5266.2
1979,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,4413.6
1980,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3835.5
1981,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3959.8
1982,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,4492.2
1983,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3943.2
1984,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3272.1
1985,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3354.5
1986,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3994.2
1987,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3989.3
1988,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3909.0
1989,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3958.6
1990,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3630.5
1991,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,2741.4
1992,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3373.8
1993,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,4247.6
1994,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,4552.4
1995,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3617.6
1996,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,4779.0
1997,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,4299.3
1998,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,4806.8
1999,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,4733.2
2000,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,4533.3
2001,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3598.0
2002,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,3294.4
2003,Canada,"Supplies, total","Oats (x 1,000)",v383245,1.1.3,4233.8
1971,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,16239.6
1972,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,15112.5
1973,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,14420.6
1974,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,13328.0
1975,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,13614.3
1976,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,13276.9
1977,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,15019.9
1978,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,15605.5
1979,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,13393.3
1980,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,13409.8
1981,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,16928.9
1982,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,18096.9
1983,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,15337.8
1984,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,12333.4
1985,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,14549.0
1986,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,17877.4
1987,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,17074.3
1988,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,14121.8
1989,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,14574.4
1990,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,15498.2
1991,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,14264.9
1992,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,13648.5
1993,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,16245.4
1994,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,15075.6
1995,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,14862.9
1996,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,17320.8
1997,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,16480.9
1998,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,15223.1
1999,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,15966.1
2000,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,16106.3
2001,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,13473.2
2002,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,9646.2
2003,Canada,"Supplies, total","Barley (x 1,000)",v383272,1.1.4,13837.9
1971,Canada,"Supplies, total",Rye,v383299,1.1.1,8853.0
1972,Canada,"Supplies, total",Rye,v383299,1.1.1,7417.0
1973,Canada,"Supplies, total",Rye,v383299,1.1.1,6310.0
1974,Canada,"Supplies, total",Rye,v383299,1.1.1,7712.0
1975,Canada,"Supplies, total",Rye,v383299,1.1.1,8973.0
1976,Canada,"Supplies, total",Rye,v383299,1.1.1,7504.0
1977,Canada,"Supplies, total",Rye,v383299,1.1.1,7487.0
1978,Canada,"Supplies, total",Rye,v383299,1.1.1,8805.0
1979,Canada,"Supplies, total",Rye,v383299,1.1.1,10316.0
1980,Canada,"Supplies, total",Rye,v383299,1.1.1,8913.0
1981,Canada,"Supplies, total",Rye,v383299,1.1.1,11494.0
1982,Canada,"Supplies, total",Rye,v383299,1.1.1,12619.0
1983,Canada,"Supplies, total",Rye,v383299,1.1.1,14737.0
1984,Canada,"Supplies, total",Rye,v383299,1.1.1,10833.0
1985,Canada,"Supplies, total",Rye,v383299,1.1.1,9466.0
1986,Canada,"Supplies, total",Rye,v383299,1.1.1,8172.0
1987,Canada,"Supplies, total",Rye,v383299,1.1.1,8022.0
1988,Canada,"Supplies, total",Rye,v383299,1.1.1,6108.0
1989,Canada,"Supplies, total",Rye,v383299,1.1.1,10275.0
1990,Canada,"Supplies, total",Rye,v383299,1.1.1,9771.0
1991,Canada,"Supplies, total",Rye,v383299,1.1.1,6627.0
1992,Canada,"Supplies, total",Rye,v383299,1.1.1,4742.0
1993,Canada,"Supplies, total",Rye,v383299,1.1.1,3997.0
1994,Canada,"Supplies, total",Rye,v383299,1.1.1,5118.0
1995,Canada,"Supplies, total",Rye,v383299,1.1.1,3947.0
1996,Canada,"Supplies, total",Rye,v383299,1.1.1,3525.0
1997,Canada,"Supplies, total",Rye,v383299,1.1.1,3722.0
1998,Canada,"Supplies, total",Rye,v383299,1.1.1,4716.0
1999,Canada,"Supplies, total",Rye,v383299,1.1.1,5570.0
2000,Canada,"Supplies, total",Rye,v383299,1.1.1,4260.0
2001,Canada,"Supplies, total",Rye,v383299,1.1.1,3200.0
1971,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1210.3
1972,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,847.2
1973,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,687.9
1974,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,551.9
1975,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,663.2
1976,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,657.5
1977,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,864.5
1978,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1042.3
1979,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1207.2
1980,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1029.5
1981,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,811.4
1982,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1011.3
1983,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,908.8
1984,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,848.9
1985,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1041.1
1986,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1262.4
1987,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1148.0
1988,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,724.9
1989,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,659.6
1990,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,943.4
1991,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,993.1
1992,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,771.8
1993,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,877.7
1994,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1122.1
1995,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1207.0
1996,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1042.0
1997,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1134.6
1998,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1127.4
1999,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1175.2
2000,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,1090.0
2001,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,998.3
2002,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,881.3
2003,Canada,"Supplies, total","Flaxseed (x 1,000)",v383326,1.1.5,903.0
1971,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,2416.1
1972,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,2296.1
1973,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,1692.8
1974,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,1455.8
1975,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,2239.2
1976,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,1885.5
1977,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,2172.3
1978,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,3827.2
1979,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,4484.5
1980,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,3961.3
1981,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,3176.6
1982,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,2913.0
1983,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,3085.5
1984,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,3537.9
1985,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,3969.0
1986,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,4674.9
1987,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,4347.6
1988,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,4866.9
1989,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,4330.2
1990,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,4034.0
1991,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,4664.4
1992,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,4718.7
1993,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,6240.0
1994,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,7604.0
1995,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,7120.6
1996,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,6196.2
1997,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,7096.6
1998,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,8164.4
1999,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,9555.5
2000,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,9586.7
2001,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,6331.3
2002,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,5846.7
2003,Canada,"Supplies, total","Canola (rapeseed) (x 1,000)",v383350,1.1.6,7908.0
1978,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,916.0
1979,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1139.0
1980,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1204.1
1981,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1166.7
1982,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1355.8
1983,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1156.0
1984,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1272.6
1985,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1404.4
1986,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1294.8
1987,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1535.9
1988,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1447.8
1989,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1669.7
1990,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1616.5
1991,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1742.5
1992,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,1870.7
1993,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,2116.0
1994,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,2414.8
1995,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,2535.4
1996,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,2565.7
1997,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,2966.7
1998,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,3178.4
1999,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,3450.7
2000,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,3386.0
2001,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,2802.4
2002,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,3158.7
2003,Canada,"Supplies, total","Soybeans (x 1,000)",v381638,1.1.8,3000.1
1998,Canada,"Supplies, total",Dry peas,v15817742,1.1.10,2726.8
1999,Canada,"Supplies, total",Dry peas,v15817742,1.1.10,2638.6
2000,Canada,"Supplies, total",Dry peas,v15817742,1.1.10,3275.9
2001,Canada,"Supplies, total",Dry peas,v15817742,1.1.10,2266.8
2002,Canada,"Supplies, total",Dry peas,v15817742,1.1.10,1681.1
2003,Canada,"Supplies, total",Dry peas,v15817742,1.1.10,2458.4
1971,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,14411.9
1972,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,14515.3
1973,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,16162.3
1974,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,13303.5
1975,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,17080.6
1976,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,23586.9
1977,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,19857.7
1978,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,21136.4
1979,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,17196.0
1980,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,19291.4
1981,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,24802.2
1982,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,26714.8
1983,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,26464.2
1984,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,21187.9
1985,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,24252.2
1986,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,31359.3
1987,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,25945.3
1988,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,15912.7
1989,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,24796.2
1990,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,32098.3
1991,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,31945.6
1992,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,29877.2
1993,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,27225.9
1994,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,22919.5
1995,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,24989.4
1996,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,29801.4
1997,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,24280.3
1998,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,24082.3
1999,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,26959.9
2000,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,26535.5
2001,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,20630.2
2002,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,16197.5
2003,Canada,Production,"Wheat (x 1,000)",v383219,1.2.2,23552.0
1978,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,18284.2
1979,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,15397.1
1980,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,17256.2
1981,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,21825.2
1982,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,23593.8
1983,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,23844.2
1984,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,19077.9
1985,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,22292.2
1986,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,27481.1
1987,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,21931.0
1988,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,14004.9
1989,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,20656.7
1990,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,27901.7
1991,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,27359.8
1992,Canada,Production,"Wheat, excluding durum (x 1,000)",v383375,1.2.7,26739.3
