Ref_Date,GEO,EXP,Vector,Coordinate,Value
2011,Newfoundland and Labrador,"Nursery, gross yearly payroll",v52222534,2.4,694865.00000000
2012,Newfoundland and Labrador,"Nursery, gross yearly payroll",v52222534,2.4,618825.00000000
2013,Newfoundland and Labrador,"Nursery, gross yearly payroll",v52222534,2.4,x
2014,Newfoundland and Labrador,"Nursery, gross yearly payroll",v52222534,2.4,200357.00000000
2015,Newfoundland and Labrador,"Nursery, gross yearly payroll",v52222534,2.4,x
2007,Newfoundland and Labrador,"Nursery, other operating expenses",v52222545,2.5,0.00000000
2008,Newfoundland and Labrador,"Nursery, other operating expenses",v52222545,2.5,F
2009,Newfoundland and Labrador,"Nursery, other operating expenses",v52222545,2.5,116597.00000000
2010,Newfoundland and Labrador,"Nursery, other operating expenses",v52222545,2.5,110049.00000000
2011,Newfoundland and Labrador,"Nursery, other operating expenses",v52222545,2.5,100050.00000000
2012,Newfoundland and Labrador,"Nursery, other operating expenses",v52222545,2.5,x
2013,Newfoundland and Labrador,"Nursery, other operating expenses",v52222545,2.5,F
2014,Newfoundland and Labrador,"Nursery, other operating expenses",v52222545,2.5,x
2015,Newfoundland and Labrador,"Nursery, other operating expenses",v52222545,2.5,F
2007,Newfoundland and Labrador,"Sod, total operating expenses",v52222600,2.6,0.00000000
2008,Newfoundland and Labrador,"Sod, total operating expenses",v52222600,2.6,2676900.00000000
2009,Newfoundland and Labrador,"Sod, total operating expenses",v52222600,2.6,2409660.00000000
2010,Newfoundland and Labrador,"Sod, total operating expenses",v52222600,2.6,3108885.00000000
2011,Newfoundland and Labrador,"Sod, total operating expenses",v52222600,2.6,2255080.00000000
2012,Newfoundland and Labrador,"Sod, total operating expenses",v52222600,2.6,2529255.00000000
2013,Newfoundland and Labrador,"Sod, total operating expenses",v52222600,2.6,1896089.00000000
2014,Newfoundland and Labrador,"Sod, total operating expenses",v52222600,2.6,2119690.00000000
2015,Newfoundland and Labrador,"Sod, total operating expenses",v52222600,2.6,2544597.00000000
2007,Newfoundland and Labrador,Sod purchases for resale,v52222567,2.7,0.00000000
2008,Newfoundland and Labrador,Sod purchases for resale,v52222567,2.7,x
2009,Newfoundland and Labrador,Sod purchases for resale,v52222567,2.7,x
2010,Newfoundland and Labrador,Sod purchases for resale,v52222567,2.7,96820.00000000
2011,Newfoundland and Labrador,Sod purchases for resale,v52222567,2.7,x
2012,Newfoundland and Labrador,Sod purchases for resale,v52222567,2.7,x
2013,Newfoundland and Labrador,Sod purchases for resale,v52222567,2.7,x
2014,Newfoundland and Labrador,Sod purchases for resale,v52222567,2.7,0.00000000
2015,Newfoundland and Labrador,Sod purchases for resale,v52222567,2.7,0.00000000
2007,Newfoundland and Labrador,"Sod, gross yearly payroll",v52222578,2.8,0.00000000
2008,Newfoundland and Labrador,"Sod, gross yearly payroll",v52222578,2.8,913300.00000000
2009,Newfoundland and Labrador,"Sod, gross yearly payroll",v52222578,2.8,1086350.00000000
2010,Newfoundland and Labrador,"Sod, gross yearly payroll",v52222578,2.8,1267195.00000000
2011,Newfoundland and Labrador,"Sod, gross yearly payroll",v52222578,2.8,1060025.00000000
2012,Newfoundland and Labrador,"Sod, gross yearly payroll",v52222578,2.8,1246255.00000000
2013,Newfoundland and Labrador,"Sod, gross yearly payroll",v52222578,2.8,981382.00000000
2014,Newfoundland and Labrador,"Sod, gross yearly payroll",v52222578,2.8,1006404.00000000
2015,Newfoundland and Labrador,"Sod, gross yearly payroll",v52222578,2.8,1056167.00000000
2007,Newfoundland and Labrador,"Sod, other operating expenses",v52222589,2.9,0.00000000
2008,Newfoundland and Labrador,"Sod, other operating expenses",v52222589,2.9,x
2009,Newfoundland and Labrador,"Sod, other operating expenses",v52222589,2.9,x
2010,Newfoundland and Labrador,"Sod, other operating expenses",v52222589,2.9,1744870.00000000
2011,Newfoundland and Labrador,"Sod, other operating expenses",v52222589,2.9,x
2012,Newfoundland and Labrador,"Sod, other operating expenses",v52222589,2.9,x
2013,Newfoundland and Labrador,"Sod, other operating expenses",v52222589,2.9,x
2014,Newfoundland and Labrador,"Sod, other operating expenses",v52222589,2.9,1113286.00000000
2015,Newfoundland and Labrador,"Sod, other operating expenses",v52222589,2.9,1488430.00000000
2007,Prince Edward Island,"Nursery, total operating expenses",v52222557,3.1,0.00000000
2008,Prince Edward Island,"Nursery, total operating expenses",v52222557,3.1,0.00000000
2009,Prince Edward Island,"Nursery, total operating expenses",v52222557,3.1,F
2010,Prince Edward Island,"Nursery, total operating expenses",v52222557,3.1,x
2011,Prince Edward Island,"Nursery, total operating expenses",v52222557,3.1,x
2012,Prince Edward Island,"Nursery, total operating expenses",v52222557,3.1,724605.00000000
2013,Prince Edward Island,"Nursery, total operating expenses",v52222557,3.1,622826.00000000
2014,Prince Edward Island,"Nursery, total operating expenses",v52222557,3.1,689321.00000000
2015,Prince Edward Island,"Nursery, total operating expenses",v52222557,3.1,751736.00000000
2007,Prince Edward Island,"Nursery, plant material purchases for growing on",v52222513,3.2,x
2008,Prince Edward Island,"Nursery, plant material purchases for growing on",v52222513,3.2,0.00000000
2009,Prince Edward Island,"Nursery, plant material purchases for growing on",v52222513,3.2,x
2010,Prince Edward Island,"Nursery, plant material purchases for growing on",v52222513,3.2,0.00000000
2011,Prince Edward Island,"Nursery, plant material purchases for growing on",v52222513,3.2,x
2012,Prince Edward Island,"Nursery, plant material purchases for growing on",v52222513,3.2,31030.00000000
2013,Prince Edward Island,"Nursery, plant material purchases for growing on",v52222513,3.2,21000.00000000
2014,Prince Edward Island,"Nursery, plant material purchases for growing on",v52222513,3.2,x
2015,Prince Edward Island,"Nursery, plant material purchases for growing on",v52222513,3.2,x
2007,Prince Edward Island,"Nursery, plant material purchases for resale",v52222524,3.3,x
2008,Prince Edward Island,"Nursery, plant material purchases for resale",v52222524,3.3,0.00000000
2009,Prince Edward Island,"Nursery, plant material purchases for resale",v52222524,3.3,x
2010,Prince Edward Island,"Nursery, plant material purchases for resale",v52222524,3.3,x
2011,Prince Edward Island,"Nursery, plant material purchases for resale",v52222524,3.3,x
2012,Prince Edward Island,"Nursery, plant material purchases for resale",v52222524,3.3,x
2013,Prince Edward Island,"Nursery, plant material purchases for resale",v52222524,3.3,x
2014,Prince Edward Island,"Nursery, plant material purchases for resale",v52222524,3.3,x
2015,Prince Edward Island,"Nursery, plant material purchases for resale",v52222524,3.3,x
2007,Prince Edward Island,"Nursery, gross yearly payroll",v52222535,3.4,304860.00000000
2008,Prince Edward Island,"Nursery, gross yearly payroll",v52222535,3.4,0.00000000
2009,Prince Edward Island,"Nursery, gross yearly payroll",v52222535,3.4,F
2010,Prince Edward Island,"Nursery, gross yearly payroll",v52222535,3.4,x
2011,Prince Edward Island,"Nursery, gross yearly payroll",v52222535,3.4,x
2012,Prince Edward Island,"Nursery, gross yearly payroll",v52222535,3.4,655000.00000000
2013,Prince Edward Island,"Nursery, gross yearly payroll",v52222535,3.4,x
2014,Prince Edward Island,"Nursery, gross yearly payroll",v52222535,3.4,510000.00000000
2015,Prince Edward Island,"Nursery, gross yearly payroll",v52222535,3.4,x
2007,Prince Edward Island,"Nursery, other operating expenses",v52222546,3.5,0.00000000
2008,Prince Edward Island,"Nursery, other operating expenses",v52222546,3.5,0.00000000
2009,Prince Edward Island,"Nursery, other operating expenses",v52222546,3.5,0.00000000
2010,Prince Edward Island,"Nursery, other operating expenses",v52222546,3.5,0.00000000
2011,Prince Edward Island,"Nursery, other operating expenses",v52222546,3.5,0.00000000
2012,Prince Edward Island,"Nursery, other operating expenses",v52222546,3.5,x
2013,Prince Edward Island,"Nursery, other operating expenses",v52222546,3.5,133346.00000000
2014,Prince Edward Island,"Nursery, other operating expenses",v52222546,3.5,x
2015,Prince Edward Island,"Nursery, other operating expenses",v52222546,3.5,F
2007,Prince Edward Island,"Sod, total operating expenses",v52222601,3.6,0.00000000
2008,Prince Edward Island,"Sod, total operating expenses",v52222601,3.6,x
2009,Prince Edward Island,"Sod, total operating expenses",v52222601,3.6,x
2010,Prince Edward Island,"Sod, total operating expenses",v52222601,3.6,x
2011,Prince Edward Island,"Sod, total operating expenses",v52222601,3.6,x
2012,Prince Edward Island,"Sod, total operating expenses",v52222601,3.6,312225.00000000
2013,Prince Edward Island,"Sod, total operating expenses",v52222601,3.6,x
2014,Prince Edward Island,"Sod, total operating expenses",v52222601,3.6,x
2015,Prince Edward Island,"Sod, total operating expenses",v52222601,3.6,x
2007,Prince Edward Island,Sod purchases for resale,v52222568,3.7,0.00000000
2008,Prince Edward Island,Sod purchases for resale,v52222568,3.7,0.00000000
2009,Prince Edward Island,Sod purchases for resale,v52222568,3.7,0.00000000
2010,Prince Edward Island,Sod purchases for resale,v52222568,3.7,x
2011,Prince Edward Island,Sod purchases for resale,v52222568,3.7,x
2012,Prince Edward Island,Sod purchases for resale,v52222568,3.7,x
2013,Prince Edward Island,Sod purchases for resale,v52222568,3.7,0.00000000
2014,Prince Edward Island,Sod purchases for resale,v52222568,3.7,0.00000000
2015,Prince Edward Island,Sod purchases for resale,v52222568,3.7,x
2007,Prince Edward Island,"Sod, gross yearly payroll",v52222579,3.8,0.00000000
2008,Prince Edward Island,"Sod, gross yearly payroll",v52222579,3.8,x
2009,Prince Edward Island,"Sod, gross yearly payroll",v52222579,3.8,x
2010,Prince Edward Island,"Sod, gross yearly payroll",v52222579,3.8,x
2011,Prince Edward Island,"Sod, gross yearly payroll",v52222579,3.8,x
2012,Prince Edward Island,"Sod, gross yearly payroll",v52222579,3.8,F
2013,Prince Edward Island,"Sod, gross yearly payroll",v52222579,3.8,x
2014,Prince Edward Island,"Sod, gross yearly payroll",v52222579,3.8,x
2015,Prince Edward Island,"Sod, gross yearly payroll",v52222579,3.8,x
2007,Prince Edward Island,"Sod, other operating expenses",v52222590,3.9,0.00000000
2008,Prince Edward Island,"Sod, other operating expenses",v52222590,3.9,x
2009,Prince Edward Island,"Sod, other operating expenses",v52222590,3.9,x
2010,Prince Edward Island,"Sod, other operating expenses",v52222590,3.9,x
2011,Prince Edward Island,"Sod, other operating expenses",v52222590,3.9,x
2012,Prince Edward Island,"Sod, other operating expenses",v52222590,3.9,x
2013,Prince Edward Island,"Sod, other operating expenses",v52222590,3.9,x
2014,Prince Edward Island,"Sod, other operating expenses",v52222590,3.9,x
2015,Prince Edward Island,"Sod, other operating expenses",v52222590,3.9,x
2007,Nova Scotia,"Nursery, total operating expenses",v52222558,4.1,0.00000000
2008,Nova Scotia,"Nursery, total operating expenses",v52222558,4.1,F
2009,Nova Scotia,"Nursery, total operating expenses",v52222558,4.1,7264073.00000000
2010,Nova Scotia,"Nursery, total operating expenses",v52222558,4.1,9194990.00000000
2011,Nova Scotia,"Nursery, total operating expenses",v52222558,4.1,9408465.00000000
2012,Nova Scotia,"Nursery, total operating expenses",v52222558,4.1,9917420.00000000
2013,Nova Scotia,"Nursery, total operating expenses",v52222558,4.1,9177178.00000000
2014,Nova Scotia,"Nursery, total operating expenses",v52222558,4.1,10066459.00000000
2015,Nova Scotia,"Nursery, total operating expenses",v52222558,4.1,9060325.00000000
2007,Nova Scotia,"Nursery, plant material purchases for growing on",v52222514,4.2,300545.00000000
2008,Nova Scotia,"Nursery, plant material purchases for growing on",v52222514,4.2,F
2009,Nova Scotia,"Nursery, plant material purchases for growing on",v52222514,4.2,F
2010,Nova Scotia,"Nursery, plant material purchases for growing on",v52222514,4.2,1798756.00000000
2011,Nova Scotia,"Nursery, plant material purchases for growing on",v52222514,4.2,F
2012,Nova Scotia,"Nursery, plant material purchases for growing on",v52222514,4.2,1657175.00000000
2013,Nova Scotia,"Nursery, plant material purchases for growing on",v52222514,4.2,787035.00000000
2014,Nova Scotia,"Nursery, plant material purchases for growing on",v52222514,4.2,1031465.00000000
2015,Nova Scotia,"Nursery, plant material purchases for growing on",v52222514,4.2,791092.00000000
2007,Nova Scotia,"Nursery, plant material purchases for resale",v52222525,4.3,F
2008,Nova Scotia,"Nursery, plant material purchases for resale",v52222525,4.3,x
2009,Nova Scotia,"Nursery, plant material purchases for resale",v52222525,4.3,F
2010,Nova Scotia,"Nursery, plant material purchases for resale",v52222525,4.3,470700.00000000
2011,Nova Scotia,"Nursery, plant material purchases for resale",v52222525,4.3,651670.00000000
2012,Nova Scotia,"Nursery, plant material purchases for resale",v52222525,4.3,579335.00000000
2013,Nova Scotia,"Nursery, plant material purchases for resale",v52222525,4.3,1348193.00000000
2014,Nova Scotia,"Nursery, plant material purchases for resale",v52222525,4.3,934441.00000000
2015,Nova Scotia,"Nursery, plant material purchases for resale",v52222525,4.3,F
2007,Nova Scotia,"Nursery, gross yearly payroll",v52222536,4.4,4000000.00000000
2008,Nova Scotia,"Nursery, gross yearly payroll",v52222536,4.4,3017367.00000000
2009,Nova Scotia,"Nursery, gross yearly payroll",v52222536,4.4,3396210.00000000
2010,Nova Scotia,"Nursery, gross yearly payroll",v52222536,4.4,5112931.00000000
2011,Nova Scotia,"Nursery, gross yearly payroll",v52222536,4.4,4801040.00000000
2012,Nova Scotia,"Nursery, gross yearly payroll",v52222536,4.4,5804390.00000000
2013,Nova Scotia,"Nursery, gross yearly payroll",v52222536,4.4,4872121.00000000
2014,Nova Scotia,"Nursery, gross yearly payroll",v52222536,4.4,5424741.00000000
2015,Nova Scotia,"Nursery, gross yearly payroll",v52222536,4.4,4719817.00000000
2007,Nova Scotia,"Nursery, other operating expenses",v52222547,4.5,0.00000000
2008,Nova Scotia,"Nursery, other operating expenses",v52222547,4.5,x
2009,Nova Scotia,"Nursery, other operating expenses",v52222547,4.5,F
2010,Nova Scotia,"Nursery, other operating expenses",v52222547,4.5,1812603.00000000
2011,Nova Scotia,"Nursery, other operating expenses",v52222547,4.5,2138080.00000000
2012,Nova Scotia,"Nursery, other operating expenses",v52222547,4.5,1876520.00000000
2013,Nova Scotia,"Nursery, other operating expenses",v52222547,4.5,2169829.00000000
2014,Nova Scotia,"Nursery, other operating expenses",v52222547,4.5,2675812.00000000
2015,Nova Scotia,"Nursery, other operating expenses",v52222547,4.5,2740450.00000000
2007,Nova Scotia,"Sod, total operating expenses",v52222602,4.6,0.00000000
2008,Nova Scotia,"Sod, total operating expenses",v52222602,4.6,5415800.00000000
2009,Nova Scotia,"Sod, total operating expenses",v52222602,4.6,F
2010,Nova Scotia,"Sod, total operating expenses",v52222602,4.6,4027745.00000000
2011,Nova Scotia,"Sod, total operating expenses",v52222602,4.6,4951330.00000000
2012,Nova Scotia,"Sod, total operating expenses",v52222602,4.6,5434940.00000000
2013,Nova Scotia,"Sod, total operating expenses",v52222602,4.6,4880041.00000000
2014,Nova Scotia,"Sod, total operating expenses",v52222602,4.6,4836925.00000000
2015,Nova Scotia,"Sod, total operating expenses",v52222602,4.6,x
2007,Nova Scotia,Sod purchases for resale,v52222569,4.7,x
2008,Nova Scotia,Sod purchases for resale,v52222569,4.7,x
2009,Nova Scotia,Sod purchases for resale,v52222569,4.7,x
2010,Nova Scotia,Sod purchases for resale,v52222569,4.7,x
2011,Nova Scotia,Sod purchases for resale,v52222569,4.7,x
2012,Nova Scotia,Sod purchases for resale,v52222569,4.7,x
2013,Nova Scotia,Sod purchases for resale,v52222569,4.7,x
2014,Nova Scotia,Sod purchases for resale,v52222569,4.7,x
2015,Nova Scotia,Sod purchases for resale,v52222569,4.7,x
2007,Nova Scotia,"Sod, gross yearly payroll",v52222580,4.8,0.00000000
2008,Nova Scotia,"Sod, gross yearly payroll",v52222580,4.8,2488000.00000000
2009,Nova Scotia,"Sod, gross yearly payroll",v52222580,4.8,x
2010,Nova Scotia,"Sod, gross yearly payroll",v52222580,4.8,1419820.00000000
2011,Nova Scotia,"Sod, gross yearly payroll",v52222580,4.8,1752820.00000000
2012,Nova Scotia,"Sod, gross yearly payroll",v52222580,4.8,2021610.00000000
2013,Nova Scotia,"Sod, gross yearly payroll",v52222580,4.8,x
2014,Nova Scotia,"Sod, gross yearly payroll",v52222580,4.8,x
2015,Nova Scotia,"Sod, gross yearly payroll",v52222580,4.8,x
2007,Nova Scotia,"Sod, other operating expenses",v52222591,4.9,0.00000000
2008,Nova Scotia,"Sod, other operating expenses",v52222591,4.9,x
2009,Nova Scotia,"Sod, other operating expenses",v52222591,4.9,F
2010,Nova Scotia,"Sod, other operating expenses",v52222591,4.9,x
2011,Nova Scotia,"Sod, other operating expenses",v52222591,4.9,x
2012,Nova Scotia,"Sod, other operating expenses",v52222591,4.9,x
2013,Nova Scotia,"Sod, other operating expenses",v52222591,4.9,2947594.00000000
2014,Nova Scotia,"Sod, other operating expenses",v52222591,4.9,2723375.00000000
2015,Nova Scotia,"Sod, other operating expenses",v52222591,4.9,x
2007,New Brunswick,"Nursery, total operating expenses",v52222559,5.1,0.00000000
2008,New Brunswick,"Nursery, total operating expenses",v52222559,5.1,2969820.00000000
2009,New Brunswick,"Nursery, total operating expenses",v52222559,5.1,F
2010,New Brunswick,"Nursery, total operating expenses",v52222559,5.1,x
2011,New Brunswick,"Nursery, total operating expenses",v52222559,5.1,x
2012,New Brunswick,"Nursery, total operating expenses",v52222559,5.1,5003170.00000000
2013,New Brunswick,"Nursery, total operating expenses",v52222559,5.1,4092719.00000000
2014,New Brunswick,"Nursery, total operating expenses",v52222559,5.1,4647463.00000000
2015,New Brunswick,"Nursery, total operating expenses",v52222559,5.1,5459450.00000000
2007,New Brunswick,"Nursery, plant material purchases for growing on",v52222515,5.2,30487.00000000
2008,New Brunswick,"Nursery, plant material purchases for growing on",v52222515,5.2,251683.00000000
2009,New Brunswick,"Nursery, plant material purchases for growing on",v52222515,5.2,F
2010,New Brunswick,"Nursery, plant material purchases for growing on",v52222515,5.2,210949.00000000
2011,New Brunswick,"Nursery, plant material purchases for growing on",v52222515,5.2,x
2012,New Brunswick,"Nursery, plant material purchases for growing on",v52222515,5.2,167960.00000000
2013,New Brunswick,"Nursery, plant material purchases for growing on",v52222515,5.2,166799.00000000
2014,New Brunswick,"Nursery, plant material purchases for growing on",v52222515,5.2,359484.00000000
2015,New Brunswick,"Nursery, plant material purchases for growing on",v52222515,5.2,403001.00000000
2007,New Brunswick,"Nursery, plant material purchases for resale",v52222526,5.3,446000.00000000
2008,New Brunswick,"Nursery, plant material purchases for resale",v52222526,5.3,x
2009,New Brunswick,"Nursery, plant material purchases for resale",v52222526,5.3,F
2010,New Brunswick,"Nursery, plant material purchases for resale",v52222526,5.3,x
2011,New Brunswick,"Nursery, plant material purchases for resale",v52222526,5.3,x
2012,New Brunswick,"Nursery, plant material purchases for resale",v52222526,5.3,506235.00000000
2013,New Brunswick,"Nursery, plant material purchases for resale",v52222526,5.3,275260.00000000
2014,New Brunswick,"Nursery, plant material purchases for resale",v52222526,5.3,354912.00000000
2015,New Brunswick,"Nursery, plant material purchases for resale",v52222526,5.3,367949.00000000
2007,New Brunswick,"Nursery, gross yearly payroll",v52222537,5.4,2045000.00000000
2008,New Brunswick,"Nursery, gross yearly payroll",v52222537,5.4,1746790.00000000
2009,New Brunswick,"Nursery, gross yearly payroll",v52222537,5.4,F
