Ref_Date,GEO,TYP,GRA,Vector,Coordinate,Value
1987/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3172.0
1987/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,11138.0
1988/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,7919.0
1988/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3794.0
1988/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,9437.0
1989/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6237.0
1989/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2790.0
1989/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,8906.0
1990/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5549.0
1990/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2056.0
1990/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,10158.0
1991/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6675.0
1991/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2646.0
1991/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,9402.0
1992/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6180.0
1992/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2614.0
1992/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,8951.0
1993/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6336.0
1993/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3266.0
1993/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,11320.0
1994/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,7459.0
1994/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3376.0
1994/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,9260.0
1995/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5503.0
1995/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,1820.0
1995/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,9211.0
1996/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5752.0
1996/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,1740.0
1996/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,10761.0
1997/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,7048.0
1997/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2919.0
1997/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,10069.0
1998/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6509.0
1998/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2459.0
1998/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,9751.0
1999/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6297.0
1999/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2737.0
1999/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,10180.0
2000/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6697.0
2000/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2838.0
2000/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,10285.0
2001/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6557.0
2001/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2516.0
2001/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,7859.0
2002/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6175.0
2002/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2048.0
2002/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5276.0
2003/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3384.0
2003/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,1475.0
2003/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,8286.0
2004/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5831.0
2004/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2102.0
2004/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,9770.0
2005/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6873.0
2005/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3435.0
2005/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,9424.0
2006/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6470.0
2006/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3289.0
2006/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,7474.0
2007/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,4573.0
2007/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,1491.0
2007/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,7171.0
2008/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,4481.0
2008/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,1568.0
2008/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,8579.0
2009/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5985.0
2009/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2963.0
2009/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,7561.0
2010/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5033.0
2010/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,2502.0
2010/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5963.0
2011/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3784.0
2011/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,1502.0
2011/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5481.0
2012/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3280.0
2012/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,1195.0
2012/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5320.0
2013/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3271.0
2013/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,983.0
2013/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,6772.0
2014/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,4610.0
2014/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,1950.0
2014/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5431.0
2015/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3405.0
2015/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,1217.0
2015/12,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,5686.0
2016/03,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,3733.0
2016/07,Canada,"Farm and commercial, total","Barley (x 1,000)",v73866306,1.1.4,1443.0
1980/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1980/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1980/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1981/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1981/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1981/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1982/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1982/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1982/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1983/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1983/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1983/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1984/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1984/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1984/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1985/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1985/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1985/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1986/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1986/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1986/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1987/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1987/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1987/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1988/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1988/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1988/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1989/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1989/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1989/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1990/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1990/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1990/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1991/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1991/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1991/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1992/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1992/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1992/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1993/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1993/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1993/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1994/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1994/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1994/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1995/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1995/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1995/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1996/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1996/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1996/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1997/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1997/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1997/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1998/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1998/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1998/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1999/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
1999/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,110.0
1999/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
2000/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,..
2000/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,90.0
2000/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,190.0
2001/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,144.0
2001/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,70.0
2001/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,116.0
2002/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,84.0
2002/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,29.0
2002/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,128.0
2003/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,85.0
2003/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,25.0
2003/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,175.0
2004/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,135.0
2004/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,67.0
2004/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,285.0
2005/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,242.0
2005/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,168.0
2005/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,312.0
2006/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,265.0
2006/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,190.0
2006/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,232.0
2007/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,198.0
2007/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,120.0
2007/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,195.0
2008/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,152.0
2008/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,65.0
2008/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,188.0
2009/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,153.0
2009/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,77.0
2009/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,206.0
2010/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,155.0
2010/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,69.0
2010/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,160.0
2011/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,115.0
2011/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,30.0
2011/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,98.0
2012/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,62.0
2012/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,17.0
2012/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,113.0
2013/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,85.0
2013/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,22.0
2013/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,80.0
2014/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,39.0
2014/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,0.0
2014/12,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,0.0
2015/03,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,0.0
2015/07,Canada,"Farm and commercial, total","Canary seed (x 1,000)",v73866316,1.1.15,0.0
1980/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2507.0
1980/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1477.0
1980/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,..
1981/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2421.0
1981/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1328.0
1981/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2089.0
1982/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1545.0
1982/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,692.0
1982/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1916.0
1983/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1244.0
1983/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,486.0
1983/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1956.0
1984/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,946.0
1984/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,120.0
1984/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2192.0
1985/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1387.0
1985/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,460.0
1985/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2711.0
1986/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1873.0
1986/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,950.0
1986/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,3149.0
1987/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2142.0
1987/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,619.0
1987/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2810.0
1988/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1685.0
1988/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,636.0
1988/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,3310.0
1989/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2424.0
1989/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1114.0
1989/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2723.0
1990/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1867.0
1990/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,749.0
1990/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2475.0
1991/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1582.0
1991/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,399.0
1991/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2919.0
1992/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2019.0
1992/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,734.0
1992/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2688.0
1993/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1768.0
1993/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,692.0
1993/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,3651.0
1994/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1806.0
1994/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,330.0
1994/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,3908.0
1995/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2110.0
1995/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,589.0
1995/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,4296.0
1996/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2699.0
1996/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1030.0
1996/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,3498.0
1997/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2213.0
1997/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,563.0
1997/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,3974.0
1998/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2295.0
1998/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,363.0
1998/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,3908.0
1999/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2297.0
1999/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,633.0
1999/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,5525.0
2000/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,3881.0
2000/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2157.0
2000/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,5388.0
2001/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,3274.0
2001/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1088.0
2001/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,3747.0
2002/03,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,2529.0
2002/07,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,1250.0
2002/12,Canada,"Farm and commercial, total","Canola (rapeseed) (x 1,000)",v73866309,1.1.7,3329.0
