Ref_Date,GEO,VALUE,PRODUCE,PROCESS,Vector,Coordinate,Value
1992,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Processed,v381289,1.4.5.2,0.0
1993,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Processed,v381289,1.4.5.2,0.0
1994,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Carrots,Processed,v381289,1.4.5.2,x
1992,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Brussels sprouts,Processed,v381403,1.4.6.2,x
1992,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Asparagus,Processed,v381463,1.4.7.2,x
1992,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Broccoli,Processed,v381523,1.4.8.2,x
1993,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Broccoli,Processed,v381523,1.4.8.2,0.0
1994,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Broccoli,Processed,v381523,1.4.8.2,0.0
1995,Newfoundland and Labrador,"Farm value (dollars x 1,000)",Broccoli,Processed,v381523,1.4.8.2,0.0
1992,Newfoundland and Labrador,Area harvested,Beans,Processed,v72998,1.5.1.2,x
1992,Newfoundland and Labrador,Area harvested,Corn,Processed,v73538,1.5.2.2,x
1992,Newfoundland and Labrador,Area harvested,Tomatoes,Processed,v74119,1.5.3.2,x
1992,Newfoundland and Labrador,Area harvested,Cucumbers,Processed,v381151,1.5.4.2,x
1982,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,125.0
1983,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,63.0
1984,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,75.0
1985,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,90.0
1986,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,95.0
1987,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,100.0
1988,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,100.0
1989,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,120.0
1990,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,140.0
1991,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,140.0
1992,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,120.0
1993,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,175.0
1994,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,x
1995,Newfoundland and Labrador,Area harvested,Carrots,Fresh,v381355,1.5.5.1,x
1992,Newfoundland and Labrador,Area harvested,Carrots,Processed,v381259,1.5.5.2,x
1993,Newfoundland and Labrador,Area harvested,Carrots,Processed,v381259,1.5.5.2,x
1994,Newfoundland and Labrador,Area harvested,Carrots,Processed,v381259,1.5.5.2,x
1995,Newfoundland and Labrador,Area harvested,Carrots,Processed,v381259,1.5.5.2,x
1992,Newfoundland and Labrador,Area harvested,Brussels sprouts,Processed,v381373,1.5.6.2,x
1992,Newfoundland and Labrador,Area harvested,Asparagus,Processed,v381433,1.5.7.2,x
1992,Newfoundland and Labrador,Area harvested,Broccoli,Processed,v381493,1.5.8.2,x
1993,Newfoundland and Labrador,Area harvested,Broccoli,Processed,v381493,1.5.8.2,0.0
1994,Newfoundland and Labrador,Area harvested,Broccoli,Processed,v381493,1.5.8.2,0.0
1995,Newfoundland and Labrador,Area harvested,Broccoli,Processed,v381493,1.5.8.2,0.0
1992,Newfoundland and Labrador,Area contracted,Beans,Processed,v73038,1.6.1.2,x
1992,Newfoundland and Labrador,Area contracted,Corn,Processed,v73579,1.6.2.2,x
1992,Newfoundland and Labrador,Area contracted,Tomatoes,Processed,v74159,1.6.3.2,0.0
1993,Newfoundland and Labrador,Area contracted,Tomatoes,Processed,v74159,1.6.3.2,x
1994,Newfoundland and Labrador,Area contracted,Tomatoes,Processed,v74159,1.6.3.2,x
1992,Newfoundland and Labrador,Area contracted,Cucumbers,Processed,v381191,1.6.4.2,0.0
1993,Newfoundland and Labrador,Area contracted,Cucumbers,Processed,v381191,1.6.4.2,x
1994,Newfoundland and Labrador,Area contracted,Cucumbers,Processed,v381191,1.6.4.2,x
1992,Newfoundland and Labrador,Area contracted,Carrots,Processed,v381299,1.6.5.2,x
1993,Newfoundland and Labrador,Area contracted,Carrots,Processed,v381299,1.6.5.2,x
1994,Newfoundland and Labrador,Area contracted,Carrots,Processed,v381299,1.6.5.2,x
1992,Newfoundland and Labrador,Area contracted,Brussels sprouts,Processed,v381413,1.6.6.2,x
1992,Newfoundland and Labrador,Area contracted,Asparagus,Processed,v381473,1.6.7.2,x
1992,Newfoundland and Labrador,Area contracted,Broccoli,Processed,v381533,1.6.8.2,x
1993,Newfoundland and Labrador,Area contracted,Broccoli,Processed,v381533,1.6.8.2,0.0
1994,Newfoundland and Labrador,Area contracted,Broccoli,Processed,v381533,1.6.8.2,0.0
1995,Newfoundland and Labrador,Area contracted,Broccoli,Processed,v381533,1.6.8.2,0.0
1992,Newfoundland and Labrador,Marketed production (tons),Beans,Processed,v73048,1.7.1.2,x
1992,Newfoundland and Labrador,Marketed production (tons),Corn,Processed,v73589,1.7.2.2,x
1992,Newfoundland and Labrador,Marketed production (tons),Tomatoes,Processed,v74169,1.7.3.2,x
1992,Newfoundland and Labrador,Marketed production (tons),Cucumbers,Processed,v381201,1.7.4.2,x
1982,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,563.0
1983,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,311.0
1984,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,440.0
1985,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,406.0
1986,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,366.0
1987,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,576.0
1988,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,500.0
1989,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,875.0
1990,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,560.0
1991,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,833.0
1992,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,416.0
1993,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,819.0
1994,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,x
1995,Newfoundland and Labrador,Marketed production (tons),Carrots,Fresh,v381364,1.7.5.1,x
1992,Newfoundland and Labrador,Marketed production (tons),Carrots,Processed,v381309,1.7.5.2,0.0
1993,Newfoundland and Labrador,Marketed production (tons),Carrots,Processed,v381309,1.7.5.2,0.0
1994,Newfoundland and Labrador,Marketed production (tons),Carrots,Processed,v381309,1.7.5.2,x
1992,Newfoundland and Labrador,Marketed production (tons),Brussels sprouts,Processed,v381423,1.7.6.2,x
1992,Newfoundland and Labrador,Marketed production (tons),Asparagus,Processed,v381483,1.7.7.2,x
1992,Newfoundland and Labrador,Marketed production (tons),Broccoli,Processed,v381543,1.7.8.2,x
1993,Newfoundland and Labrador,Marketed production (tons),Broccoli,Processed,v381543,1.7.8.2,0.0
1994,Newfoundland and Labrador,Marketed production (tons),Broccoli,Processed,v381543,1.7.8.2,0.0
1995,Newfoundland and Labrador,Marketed production (tons),Broccoli,Processed,v381543,1.7.8.2,0.0
1940,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,x
1941,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,x
1942,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,x
1943,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,410.0
1944,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,350.0
1945,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,420.0
1946,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,590.0
1947,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,410.0
1948,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,520.0
1949,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,360.0
1950,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,480.0
1951,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,469.0
1952,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,440.0
1953,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,550.0
1954,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,430.0
1955,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,460.0
1956,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,460.0
1957,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,480.0
1958,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,580.0
1959,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,620.0
1960,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,660.0
1961,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,700.0
1962,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,750.0
1963,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,750.0
1964,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,780.0
1965,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,730.0
1966,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,710.0
1967,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,780.0
1968,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,820.0
1969,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,800.0
1970,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,770.0
1971,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,770.0
1972,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,820.0
1973,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,860.0
1974,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,910.0
1975,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,x
1976,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,910.0
1977,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,970.0
1978,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,1000.0
1979,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,1070.0
1980,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,1170.0
1981,Maritime provinces,Area planted,Corn,Fresh,v73486,2.1.2.1,1291.0
1940,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,x
1941,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,0.0
1942,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,0.0
1943,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,3800.0
1944,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,4000.0
1945,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,3100.0
1946,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,3400.0
1947,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,3300.0
1948,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,4900.0
1949,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,4000.0
1950,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,6700.0
1951,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,3200.0
1952,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,3800.0
1953,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,2900.0
1954,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,3100.0
1955,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,4200.0
1956,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,3000.0
1957,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,4500.0
1958,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,3600.0
1959,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,2500.0
1960,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,3900.0
1961,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,4400.0
1962,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,3400.0
1963,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,5800.0
1964,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,5100.0
1965,Maritime provinces,Average yield per acre (pounds),Corn,Fresh,v73495,2.2.2.1,4100.0
