Ref_Date,GEO,WOOL,Vector,Coordinate,Value
2009,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,755.00
2010,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,1062.00
2011,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,1637.00
2012,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,1508.00
2013,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,1532.00
2014,Canada,"Total farm value of wool (dollars x 1,000)",v44185038,1.4,1719.00
1996,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,5.7
1997,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,5.8
1998,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,6.0
1999,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,5.5
2000,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,6.8
2001,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,6.8
2002,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,6.3
2003,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,7.2
2004,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,7.2
2005,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,10.5
2006,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,3.4
2007,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,2.0
2008,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,4.3
2009,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,3.0
2010,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,2.8
2011,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,2.7
2012,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,2.7
2013,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,1.8
2014,Newfoundland and Labrador,"Quantity of wool purchased (x 1,000)",v44185039,2.1,2.4
1996,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,1.0
1997,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,1.0
1998,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,1.0
1999,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,1.0
2000,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,1.0
2001,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,1.0
2002,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.9
2003,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.9
2004,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.9
2005,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.9
2006,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.9
2007,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.8
2008,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.8
2009,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.8
2010,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.8
2011,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.6
2012,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.6
2013,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.6
2014,Newfoundland and Labrador,"Quantity of wool used on farms (x 1,000)",v44185040,2.2,0.6
1996,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.98
1997,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.93
1998,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.03
1999,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.18
2000,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.11
2001,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.12
2002,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.21
2003,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.21
2004,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.23
2005,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,0.99
2006,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.22
2007,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.43
2008,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.09
2009,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.50
2010,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.50
2011,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.58
2012,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.55
2013,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.55
2014,Newfoundland and Labrador,Average price of wool paid to producer (dollars per kilogram),v44185041,2.3,1.70
1996,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,13.00
1997,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,13.00
1998,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,7.00
1999,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,8.00
2000,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,9.00
2001,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,9.00
2002,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,9.00
2003,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,10.00
2004,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,10.00
2005,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,11.00
2006,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,5.00
2007,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,4.00
2008,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,6.00
2009,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,6.00
2010,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,5.00
2011,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,5.00
2012,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,5.00
2013,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,4.00
2014,Newfoundland and Labrador,"Total farm value of wool (dollars x 1,000)",v44185042,2.4,5.00
1996,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,6.6
1997,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,4.0
1998,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,3.0
1999,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,5.0
2000,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,3.9
2001,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,3.9
2002,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,4.2
2003,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,4.4
2004,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,4.4
2005,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,4.4
2006,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,4.4
2007,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,3.9
2008,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,3.9
2009,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,4.5
2010,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,5.2
2011,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,5.0
2012,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,5.1
2013,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,3.4
2014,Prince Edward Island,"Quantity of wool purchased (x 1,000)",v44185043,3.1,4.4
1996,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.5
1997,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.5
1998,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.5
1999,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.5
2000,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.5
2001,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.5
2002,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.5
2003,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.5
2004,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.5
2005,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.5
2006,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.5
2007,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.4
2008,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.4
2009,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.4
2010,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.4
2011,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.3
2012,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.3
2013,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.3
2014,Prince Edward Island,"Quantity of wool used on farms (x 1,000)",v44185044,3.2,0.3
1996,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.98
1997,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.98
1998,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,0.90
1999,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,0.90
2000,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.98
2001,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.98
2002,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.93
2003,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.91
2004,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.91
2005,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.38
2006,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.38
2007,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.43
2008,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.21
2009,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.50
2010,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.50
2011,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.56
2012,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.53
2013,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.53
2014,Prince Edward Island,Average price of wool paid to producer (dollars per kilogram),v44185045,3.3,1.68
1996,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,14.00
1997,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,9.00
1998,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,3.00
1999,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,5.00
2000,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,9.00
2001,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,9.00
2002,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,9.00
2003,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,9.00
2004,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,9.00
2005,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,7.00
2006,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,7.00
2007,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,6.00
2008,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,5.00
2009,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,7.00
2010,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,8.00
2011,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,8.00
2012,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,8.00
2013,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,6.00
2014,Prince Edward Island,"Total farm value of wool (dollars x 1,000)",v44185046,3.4,8.00
1996,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,28.1
1997,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,19.5
1998,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,22.3
1999,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,23.9
2000,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,20.7
2001,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,20.7
2002,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,19.0
2003,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,34.5
2004,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,34.7
2005,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,25.1
2006,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,26.8
2007,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,24.8
2008,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,21.6
2009,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,22.1
2010,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,21.8
2011,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,19.5
2012,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,20.4
2013,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,16.7
2014,Nova Scotia,"Quantity of wool purchased (x 1,000)",v44185047,4.1,19.6
1996,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.2
1997,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.0
1998,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.0
1999,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.0
2000,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.0
2001,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.0
2002,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.2
2003,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.2
2004,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.2
2005,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.2
2006,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.2
2007,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.2
2008,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.2
2009,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.2
2010,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.2
2011,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.0
2012,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.0
2013,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.0
2014,Nova Scotia,"Quantity of wool used on farms (x 1,000)",v44185048,4.2,1.0
1996,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.98
1997,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.96
1998,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,0.93
1999,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,0.84
2000,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.71
2001,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.73
2002,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.90
2003,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.39
2004,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.50
2005,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.27
2006,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.12
2007,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.21
2008,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.07
2009,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.36
2010,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.41
2011,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.44
2012,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.41
2013,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.28
2014,Nova Scotia,Average price of wool paid to producer (dollars per kilogram),v44185049,4.3,1.52
1996,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,58.00
1997,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,40.00
1998,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,22.00
1999,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,21.00
2000,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,37.00
2001,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,38.00
2002,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,38.00
2003,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,50.00
2004,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,54.00
2005,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,33.00
2006,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,31.00
2007,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,31.00
2008,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,24.00
2009,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,32.00
2010,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,32.00
2011,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,30.00
2012,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,30.00
2013,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,23.00
2014,Nova Scotia,"Total farm value of wool (dollars x 1,000)",v44185050,4.4,31.00
1996,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,9.6
1997,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,7.0
1998,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,11.9
1999,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,16.7
2000,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,17.1
2001,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,17.1
2002,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,9.0
2003,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,14.1
2004,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,14.0
2005,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,14.1
